date,open,close
2007-01-03,2.55,2.52
2007-01-04,2.52,2.58
2007-01-05,2.58,2.56
2007-01-08,2.59,2.57
2007-01-09,2.6,2.79
2007-01-10,2.8,2.92
2007-01-11,2.89,2.88
2007-01-12,2.85,2.85
2007-01-16,2.88,2.92
2007-01-17,2.94,2.86
2007-01-18,2.7,2.68
2007-01-19,2.67,2.66
2007-01-22,2.68,2.61
2007-01-23,2.58,2.58
2007-01-24,2.61,2.61
2007-01-25,2.62,2.6
2007-01-26,2.62,2.57
2007-01-29,2.6,2.59
2007-01-30,2.6,2.58
2007-01-31,2.55,2.58
2007-02-01,2.6,2.55
2007-02-02,2.53,2.55
2007-02-05,2.54,2.53
2007-02-06,2.54,2.53
2007-02-07,2.54,2.59
2007-02-08,2.57,2.59
2007-02-09,2.58,2.51
2007-02-12,2.54,2.55
2007-02-13,2.56,2.55
2007-02-14,2.55,2.57
2007-02-15,2.57,2.56
2007-02-16,2.57,2.55
2007-02-20,2.55,2.59
2007-02-21,2.62,2.68
2007-02-22,2.73,2.69
2007-02-23,2.68,2.68
2007-02-26,2.7,2.67
2007-02-27,2.62,2.53
2007-02-28,2.55,2.55
2007-03-01,2.56,2.62
2007-03-02,2.61,2.57
2007-03-05,2.57,2.6
2007-03-06,2.63,2.65
2007-03-07,2.65,2.64
2007-03-08,2.67,2.65
2007-03-09,2.65,2.65
2007-03-12,2.66,2.71
2007-03-13,2.69,2.66
2007-03-14,2.67,2.71
2007-03-15,2.72,2.7
2007-03-16,2.69,2.7
2007-03-19,2.74,2.74
2007-03-20,2.74,2.75
2007-03-21,2.76,2.83
2007-03-22,2.82,2.83
2007-03-23,2.8,2.81
2007-03-26,2.86,2.89
2007-03-27,2.89,2.87
2007-03-28,2.87,2.81
2007-03-29,2.83,2.82
2007-03-30,2.83,2.8
2007-04-02,2.82,2.82
2007-04-03,2.83,2.84
2007-04-04,2.84,2.84
2007-04-05,2.84,2.85
2007-04-09,2.86,2.82
2007-04-10,2.82,2.84
2007-04-11,2.83,2.79
2007-04-12,2.78,2.77
2007-04-13,2.73,2.72
2007-04-16,2.73,2.75
2007-04-17,2.73,2.72
2007-04-18,2.71,2.72
2007-04-19,2.71,2.72
2007-04-20,2.74,2.74
2007-04-23,2.75,2.81
2007-04-24,2.82,2.81
2007-04-25,2.84,2.87
2007-04-26,3.08,2.98
2007-04-27,2.97,3.01
2007-04-30,3.02,3.0
2007-05-01,3.04,2.99
2007-05-02,3.0,3.02
2007-05-03,3.02,3.02
2007-05-04,3.04,3.03
2007-05-07,3.04,3.13
2007-05-08,3.11,3.16
2007-05-09,3.15,3.22
2007-05-10,3.21,3.23
2007-05-11,3.23,3.27
2007-05-14,3.29,3.29
2007-05-15,3.28,3.24
2007-05-16,3.24,3.23
2007-05-17,3.24,3.29
2007-05-18,3.31,3.31
2007-05-21,3.31,3.37
2007-05-22,3.37,3.42
2007-05-23,3.43,3.4
2007-05-24,3.4,3.33
2007-05-25,3.34,3.42
2007-05-29,3.43,3.44
2007-05-30,3.44,3.57
2007-05-31,3.6,3.65
2007-06-01,3.64,3.56
2007-06-04,3.57,3.65
2007-06-05,3.65,3.69
2007-06-06,3.67,3.72
2007-06-07,3.73,3.73
2007-06-08,3.72,3.75
2007-06-11,3.78,3.62
2007-06-12,3.61,3.62
2007-06-13,3.64,3.54
2007-06-14,3.57,3.57
2007-06-15,3.58,3.63
2007-06-18,3.66,3.77
2007-06-19,3.77,3.72
2007-06-20,3.73,3.66
2007-06-21,3.67,3.73
2007-06-22,3.72,3.7
2007-06-25,3.73,3.68
2007-06-26,3.71,3.6
2007-06-27,3.64,3.67
2007-06-28,3.69,3.63
2007-06-29,3.66,3.67
2007-07-02,3.67,3.65
2007-07-03,3.82,3.83
2007-07-05,3.85,4.0
2007-07-06,4.0,3.98
2007-07-09,4.0,3.92
2007-07-10,3.93,3.98
2007-07-11,3.97,3.98
2007-07-12,4.0,4.04
2007-07-13,4.04,4.15
2007-07-16,4.15,4.16
2007-07-17,4.16,4.18
2007-07-18,4.16,4.16
2007-07-19,4.19,4.21
2007-07-20,4.27,4.33
2007-07-23,4.32,4.33
2007-07-24,4.29,4.06
2007-07-25,4.09,4.13
2007-07-26,4.46,4.39
2007-07-27,4.35,4.33
2007-07-30,4.37,4.26
2007-07-31,4.3,3.97
2007-08-01,4.0,4.06
2007-08-02,4.12,4.11
2007-08-03,4.1,3.97
2007-08-06,4.0,4.07
