date,open,close
2013-12-18,122.29,120.5
2013-12-19,120.5,124.27
2013-12-20,125.29,125.48
2013-12-23,126.18,125.86
2013-12-24,125.86,124.52
2013-12-26,124.65,126.11
2013-12-27,127.07,128.41
2013-12-30,128.15,127.39
2013-12-31,127.26,131.02
2014-01-02,131.47,128.66
2014-01-03,128.15,127.64
2014-01-06,127.84,127.58
2014-01-07,127.77,127.84
2014-01-08,128.15,127.26
2014-01-09,127.26,127.71
2014-01-10,127.84,127.77
2014-01-13,126.88,127.39
2014-01-14,126.62,128.28
2014-01-15,128.66,127.45
2014-01-16,127.01,129.43
2014-01-17,128.66,129.05
2014-01-21,130.07,132.94
2014-01-22,133.51,135.55
2014-01-23,135.61,135.61
2014-01-24,135.61,136.25
2014-01-27,135.55,136.12
2014-01-28,140.08,139.69
2014-01-29,139.76,137.97
2014-01-30,139.5,137.27
2014-01-31,135.49,136.25
2014-02-03,137.08,134.21
2014-02-04,134.21,134.02
2014-02-05,132.87,134.15
2014-02-06,133.83,134.91
2014-02-07,135.23,135.93
2014-02-10,135.49,136.25
2014-02-11,136.83,138.8
2014-02-12,138.42,140.52
2014-02-13,138.61,140.91
2014-02-14,141.42,140.27
2014-02-18,140.91,140.2
2014-02-19,139.76,139.82
2014-02-20,138.99,139.95
2014-02-21,140.27,142.24
2014-02-24,142.82,142.76
2014-02-25,143.33,143.27
2014-02-26,145.05,143.58
2014-02-27,143.58,144.99
2014-02-28,144.99,145.94
2014-03-03,146.45,146.33
2014-03-04,147.15,152.89
2014-03-05,153.28,157.23
2014-03-06,157.99,160.8
2014-03-07,162.14,162.39
2014-03-10,161.31,158.18
2014-03-11,159.01,152.89
2014-03-12,152.96,148.49
2014-03-13,148.81,152.19
2014-03-14,152.06,153.72
2014-03-17,154.1,159.78
2014-03-18,160.48,155.57
2014-03-19,152.38,150.34
2014-03-20,149.64,149.9
2014-03-21,148.43,147.03
2014-03-24,146.64,147.79
2014-03-25,148.62,153.08
2014-03-26,153.47,152.13
2014-03-27,151.55,149.32
2014-03-28,149.32,152.38
2014-03-31,152.96,154.61
2014-04-01,154.3,157.61
2014-04-02,157.67,158.12
2014-04-03,158.5,149.7
2014-04-04,150.47,146.77
2014-04-07,146.71,146.77
2014-04-08,146.9,152.83
2014-04-09,153.4,150.72
2014-04-10,150.41,145.88
2014-04-11,144.92,150.47
2014-04-14,152.26,150.41
2014-04-15,150.85,142.88
2014-04-16,143.14,143.52
2014-04-17,143.07,142.18
2014-04-21,142.18,149.13
2014-04-22,149.0,145.31
2014-04-23,145.5,145.82
2014-04-24,146.52,149.07
2014-04-25,148.05,140.84
2014-04-28,141.35,144.03
2014-04-29,144.92,143.33
2014-04-30,143.52,147.54
2014-05-01,147.22,153.02
2014-05-02,152.89,151.36
2014-05-05,150.28,145.94
2014-05-06,145.18,141.54
2014-05-07,141.8,140.4
2014-05-08,139.82,135.87
2014-05-09,135.42,134.79
2014-05-12,135.04,137.78
2014-05-13,137.46,138.1
2014-05-14,137.21,136.63
2014-05-15,135.81,136.83
2014-05-16,136.51,135.61
2014-05-19,135.49,140.01
2014-05-20,140.2,140.01
2014-05-21,140.27,140.78
2014-05-22,140.59,142.76
2014-05-23,143.2,143.9
2014-05-27,147.35,147.92
2014-05-28,147.79,146.64
2014-05-29,146.64,144.35
2014-05-30,144.73,144.54
2014-06-02,142.37,144.16
2014-06-03,143.78,143.84
2014-06-04,144.04,145.07
2014-06-05,145.58,147.64
2014-06-06,148.67,154.39
2014-06-09,153.62,155.55
2014-06-10,155.68,155.62
2014-06-11,155.62,155.17
2014-06-12,155.17,154.72
2014-06-13,155.04,155.81
2014-06-16,155.94,156.2
2014-06-17,155.81,153.82
2014-06-18,153.82,156.97
2014-06-19,156.97,158.58
2014-06-20,159.03,158.32
2014-06-23,158.58,155.49
2014-06-24,155.42,155.94
2014-06-25,155.17,157.22
2014-06-26,157.03,157.87
2014-06-27,156.9,158.32
2014-06-30,158.0,159.99
2014-07-01,160.44,157.42
2014-07-02,157.22,159.22
2014-07-03,159.48,158.45
2014-07-07,159.22,154.84
2014-07-08,154.46,151.76
2014-07-09,151.76,152.14
2014-07-10,149.51,150.15
2014-07-11,149.76,149.76
2014-07-14,150.92,148.35
2014-07-15,147.96,143.91
2014-07-16,144.17,143.39
2014-07-17,142.75,144.49
2014-07-18,144.29,144.94
2014-07-21,144.55,145.71
2014-07-22,146.16,146.93
2014-07-23,147.19,145.39
2014-07-24,145.9,145.39
2014-07-25,144.36,148.03
2014-07-28,147.83,148.48
2014-07-29,148.41,145.26
2014-07-30,145.71,144.81
2014-07-31,149.57,145.65
2014-08-01,145.9,147.96
2014-08-04,148.67,150.28
2014-08-05,149.31,148.99
2014-08-06,148.73,152.08
2014-08-07,152.14,151.5
2014-08-08,151.31,150.28
2014-08-11,150.28,150.79
2014-08-12,149.96,149.51
2014-08-13,150.34,148.54
2014-08-14,149.05,146.29
2014-08-15,147.64,148.6
2014-08-18,150.06,150.9
2014-08-19,150.66,151.56
2014-08-20,151.41,151.8
2014-08-21,151.24,150.21
2014-08-22,150.02,151.11
2014-08-25,152.21,151.63
2014-08-26,151.31,151.89
2014-08-27,151.63,152.27
2014-08-28,151.44,152.08
2014-08-29,151.95,152.27
2014-09-01,151.429,153.285
2014-09-02,152.32,154.18
2014-09-03,155.38,155.77
2014-09-04,155.64,157.13
2014-09-05,156.68,158.62
2014-09-08,158.82,160.89
2014-09-09,161.61,159.53
2014-09-10,159.53,159.14
2014-09-11,158.3,159.66
2014-09-12,159.27,159.66
2014-09-15,161.15,159.59
2014-09-16,159.59,160.24
2014-09-17,160.03,161.01
2014-09-18,161.14,160.36
2014-09-19,160.11,159.59
2014-09-22,159.53,159.53
2014-09-23,161.48,154.21
2014-09-24,153.95,153.11
2014-09-25,153.24,150.84
2014-09-26,150.77,152.39
2014-09-29,151.36,152.0
2014-09-30,151.68,149.15
2014-10-01,149.21,148.63
2014-10-02,148.31,150.51
2014-10-03,151.55,151.87
2014-10-06,151.94,150.64
2014-10-07,150.38,145.78
2014-10-08,145.26,146.75
2014-10-09,146.52,144.84
2014-10-10,143.89,141.17
2014-10-13,141.11,138.64
2014-10-14,139.94,140.59
2014-10-15,139.29,142.99
2014-10-16,141.3,147.85
2014-10-17,149.54,144.02
2014-10-20,143.38,144.41
2014-10-21,145.45,151.49
2014-10-22,151.36,145.58
2014-10-23,149.8,151.94
2014-10-24,149.97,152.11
2014-10-27,151.92,153.21
2014-10-28,154.12,158.48
2014-10-29,158.82,163.23
2014-10-30,163.29,164.91
2014-10-31,165.43,164.78
2014-11-03,165.24,161.87
2014-11-04,161.93,159.08
2014-11-05,159.66,158.43
2014-11-06,158.69,162.77
2014-11-07,162.32,166.86
2014-11-10,166.73,166.08
2014-11-11,166.73,167.7
2014-11-12,166.8,167.51
2014-11-13,167.38,166.28
2014-11-14,166.15,165.56
2014-11-17,164.78,164.66
2014-11-18,165.37,166.8
2014-11-19,166.41,166.47
2014-11-20,166.02,166.34
2014-11-21,168.22,162.38
2014-11-24,166.02,168.35
2014-11-25,169.52,170.88
2014-11-26,170.95,171.4
2014-11-28,172.25,170.1
2014-12-01,170.56,171.47
2014-12-02,172.12,169.26
2014-12-03,169.27,166.39
2014-12-04,166.78,168.09
2014-12-05,164.76,165.08
2014-12-08,165.08,165.02
2014-12-09,163.12,163.64
2014-12-10,163.25,161.55
2014-12-11,161.81,162.53
2014-12-12,159.98,162.86
2014-12-15,163.64,162.99
2014-12-16,163.32,158.22
2014-12-17,161.09,166.06
2014-12-18,168.29,169.4
2014-12-19,169.46,171.1
2014-12-22,170.38,173.12
2014-12-23,174.63,175.35
2014-12-24,175.22,174.04
