date,open,close
2015-01-02,2.7,2.69
2015-01-05,2.67,2.66
2015-01-06,2.65,2.63
2015-01-07,2.63,2.58
2015-01-08,2.59,2.61
2015-01-09,2.63,2.63
2015-01-12,2.62,2.63
2015-01-13,2.64,2.66
2015-01-14,2.6,2.63
2015-01-15,2.62,2.52
2015-01-16,2.52,2.39
2015-01-20,2.39,2.24
2015-01-21,2.18,2.45
2015-01-22,2.42,2.47
2015-01-23,2.48,2.45
2015-01-26,2.44,2.61
2015-01-27,2.58,2.7
2015-01-28,2.71,2.63
2015-01-29,2.63,2.61
2015-01-30,2.56,2.57
2015-02-02,2.69,2.67
2015-02-03,2.7,2.76
2015-02-04,2.78,2.85
2015-02-05,2.88,3.31
2015-02-06,3.2,3.03
2015-02-09,3.03,3.04
2015-02-10,3.07,3.04
2015-02-11,3.03,3.07
2015-02-12,3.08,3.12
2015-02-13,3.13,3.15
2015-02-17,3.16,3.11
2015-02-18,3.11,3.08
2015-02-19,3.06,3.06
2015-02-20,3.03,3.06
2015-02-23,3.05,3.06
2015-02-24,3.06,3.11
2015-02-25,3.08,3.1
2015-02-26,3.1,3.08
2015-02-27,3.07,3.11
2015-03-02,3.13,3.21
2015-03-03,3.2,3.14
2015-03-04,3.14,3.05
2015-03-05,3.1,2.98
2015-03-06,2.96,2.92
2015-03-09,2.92,2.93
2015-03-10,2.97,2.92
2015-03-11,2.92,2.84
2015-03-12,2.76,2.76
2015-03-13,2.74,2.75
2015-03-16,2.75,2.76
2015-03-17,2.75,2.77
2015-03-18,2.77,2.75
2015-03-19,2.76,2.74
2015-03-20,2.76,2.8
2015-03-23,2.81,2.84
2015-03-24,2.85,2.79
2015-03-25,2.78,2.63
2015-03-26,2.59,2.65
2015-03-27,2.7,2.72
2015-03-30,2.73,2.7
2015-03-31,2.66,2.68
2015-04-01,2.66,2.69
2015-04-02,2.66,2.69
2015-04-06,2.68,2.7
2015-04-07,2.7,2.7
2015-04-08,2.68,2.71
2015-04-09,2.69,2.72
2015-04-10,2.74,2.76
2015-04-13,2.76,2.78
2015-04-14,2.77,2.67
2015-04-15,2.7,2.7
2015-04-16,2.72,2.87
2015-04-17,2.54,2.58
2015-04-20,2.56,2.49
2015-04-21,2.53,2.35
2015-04-22,2.35,2.28
2015-04-23,2.28,2.33
2015-04-24,2.36,2.3
2015-04-27,2.3,2.34
2015-04-28,2.36,2.31
2015-04-29,2.3,2.28
2015-04-30,2.28,2.26
2015-05-01,2.26,2.31
2015-05-04,2.31,2.31
2015-05-05,2.34,2.28
2015-05-06,2.29,2.29
2015-05-07,2.32,2.32
2015-05-08,2.33,2.31
2015-05-11,2.31,2.32
2015-05-12,2.32,2.35
2015-05-13,2.36,2.37
2015-05-14,2.38,2.33
2015-05-15,2.33,2.32
2015-05-18,2.35,2.35
2015-05-19,2.36,2.28
2015-05-20,2.3,2.32
2015-05-21,2.31,2.28
2015-05-22,2.3,2.28
2015-05-26,2.27,2.22
2015-05-27,2.24,2.28
2015-05-28,2.28,2.27
2015-05-29,2.27,2.28
2015-06-01,2.29,2.25
2015-06-02,2.26,2.3
2015-06-03,2.3,2.28
2015-06-04,2.28,2.33
2015-06-05,2.31,2.33
2015-06-08,2.31,2.31
2015-06-09,2.35,2.29
2015-06-10,2.31,2.32
2015-06-11,2.34,2.32
2015-06-12,2.31,2.31
2015-06-15,2.32,2.32
2015-06-16,2.32,2.35
2015-06-17,2.37,2.47
2015-06-18,2.5,2.52
2015-06-19,2.53,2.58
2015-06-22,2.61,2.62
2015-06-23,2.62,2.61
2015-06-24,2.6,2.62
2015-06-25,2.62,2.58
2015-06-26,2.54,2.47
2015-06-29,2.41,2.34
2015-06-30,2.43,2.4
2015-07-01,2.47,2.42
2015-07-02,2.43,2.53
2015-07-06,2.46,2.47
2015-07-07,2.04,2.09
2015-07-08,2.07,2.01
2015-07-09,2.04,1.98
2015-07-10,2.0,1.96
2015-07-13,1.97,1.96
2015-07-14,2.03,2.05
2015-07-15,2.07,1.96
2015-07-16,1.97,1.87
2015-07-17,1.87,1.79
2015-07-20,1.82,1.8
2015-07-21,1.82,1.8
2015-07-22,1.8,1.79
2015-07-23,1.8,1.76
2015-07-24,1.76,1.67
2015-07-27,1.67,1.62
2015-07-28,1.62,1.77
2015-07-29,1.77,1.96
2015-07-30,1.94,1.93
2015-07-31,1.94,1.93
2015-08-03,1.93,2.2
2015-08-04,2.18,2.13
2015-08-05,2.11,2.16
2015-08-06,2.15,2.11
2015-08-07,2.1,2.09
2015-08-10,1.92,1.93
2015-08-11,1.91,1.9
2015-08-12,1.88,1.9
2015-08-13,1.9,1.79
2015-08-14,1.8,1.84
2015-08-17,1.82,1.8
2015-08-18,1.79,1.8
2015-08-19,1.8,1.8
2015-08-20,1.79,1.7
2015-08-21,1.68,1.78
2015-08-24,1.69,1.75
2015-08-25,1.82,1.66
2015-08-26,1.69,1.72
2015-08-27,1.74,1.78
2015-08-28,1.75,1.85
2015-08-31,1.82,1.81
2015-09-01,1.77,1.71
2015-09-02,1.75,1.77
2015-09-03,1.76,1.79
2015-09-04,1.76,1.82
2015-09-08,1.85,1.88
2015-09-09,1.9,1.85
2015-09-10,1.84,1.84
2015-09-11,1.88,2.01
2015-09-14,2.0,1.82
2015-09-15,1.84,1.86
2015-09-16,1.87,1.89
2015-09-17,1.9,1.89
2015-09-18,1.87,1.87
2015-09-21,1.87,1.81
2015-09-22,1.8,1.73
2015-09-23,1.76,1.7
2015-09-24,1.68,1.72
2015-09-25,1.75,1.71
2015-09-28,1.69,1.66
2015-09-29,1.67,1.67
2015-09-30,1.7,1.72
2015-10-01,1.77,1.74
2015-10-02,1.76,1.83
2015-10-05,1.82,1.8
2015-10-06,1.8,1.83
2015-10-07,1.82,1.86
2015-10-08,1.87,1.93
2015-10-09,1.92,1.96
2015-10-12,1.96,1.87
2015-10-13,1.87,1.92
2015-10-14,1.92,1.95
2015-10-15,1.97,1.97
2015-10-16,2.0,1.94
2015-10-19,1.91,2.01
2015-10-20,2.0,2.02
2015-10-21,2.02,2.1
2015-10-22,2.1,2.14
2015-10-23,2.1,2.21
2015-10-26,2.21,2.15
2015-10-27,2.12,2.15
2015-10-28,2.14,2.18
2015-10-29,2.15,2.13
2015-10-30,2.14,2.12
2015-11-02,2.13,2.19
2015-11-03,2.16,2.28
2015-11-04,2.27,2.2
2015-11-05,2.21,2.2
2015-11-06,2.19,2.15
2015-11-09,2.15,2.11
2015-11-10,2.09,2.02
2015-11-11,2.02,2.07
2015-11-12,2.05,2.0
2015-11-13,1.99,1.99
2015-11-16,1.99,1.99
2015-11-17,2.01,1.98
2015-11-18,1.99,2.12
2015-11-19,2.1,2.14
2015-11-20,2.14,2.22
2015-11-23,2.22,2.22
2015-11-24,2.2,2.34
2015-11-25,2.36,2.38
2015-11-27,2.37,2.33
2015-11-30,2.34,2.36
2015-12-01,2.36,2.34
2015-12-02,2.31,2.27
2015-12-03,2.25,2.23
2015-12-04,2.23,2.28
2015-12-07,2.26,2.35
2015-12-08,2.34,2.39
2015-12-09,2.37,2.35
2015-12-10,2.36,2.45
2015-12-11,2.41,2.36
2015-12-14,2.36,2.34
2015-12-15,2.35,2.36
2015-12-16,2.39,2.54
2015-12-17,2.52,2.56
