date,open,close
2006-12-29,16.4644,16.4644
2007-01-03,19.35,18.98
2007-01-04,18.94,18.91
2007-01-05,19.54,18.6
2007-01-08,18.69,18.54
2007-01-09,18.67,18.63
2007-01-10,18.43,18.42
2007-01-11,18.47,18.59
2007-01-12,18.71,18.79
2007-01-16,18.83,18.89
2007-01-17,18.67,18.79
2007-01-18,18.74,18.68
2007-01-19,18.71,18.94
2007-01-22,18.96,18.73
2007-01-23,18.76,18.86
2007-01-24,18.95,18.98
2007-01-25,18.99,18.76
2007-01-26,18.84,18.77
2007-01-29,18.83,18.86
2007-01-30,19.06,19.12
2007-01-31,19.05,19.26
2007-02-01,19.36,19.42
2007-02-02,19.39,19.39
2007-02-05,19.31,19.31
2007-02-06,19.31,19.38
2007-02-07,19.48,19.51
2007-02-08,19.42,19.52
2007-02-09,19.5,19.4
2007-02-12,19.39,19.33
2007-02-13,19.45,19.55
2007-02-14,19.71,19.87
2007-02-15,19.89,19.89
2007-02-16,19.84,19.89
2007-02-20,19.85,20.0
2007-02-21,19.85,19.89
2007-02-22,19.93,19.93
2007-02-23,20.03,20.05
2007-02-26,20.19,20.12
2007-02-27,19.63,19.21
2007-02-28,19.33,19.29
2007-03-01,18.52,18.96
2007-03-02,18.9,18.75
2007-03-05,18.38,18.4
2007-03-06,18.73,18.87
2007-03-07,18.92,18.91
2007-03-08,19.12,19.2
2007-03-09,19.23,19.2
2007-03-12,19.19,19.35
2007-03-13,19.21,18.86
2007-03-14,18.71,18.87
2007-03-15,18.83,18.98
2007-03-16,19.1,19.1
2007-03-19,19.34,19.36
2007-03-20,19.29,19.53
2007-03-21,19.57,19.96
2007-03-22,20.04,19.96
2007-03-23,20.01,20.05
2007-03-26,20.03,20.03
2007-03-27,19.94,20.09
2007-03-28,19.87,19.81
2007-03-29,20.05,20.12
2007-03-30,20.14,20.15
2007-04-02,20.23,20.37
2007-04-03,20.5,20.58
2007-04-04,20.58,20.66
2007-04-05,20.7,20.97
2007-04-09,20.93,20.89
2007-04-10,20.9,21.07
2007-04-11,21.11,20.95
2007-04-12,20.93,21.18
2007-04-13,21.29,21.34
2007-04-16,21.56,21.72
2007-04-17,21.75,21.72
2007-04-18,21.53,21.7
2007-04-19,21.4,21.51
2007-04-20,24.89,21.77
2007-04-23,28.1,21.65
2007-04-24,21.6,21.63
2007-04-25,21.84,21.91
2007-04-26,21.93,21.92
2007-04-27,21.87,21.96
2007-04-30,22.01,21.95
2007-05-01,22.17,22.09
2007-05-02,22.0,22.05
2007-05-03,22.07,22.02
2007-05-04,22.16,22.19
2007-05-07,22.25,22.23
2007-05-08,22.08,21.95
2007-05-09,21.9,22.02
2007-05-10,21.86,21.46
2007-05-11,21.58,21.99
2007-05-14,21.98,21.88
2007-05-15,21.89,21.94
2007-05-16,22.06,22.02
2007-05-17,21.92,21.95
2007-05-18,22.12,22.32
2007-05-21,22.23,22.21
2007-05-22,22.3,22.3
2007-05-23,22.53,22.59
2007-05-24,22.52,22.27
2007-05-25,22.44,22.56
2007-05-29,22.71,22.61
2007-05-30,22.51,22.68
2007-05-31,22.93,23.11
2007-06-01,23.16,23.3
2007-06-04,23.15,23.3
2007-06-05,23.23,23.12
2007-06-06,22.85,22.51
2007-06-07,22.24,21.9
2007-06-08,22.01,22.03
2007-06-11,22.19,22.28
2007-06-12,22.1,21.98
2007-06-13,22.07,22.28
2007-06-14,22.42,22.64
2007-06-15,23.09,23.15
2007-06-18,23.32,23.31
2007-06-19,23.28,23.36
2007-06-20,23.53,23.01
2007-06-21,22.93,23.16
2007-06-22,23.07,22.89
2007-06-25,22.83,22.68
2007-06-26,22.86,22.68
2007-06-27,22.51,22.83
2007-06-28,22.91,22.98
2007-06-29,23.19,23.16
2007-07-02,23.35,23.39
2007-07-03,23.66,23.69
2007-07-05,23.67,23.76
2007-07-06,23.61,23.74
2007-07-09,23.88,23.86
2007-07-10,23.67,23.42
2007-07-11,23.09,23.65
2007-07-12,23.74,24.26
2007-07-13,24.24,24.2
2007-07-16,24.11,24.1
2007-07-17,23.93,23.95
2007-07-18,23.67,23.65
2007-07-19,23.9,23.85
2007-07-20,23.73,23.45
2007-07-23,23.63,23.62
2007-07-24,23.43,23.02
2007-07-25,23.04,22.94
2007-07-26,22.49,22.11
2007-07-27,22.1,21.47
2007-07-30,21.65,22.23
2007-07-31,22.54,22.29
2007-08-01,22.2,22.4
2007-08-02,22.3,22.43
2007-08-03,22.2,22.02
2007-08-06,22.24,22.63
2007-08-07,22.21,22.52
2007-08-08,22.58,22.63
2007-08-09,21.02,21.99
2007-08-10,21.72,21.74
2007-08-13,21.99,21.85
2007-08-14,21.92,21.71
2007-08-15,21.45,21.19
2007-08-16,21.15,21.32
2007-08-17,21.67,21.58
2007-08-20,21.61,21.56
2007-08-21,21.49,21.47
2007-08-22,21.84,22.02
2007-08-23,22.14,22.0
2007-08-24,21.98,22.36
2007-08-27,22.2,22.01
2007-08-28,21.93,21.66
2007-08-29,21.84,22.2
2007-08-30,21.85,22.08
2007-08-31,22.65,22.54
2007-09-04,22.47,22.77
2007-09-05,22.56,22.6
2007-09-06,22.49,22.51
2007-09-07,22.29,22.12
2007-09-10,22.16,21.88
2007-09-11,22.25,22.38
2007-09-12,22.49,22.5
2007-09-13,22.6,22.57
2007-09-14,22.38,22.52
2007-09-17,22.46,22.35
2007-09-18,22.56,23.23
2007-09-19,23.38,23.37
2007-09-20,23.48,23.56
2007-09-21,23.72,23.74
2007-09-24,23.74,23.65
2007-09-25,23.59,23.76
2007-09-26,23.87,23.87
2007-09-27,24.02,24.05
2007-09-28,24.11,24.17
2007-10-01,24.17,24.51
2007-10-02,24.41,24.37
2007-10-03,24.36,24.18
2007-10-04,24.16,24.22
2007-10-05,24.34,24.53
2007-10-08,24.39,24.32
2007-10-09,24.36,24.53
2007-10-10,24.47,24.46
2007-10-11,24.78,24.62
2007-10-12,24.6,24.67
2007-10-15,24.72,24.64
2007-10-16,24.39,24.39
2007-10-17,24.66,24.61
2007-10-18,24.61,24.69
2007-10-19,24.49,24.18
2007-10-22,23.87,23.99
2007-10-23,24.31,24.36
2007-10-24,24.32,24.46
2007-10-25,24.53,24.66
2007-10-26,24.81,24.86
2007-10-29,25.09,25.17
2007-10-30,25.04,25.02
2007-10-31,25.13,25.36
2007-11-01,24.93,24.59
2007-11-02,24.72,25.16
2007-11-05,24.57,24.67
2007-11-06,24.85,24.99
2007-11-07,24.97,24.78
2007-11-08,24.9,25.1
2007-11-09,25.03,24.87
2007-11-12,24.65,24.3
2007-11-13,24.51,24.76
2007-11-14,24.98,24.67
2007-11-15,24.26,24.04
2007-11-16,24.2,24.23
2007-11-19,24.01,23.71
2007-11-20,24.11,24.3
2007-11-21,24.04,24.02
2007-11-22,24.04,24.02
2007-11-23,24.16,24.34
2007-11-26,24.37,23.89
2007-11-27,24.02,24.19
2007-11-28,24.4,24.94
2007-11-29,24.67,24.84
2007-11-30,25.24,24.89
2007-12-03,24.89,24.81
2007-12-04,24.81,24.87
2007-12-05,25.09,25.02
2007-12-06,25.04,25.25
2007-12-07,25.04,25.25
2007-12-10,25.38,25.51
2007-12-11,25.41,24.88
2007-12-12,25.57,25.48
2007-12-13,25.19,25.17
2007-12-14,24.65,24.53
2007-12-17,24.2,24.0
2007-12-18,24.56,24.39
2007-12-19,24.32,24.2
2007-12-20,24.3,24.32
2007-12-21,24.74,24.85
2007-12-24,25.17,25.01
2007-12-26,24.86,25.07
2007-12-27,25.29,25.08
2007-12-28,25.49,25.4
2007-12-31,25.39,25.14
2008-01-02,25.35,25.1
2008-01-03,25.0,25.03
2008-01-04,24.88,24.54
2008-01-07,24.64,24.56
2008-01-08,24.83,24.39
2008-01-09,24.31,24.47
2008-01-10,24.24,24.54
2008-01-11,24.36,24.19
2008-01-14,24.58,24.63
2008-01-15,24.28,23.95
2008-01-16,23.73,23.29
2008-01-17,23.44,22.94
2008-01-18,23.26,22.86
2008-01-22,20.7,21.42
2008-01-23,20.07,21.01
2008-01-24,21.5,21.68
2008-01-25,22.13,21.29
2008-01-28,21.46,21.86
2008-01-29,21.94,21.99
2008-01-30,21.87,21.95
2008-01-31,21.41,22.13
2008-02-01,22.29,22.31
2008-02-04,22.47,22.29
2008-02-05,21.59,21.12
2008-02-06,21.48,21.33
2008-02-07,20.93,21.19
2008-02-08,21.02,21.12
2008-02-11,21.14,21.22
2008-02-12,21.76,21.76
2008-02-13,21.99,22.1
2008-02-14,22.1,21.92
2008-02-15,21.69,21.85
2008-02-19,22.37,22.19
2008-02-20,21.75,22.14
2008-02-21,22.27,21.92
2008-02-22,21.96,21.98
2008-02-25,21.96,21.98
2008-02-26,22.27,22.61
2008-02-27,22.42,22.8
2008-02-28,22.56,22.58
2008-02-29,22.15,21.97
2008-03-03,21.88,22.01
2008-03-04,21.68,21.68
2008-03-05,21.85,21.94
2008-03-06,22.06,21.79
2008-03-07,21.51,21.46
2008-03-10,21.61,21.24
2008-03-11,21.85,21.94
2008-03-12,22.07,22.0
2008-03-13,21.61,22.12
2008-03-14,22.19,21.69
2008-03-17,20.98,21.27
2008-03-18,21.56,21.85
2008-03-19,21.63,21.18
2008-03-20,20.97,21.24
2008-03-24,21.14,21.95
2008-03-25,21.91,22.03
2008-03-26,22.05,22.17
2008-03-27,22.49,22.24
2008-03-28,22.32,22.22
2008-03-31,22.24,22.35
2008-04-01,22.49,22.9
2008-04-02,22.78,22.86
2008-04-03,22.58,22.84
2008-04-04,22.88,22.92
2008-04-07,23.11,23.04
2008-04-08,22.78,22.95
2008-04-09,22.94,22.83
2008-04-10,22.67,22.8
2008-04-11,22.54,22.39
2008-04-14,22.39,22.41
2008-04-15,22.57,22.5
2008-04-16,22.88,23.19
2008-04-17,22.9,22.93
2008-04-18,23.14,23.24
2008-04-21,23.29,23.39
2008-04-22,23.32,23.16
2008-04-23,23.1,23.36
2008-04-24,23.1,23.15
2008-04-25,23.34,23.31
2008-04-28,23.41,23.34
2008-04-29,23.19,23.1
2008-04-30,23.21,23.18
2008-05-01,23.02,23.51
2008-05-02,23.46,23.36
2008-05-05,23.42,23.56
2008-05-06,23.46,23.63
2008-05-07,23.55,23.29
2008-05-08,23.41,23.46
2008-05-09,23.29,23.39
2008-05-12,23.45,23.69
2008-05-13,23.61,23.56
2008-05-14,23.58,23.56
2008-05-15,23.66,23.8
2008-05-16,24.05,24.27
2008-05-19,24.24,24.19
2008-05-20,24.08,24.05
2008-05-21,23.99,23.79
2008-05-22,23.85,24.01
2008-05-23,23.95,23.65
2008-05-27,23.47,23.68
2008-05-28,23.75,23.78
2008-05-29,23.51,23.65
2008-05-30,23.77,23.78
2008-06-02,23.46,23.42
2008-06-03,23.34,23.26
2008-06-04,23.0,23.12
2008-06-05,23.22,23.52
2008-06-06,23.2,22.97
2008-06-09,23.14,23.05
2008-06-10,22.56,22.62
2008-06-11,22.55,22.22
2008-06-12,22.24,22.17
2008-06-13,22.19,22.42
2008-06-16,22.4,22.58
2008-06-17,22.85,22.73
2008-06-18,22.58,22.56
2008-06-19,22.52,22.8
2008-06-20,22.33,22.11
2008-06-23,22.17,22.1
2008-06-24,21.84,22.0
2008-06-25,22.11,22.27
2008-06-26,22.07,21.81
2008-06-27,21.86,21.82
2008-06-30,21.76,21.69
2008-07-01,21.39,21.55
2008-07-02,21.71,21.36
2008-07-03,21.57,21.36
2008-07-07,21.31,21.33
2008-07-08,21.21,21.39
2008-07-09,21.54,21.38
2008-07-10,21.31,21.41
2008-07-11,21.04,21.08
2008-07-14,21.24,21.04
2008-07-15,20.76,20.81
2008-07-16,20.74,21.1
2008-07-17,21.42,21.51
2008-07-18,21.52,21.65
2008-07-21,21.83,21.78
2008-07-22,21.58,21.84
2008-07-23,21.93,21.84
2008-07-24,21.71,21.33
2008-07-25,21.36,21.5
2008-07-28,21.5,21.14
2008-07-29,21.09,21.41
2008-07-30,21.45,21.52
2008-07-31,21.54,21.5
2008-08-01,21.5,21.18
2008-08-04,21.12,21.08
2008-08-05,21.4,21.53
2008-08-06,21.35,21.6
2008-08-07,21.48,21.24
2008-08-08,20.71,21.09
2008-08-11,20.99,20.92
2008-08-12,20.9,20.82
2008-08-13,20.6,20.5
2008-08-14,20.33,20.38
2008-08-15,20.17,20.17
2008-08-18,20.3,20.02
2008-08-19,19.83,19.87
2008-08-20,19.89,19.92
2008-08-21,19.85,20.02
2008-08-22,20.12,20.1
2008-08-25,20.03,19.79
