date,open,close
2007-05-16,43.96,43.79
2007-05-17,43.67,43.71
2007-05-18,43.82,44.07
2007-05-21,43.89,43.74
2007-05-22,43.75,43.55
2007-05-23,44.02,43.86
2007-05-24,43.52,43.17
2007-05-25,43.35,43.42
2007-05-29,43.63,43.37
2007-05-30,42.87,43.34
2007-05-31,43.44,43.4
2007-06-01,43.34,43.1
2007-06-04,43.08,42.95
2007-06-05,43.22,43.1
2007-06-06,42.94,42.47
2007-06-07,42.21,41.46
2007-06-08,41.65,41.97
2007-06-11,41.55,41.65
2007-06-12,41.48,41.05
2007-06-13,41.58,41.88
2007-06-14,41.91,42.35
2007-06-15,42.83,42.86
2007-06-18,42.99,42.91
2007-06-19,43.1,43.31
2007-06-20,43.32,42.59
2007-06-21,42.65,42.89
2007-06-22,42.7,42.24
2007-06-25,42.42,42.13
2007-06-26,42.31,41.72
2007-06-27,41.73,42.15
2007-06-28,42.23,42.09
2007-06-29,42.43,42.32
2007-07-02,42.72,42.99
2007-07-03,43.39,43.33
2007-07-05,43.11,42.87
2007-07-06,43.11,43.26
2007-07-09,43.42,43.52
2007-07-10,43.31,42.91
2007-07-11,43.02,43.23
2007-07-12,43.22,43.84
2007-07-13,43.66,43.68
2007-07-16,43.73,43.56
2007-07-17,43.5,43.46
2007-07-18,43.5,43.54
2007-07-19,43.63,43.52
2007-07-20,43.44,43.04
2007-07-23,43.25,43.06
2007-07-24,42.88,42.2
2007-07-25,42.34,42.06
2007-07-26,41.37,40.8
2007-07-27,40.72,40.29
2007-07-30,40.75,40.87
2007-07-31,41.34,40.76
2007-08-01,40.68,40.98
2007-08-02,40.59,40.77
2007-08-03,40.78,40.31
2007-08-06,40.8,40.95
2007-08-07,40.72,41.31
2007-08-08,41.31,41.8
2007-08-09,41.04,41.67
2007-08-10,39.88,40.17
2007-08-13,40.36,39.89
2007-08-14,40.37,39.58
2007-08-15,39.01,38.61
2007-08-16,38.43,38.46
2007-08-17,39.11,39.22
2007-08-20,39.38,39.24
2007-08-21,39.17,39.05
2007-08-22,39.83,40.17
2007-08-23,40.44,40.21
2007-08-24,40.54,41.15
2007-08-27,40.74,40.71
2007-08-28,40.41,39.62
2007-08-29,40.37,40.83
2007-08-30,40.12,40.44
2007-08-31,41.22,41.0
2007-09-04,40.72,41.25
2007-09-05,40.52,40.36
2007-09-06,40.37,40.43
2007-09-07,39.83,39.8
2007-09-10,40.25,39.88
2007-09-11,40.12,40.4
2007-09-12,40.53,40.58
2007-09-13,40.95,40.84
2007-09-14,40.36,40.57
2007-09-17,40.21,40.03
2007-09-18,40.71,41.71
2007-09-19,41.84,41.75
2007-09-20,41.91,41.85
2007-09-21,41.95,42.07
2007-09-24,42.01,41.84
2007-09-25,41.62,41.86
2007-09-26,42.24,42.15
2007-09-27,42.49,42.45
2007-09-28,42.31,42.24
2007-10-01,42.34,43.15
2007-10-02,42.8,42.72
2007-10-03,42.62,42.32
2007-10-04,42.74,42.88
2007-10-05,42.94,43.16
2007-10-08,42.78,42.74
2007-10-09,43.0,43.38
2007-10-10,43.29,43.03
2007-10-11,43.44,43.17
2007-10-12,43.25,43.39
2007-10-15,43.44,43.04
2007-10-16,42.62,42.63
2007-10-17,42.87,42.77
2007-10-18,42.52,42.76
2007-10-19,42.65,42.11
2007-10-22,41.69,41.91
2007-10-23,42.32,42.46
2007-10-24,42.14,42.23
2007-10-25,42.57,42.53
2007-10-26,42.99,43.32
2007-10-29,43.32,43.38
2007-10-30,43.29,43.33
2007-10-31,43.65,43.86
2007-11-01,42.98,42.65
2007-11-02,43.09,43.16
2007-11-05,42.43,42.65
2007-11-06,43.0,43.16
2007-11-07,43.06,42.37
2007-11-08,42.54,42.3
2007-11-09,41.55,41.32
2007-11-12,41.23,41.09
2007-11-13,41.8,42.38
2007-11-14,42.55,42.21
2007-11-15,42.07,41.84
2007-11-16,42.49,42.51
2007-11-19,41.71,41.23
2007-11-20,41.62,42.12
2007-11-21,41.43,41.49
2007-11-22,41.43,41.49
2007-11-23,42.13,42.38
2007-11-26,42.07,41.46
2007-11-27,41.41,42.09
2007-11-28,42.26,43.18
2007-11-29,42.68,42.86
2007-11-30,43.42,42.89
2007-12-03,43.09,42.81
2007-12-04,42.62,42.8
2007-12-05,43.0,43.1
2007-12-06,42.97,43.5
2007-12-07,42.97,43.5
2007-12-10,43.65,43.82
2007-12-11,43.6,42.71
2007-12-12,43.9,43.46
2007-12-13,43.06,42.91
2007-12-14,42.25,41.85
2007-12-17,41.37,41.12
2007-12-18,41.74,41.51
2007-12-19,41.46,41.0
2007-12-20,40.97,41.12
2007-12-21,41.18,41.38
2007-12-24,41.59,41.58
2007-12-26,41.61,41.8
2007-12-27,41.97,41.77
2007-12-28,42.51,42.6
2007-12-31,42.7,41.78
2008-01-02,42.3,42.07
2008-01-03,42.22,42.16
2008-01-04,41.92,41.26
2008-01-07,41.66,41.65
2008-01-08,41.55,41.04
2008-01-09,41.06,41.31
2008-01-10,41.21,41.61
2008-01-11,41.35,41.19
2008-01-14,42.2,41.9
2008-01-15,41.4,40.75
2008-01-16,40.75,40.18
2008-01-17,40.37,39.37
2008-01-18,39.91,39.28
2008-01-22,37.19,38.05
2008-01-23,35.86,37.21
2008-01-24,37.86,37.99
2008-01-25,38.58,37.26
2008-01-28,37.91,38.43
2008-01-29,38.56,38.29
2008-01-30,38.19,38.34
2008-01-31,37.74,38.56
2008-02-01,38.66,38.59
2008-02-04,38.81,38.61
2008-02-05,37.71,36.74
2008-02-06,37.42,36.81
2008-02-07,36.64,36.82
2008-02-08,36.15,35.94
2008-02-11,36.1,36.16
2008-02-12,36.91,36.92
2008-02-13,37.4,37.71
2008-02-14,37.68,37.22
2008-02-15,37.24,37.36
2008-02-19,38.13,37.66
2008-02-20,37.05,37.77
2008-02-21,37.72,37.22
2008-02-22,37.68,37.35
2008-02-25,37.68,37.35
2008-02-26,37.94,38.66
2008-02-27,38.51,38.96
2008-02-28,38.91,38.82
2008-02-29,38.29,37.82
2008-03-03,37.91,37.92
2008-03-04,37.18,37.31
2008-03-05,37.87,37.97
2008-03-06,37.82,37.36
2008-03-07,36.76,36.59
2008-03-10,36.81,36.08
2008-03-11,37.49,37.61
2008-03-12,37.52,37.25
2008-03-13,36.54,37.39
2008-03-14,37.52,36.69
2008-03-17,35.93,36.31
2008-03-18,36.59,37.26
2008-03-19,36.6,35.37
2008-03-20,34.87,35.3
2008-03-24,35.73,35.94
2008-03-25,36.53,36.79
2008-03-26,36.58,37.0
2008-03-27,37.64,36.93
2008-03-28,37.35,36.87
2008-03-31,37.19,37.48
2008-04-01,37.71,38.38
2008-04-02,38.4,38.77
2008-04-03,38.4,39.01
2008-04-04,39.14,39.08
2008-04-07,39.43,39.39
2008-04-08,39.08,39.34
2008-04-09,39.65,39.5
2008-04-10,39.29,39.47
2008-04-11,39.15,38.82
2008-04-14,38.81,38.87
2008-04-15,39.03,38.89
2008-04-16,39.39,39.89
2008-04-17,39.36,39.38
2008-04-18,39.77,39.86
2008-04-21,40.05,40.22
2008-04-22,40.09,39.96
2008-04-23,39.51,39.75
2008-04-24,39.69,39.67
2008-04-25,39.86,40.0
2008-04-28,39.9,39.69
2008-04-29,39.56,39.65
2008-04-30,39.8,39.67
2008-05-01,39.32,39.94
2008-05-02,40.09,39.98
2008-05-05,40.07,40.23
2008-05-06,40.09,40.47
2008-05-07,40.12,39.6
2008-05-08,39.7,39.57
2008-05-09,39.1,39.38
2008-05-12,39.44,39.89
2008-05-13,39.43,39.51
2008-05-14,39.82,39.74
2008-05-15,39.9,40.19
2008-05-16,40.28,40.76
2008-05-19,40.48,40.41
2008-05-20,40.28,40.15
2008-05-21,40.41,40.04
2008-05-22,40.48,40.55
2008-05-23,40.55,40.42
2008-05-27,39.98,40.03
2008-05-28,40.0,39.94
2008-05-29,39.42,39.58
2008-05-30,39.86,40.03
2008-06-02,39.39,39.32
2008-06-03,39.38,38.94
2008-06-04,38.76,38.77
2008-06-05,38.99,39.55
2008-06-06,38.89,38.35
2008-06-09,38.68,38.24
2008-06-10,37.61,37.61
2008-06-11,37.35,37.0
2008-06-12,36.72,36.63
2008-06-13,36.43,36.73
2008-06-16,36.76,37.05
2008-06-17,37.47,37.14
2008-06-18,36.79,36.69
2008-06-19,36.68,36.64
2008-06-20,35.94,35.82
2008-06-23,35.87,35.77
2008-06-24,35.41,35.83
2008-06-25,36.46,36.47
2008-06-26,36.13,35.44
2008-06-27,35.62,35.43
2008-06-30,35.73,35.52
2008-07-01,34.9,35.18
2008-07-02,36.12,35.38
2008-07-03,35.79,35.56
2008-07-07,35.14,34.92
2008-07-08,34.76,35.02
2008-07-09,35.36,34.6
2008-07-10,34.9,35.23
2008-07-11,34.59,34.53
2008-07-14,34.69,34.18
2008-07-15,33.82,33.71
2008-07-16,33.5,34.14
2008-07-17,34.45,34.43
2008-07-18,34.65,34.89
2008-07-21,35.02,35.18
2008-07-22,34.84,35.3
2008-07-23,35.6,35.48
2008-07-24,35.42,34.99
2008-07-25,35.07,35.19
