date,open,close
2007-03-01,45.94,46.51
2007-03-02,46.03,45.75
2007-03-05,45.24,45.08
2007-03-06,45.88,46.16
2007-03-07,46.03,46.07
2007-03-08,46.54,46.48
2007-03-09,46.7,46.51
2007-03-12,46.73,46.89
2007-03-13,46.45,46.03
2007-03-14,45.62,45.62
2007-03-15,45.62,45.65
2007-03-16,45.62,45.62
2007-03-19,45.91,46.13
2007-03-20,46.13,46.54
2007-03-21,46.45,47.05
2007-03-22,47.14,47.11
2007-03-23,47.17,47.17
2007-03-26,46.92,46.92
2007-03-27,46.7,46.73
2007-03-28,46.29,46.38
2007-03-29,46.67,46.45
2007-03-30,46.38,46.13
2007-04-02,45.78,45.88
2007-04-03,46.07,46.26
2007-04-04,46.48,46.6
2007-04-05,46.32,46.48
2007-04-09,46.54,46.41
2007-04-10,46.64,46.57
2007-04-11,46.57,46.38
2007-04-12,46.13,46.32
2007-04-13,46.13,45.94
2007-04-16,46.26,46.6
2007-04-17,46.38,46.32
2007-04-18,46.41,46.38
2007-04-19,45.97,46.16
2007-04-20,46.26,46.35
2007-04-23,45.91,45.84
2007-04-24,45.75,45.78
2007-04-25,45.69,46.03
2007-04-26,45.62,45.81
2007-04-27,45.5,45.56
2007-04-30,45.15,45.21
2007-05-01,45.18,45.21
2007-05-02,45.21,45.46
2007-05-03,45.5,45.53
2007-05-04,45.65,45.69
2007-05-07,45.94,45.91
2007-05-08,45.88,45.81
2007-05-09,46.19,46.38
2007-05-10,45.91,45.69
2007-05-11,45.84,46.03
2007-05-14,45.94,45.91
2007-05-15,45.53,45.53
2007-05-16,45.53,45.62
2007-05-17,45.27,45.24
2007-05-18,45.27,45.12
2007-05-21,44.96,45.12
2007-05-22,45.59,45.56
2007-05-23,45.88,45.62
2007-05-24,45.59,45.4
2007-05-25,45.24,45.21
2007-05-29,45.75,45.69
2007-05-30,45.43,45.78
2007-05-31,46.13,46.22
2007-06-01,46.38,46.48
2007-06-04,46.48,46.64
2007-06-05,46.57,46.57
2007-06-06,46.6,46.38
2007-06-07,46.48,46.19
2007-06-08,45.94,46.41
2007-06-11,46.29,46.35
2007-06-12,46.22,45.75
2007-06-13,45.75,45.88
2007-06-14,45.81,45.94
2007-06-15,46.32,46.35
2007-06-18,46.35,46.26
2007-06-19,46.22,46.22
2007-06-20,46.19,45.91
2007-06-21,46.03,46.13
2007-06-22,45.91,45.69
2007-06-25,45.75,45.43
2007-06-26,45.81,45.5
2007-06-27,45.31,45.59
2007-06-28,45.43,45.5
2007-06-29,45.94,45.94
2007-07-02,46.32,46.76
2007-07-03,46.73,46.67
2007-07-05,46.45,46.54
2007-07-06,46.29,46.32
2007-07-09,46.64,46.32
2007-07-10,46.35,46.29
2007-07-11,46.16,46.26
2007-07-12,46.16,46.57
2007-07-13,46.64,46.79
2007-07-16,46.86,46.7
2007-07-17,46.48,46.45
2007-07-18,46.22,46.22
2007-07-19,46.51,46.45
2007-07-20,46.54,46.26
2007-07-23,46.0,46.54
2007-07-24,46.6,46.38
2007-07-25,46.7,46.41
2007-07-26,46.07,45.59
2007-07-27,45.12,45.15
2007-07-30,45.4,45.91
2007-07-31,45.88,45.69
2007-08-01,45.43,45.34
2007-08-02,44.8,45.12
2007-08-03,44.96,44.48
2007-08-06,45.05,45.15
2007-08-07,44.96,45.05
2007-08-08,45.24,45.43
2007-08-09,45.12,44.7
2007-08-10,43.88,44.07
2007-08-13,44.32,44.13
2007-08-14,44.39,44.01
2007-08-15,43.63,43.28
2007-08-16,42.9,43.37
2007-08-17,42.74,43.06
2007-08-20,42.84,42.58
2007-08-21,42.99,43.12
2007-08-22,43.03,43.69
2007-08-23,43.94,44.01
2007-08-24,43.88,44.23
2007-08-27,44.1,43.88
2007-08-28,43.91,43.47
2007-08-29,43.6,43.88
2007-08-30,43.28,43.6
2007-08-31,44.39,44.55
2007-09-04,44.17,44.29
2007-09-05,43.44,43.44
2007-09-06,43.56,43.47
2007-09-07,43.03,43.25
2007-09-10,43.12,42.87
2007-09-11,43.15,43.31
2007-09-12,43.25,43.18
2007-09-13,42.8,42.87
2007-09-14,43.03,42.99
2007-09-17,42.93,42.77
2007-09-18,42.36,43.22
2007-09-19,43.82,43.69
2007-09-20,43.82,43.53
2007-09-21,43.6,43.63
2007-09-24,43.85,43.79
2007-09-25,43.91,44.04
2007-09-26,44.17,44.42
2007-09-27,44.77,45.43
2007-09-28,45.21,45.4
2007-10-01,45.34,45.91
2007-10-02,46.07,45.78
2007-10-03,45.84,45.81
2007-10-04,45.84,45.78
2007-10-05,46.1,46.38
2007-10-08,46.1,46.13
2007-10-09,46.07,46.0
2007-10-10,45.75,45.91
2007-10-11,46.16,45.97
2007-10-12,45.81,45.97
2007-10-15,45.91,45.43
2007-10-16,44.89,44.61
2007-10-17,44.77,44.67
2007-10-18,44.74,44.86
2007-10-19,44.77,43.98
2007-10-22,43.88,44.23
2007-10-23,44.39,44.36
2007-10-24,44.32,44.17
2007-10-25,44.04,44.01
2007-10-26,44.48,44.77
2007-10-29,44.96,45.37
2007-10-30,45.15,45.15
2007-10-31,45.31,45.46
2007-11-01,45.24,44.89
2007-11-02,45.02,44.77
2007-11-05,44.32,44.01
2007-11-06,44.36,44.51
2007-11-07,44.07,43.69
2007-11-08,43.5,42.99
2007-11-09,42.46,42.42
2007-11-12,42.14,42.46
2007-11-13,42.74,43.18
2007-11-14,43.37,43.31
2007-11-15,43.03,42.93
2007-11-16,42.93,42.61
2007-11-19,42.36,41.89
2007-11-20,42.71,42.99
2007-11-21,42.23,42.23
2007-11-22,42.23,42.23
2007-11-23,42.9,43.18
2007-11-26,43.53,43.18
2007-11-27,43.5,43.88
2007-11-28,43.69,44.29
2007-11-29,44.36,44.45
2007-11-30,44.83,44.55
2007-12-03,44.7,44.61
2007-12-04,44.04,44.13
2007-12-05,44.74,44.96
2007-12-06,44.93,45.53
2007-12-07,44.93,45.53
2007-12-10,45.12,45.24
2007-12-11,45.27,44.26
2007-12-12,45.12,44.61
2007-12-13,43.63,43.69
2007-12-14,42.9,41.98
2007-12-17,41.88,41.25
2007-12-18,41.79,41.98
2007-12-19,41.85,41.7
2007-12-20,41.79,41.85
2007-12-21,42.11,42.49
2007-12-24,42.17,42.42
2007-12-26,42.39,42.61
2007-12-27,42.55,41.94
2007-12-28,42.42,42.42
2007-12-31,42.45,42.52
2008-01-02,42.45,42.33
2008-01-03,42.39,42.49
2008-01-04,42.01,41.39
2008-01-07,41.3,41.14
2008-01-08,41.59,41.05
2008-01-09,41.85,41.94
2008-01-10,41.17,41.59
2008-01-11,41.05,40.89
2008-01-14,41.4,41.4
2008-01-15,40.54,40.25
2008-01-16,39.58,39.51
2008-01-17,39.67,38.97
2008-01-18,39.9,39.99
2008-01-22,37.66,38.52
2008-01-23,37.5,38.65
