date,open,close
2007-05-15,25.01,25.1
2007-05-16,25.15,25.04
2007-05-17,24.93,24.95
2007-05-18,25.23,25.43
2007-05-21,25.29,25.25
2007-05-22,25.32,25.26
2007-05-23,25.42,25.36
2007-05-24,25.28,25.05
2007-05-25,25.14,25.25
2007-05-29,25.33,25.2
2007-05-30,24.97,25.26
2007-05-31,25.46,25.48
2007-06-01,25.5,25.63
2007-06-04,25.55,25.61
2007-06-05,25.55,25.38
2007-06-06,25.24,24.91
2007-06-07,24.74,24.21
2007-06-08,24.44,24.61
2007-06-11,24.57,24.69
2007-06-12,24.44,24.19
2007-06-13,24.36,24.71
2007-06-14,24.72,25.02
2007-06-15,25.46,25.27
2007-06-18,25.41,25.31
2007-06-19,25.29,25.34
2007-06-20,25.48,24.96
2007-06-21,24.97,25.14
2007-06-22,25.07,24.85
2007-06-25,24.84,24.73
2007-06-26,24.89,24.57
2007-06-27,24.62,24.84
2007-06-28,24.96,24.97
2007-06-29,25.18,25.14
2007-07-02,25.31,25.43
2007-07-03,25.57,25.6
2007-07-05,25.58,25.47
2007-07-06,25.67,25.73
2007-07-09,25.84,25.73
2007-07-10,25.47,25.32
2007-07-11,25.43,25.65
2007-07-12,25.84,26.25
2007-07-13,26.16,26.17
2007-07-16,26.06,26.02
2007-07-17,25.97,25.96
2007-07-18,25.8,25.7
2007-07-19,25.96,25.88
2007-07-20,25.7,25.44
2007-07-23,25.61,25.69
2007-07-24,25.47,25.05
2007-07-25,25.11,24.92
2007-07-26,24.35,23.9
2007-07-27,24.0,23.62
2007-07-30,24.01,24.16
2007-07-31,24.38,24.14
2007-08-01,24.15,24.17
2007-08-02,24.13,24.23
2007-08-03,24.0,23.69
2007-08-06,23.78,23.92
2007-08-07,23.76,24.02
2007-08-08,24.29,24.51
2007-08-09,23.61,24.17
2007-08-10,23.31,23.25
2007-08-13,23.61,23.25
2007-08-14,23.42,22.88
2007-08-15,22.5,22.23
2007-08-16,22.02,22.25
2007-08-17,22.57,22.52
2007-08-20,22.75,22.49
2007-08-21,22.52,22.5
2007-08-22,23.02,23.16
2007-08-23,23.36,23.2
2007-08-24,23.31,23.72
2007-08-27,23.72,23.59
2007-08-28,23.38,22.89
2007-08-29,23.26,23.63
2007-08-30,23.32,23.55
2007-08-31,24.06,23.97
2007-09-04,23.73,24.0
2007-09-05,23.66,23.55
2007-09-06,23.58,23.63
2007-09-07,23.3,23.21
2007-09-10,23.28,23.16
2007-09-11,23.42,23.53
2007-09-12,23.66,23.67
2007-09-13,23.87,23.81
2007-09-14,23.64,23.78
2007-09-17,23.47,23.37
2007-09-18,23.69,24.45
2007-09-19,24.71,24.67
2007-09-20,24.7,24.67
2007-09-21,24.87,24.84
2007-09-24,24.81,24.75
2007-09-25,24.59,24.79
2007-09-26,24.96,24.82
2007-09-27,25.18,25.12
2007-09-28,25.11,25.18
2007-10-01,25.16,25.6
2007-10-02,25.5,25.5
2007-10-03,25.43,25.27
2007-10-04,25.31,25.37
2007-10-05,25.5,25.6
2007-10-08,25.46,25.33
2007-10-09,25.43,25.66
2007-10-10,25.5,25.56
2007-10-11,25.73,25.62
2007-10-12,25.48,25.66
2007-10-15,25.77,25.53
2007-10-16,25.26,25.29
2007-10-17,25.69,25.61
2007-10-18,25.5,25.66
2007-10-19,25.46,25.08
2007-10-22,24.72,24.89
2007-10-23,25.23,25.27
2007-10-24,25.21,25.32
2007-10-25,25.48,25.53
2007-10-26,25.78,25.88
2007-10-29,25.96,26.07
2007-10-30,25.81,25.84
2007-10-31,26.0,26.12
2007-11-01,25.57,25.45
2007-11-02,25.53,25.77
2007-11-05,25.33,25.51
2007-11-06,25.77,25.86
2007-11-07,25.78,25.4
2007-11-08,25.53,25.53
2007-11-09,25.08,24.92
2007-11-12,24.68,24.53
2007-11-13,24.88,25.17
2007-11-14,25.6,25.26
2007-11-15,24.81,24.86
2007-11-16,25.11,25.07
2007-11-19,24.91,24.44
2007-11-20,24.81,25.05
2007-11-21,24.54,24.55
2007-11-22,24.54,24.55
2007-11-23,25.1,25.2
2007-11-26,24.99,24.61
2007-11-27,25.01,24.94
2007-11-28,25.06,25.65
2007-11-29,25.58,25.46
2007-11-30,25.75,25.54
2007-12-03,25.62,25.42
2007-12-04,25.24,25.33
2007-12-05,25.63,25.58
2007-12-06,25.47,25.92
2007-12-07,25.47,25.92
2007-12-10,25.98,26.08
2007-12-11,25.98,25.41
2007-12-12,26.13,25.98
2007-12-13,25.5,25.44
2007-12-14,24.95,24.74
2007-12-17,24.51,24.35
2007-12-18,24.69,24.5
2007-12-19,24.57,24.39
2007-12-20,24.45,24.49
2007-12-21,24.82,24.93
2007-12-24,26.44,25.0
2007-12-26,24.96,25.18
2007-12-27,25.27,25.08
2007-12-28,25.45,25.55
2007-12-31,25.47,25.14
2008-01-02,25.51,25.08
2008-01-03,24.99,25.06
2008-01-04,24.88,24.45
2008-01-07,24.65,24.63
2008-01-08,24.81,24.43
2008-01-09,24.34,24.51
2008-01-10,24.23,24.57
2008-01-11,24.3,24.1
2008-01-14,24.66,24.59
2008-01-15,24.17,23.86
2008-01-16,23.77,23.4
2008-01-17,23.49,22.89
2008-01-18,23.26,22.86
2008-01-22,21.01,22.1
