date,open,close
2006-12-29,9.3998,9.3581
2007-01-03,12.4,12.29
2007-01-04,12.18,12.31
2007-01-05,12.28,12.16
2007-01-08,12.16,12.15
2007-01-09,12.15,12.06
2007-01-10,11.89,11.87
2007-01-11,11.8,11.92
2007-01-12,12.04,12.1
2007-01-16,12.34,12.24
2007-01-17,12.32,12.28
2007-01-18,12.34,12.29
2007-01-19,12.39,12.51
2007-01-22,12.78,12.65
2007-01-23,12.75,12.77
2007-01-24,12.87,12.86
2007-01-25,12.66,12.44
2007-01-26,12.45,12.46
2007-01-29,12.52,12.63
2007-01-30,12.66,12.7
2007-01-31,12.51,12.64
2007-02-01,12.76,12.84
2007-02-02,13.0,13.04
2007-02-05,13.2,13.1
2007-02-06,13.18,13.18
2007-02-07,13.27,13.21
2007-02-08,13.13,13.12
2007-02-09,13.04,12.99
2007-02-12,12.96,12.79
2007-02-13,12.78,12.81
2007-02-14,12.93,13.04
2007-02-15,13.16,13.27
2007-02-16,13.26,13.3
2007-02-20,13.25,13.31
2007-02-21,13.49,13.42
2007-02-22,13.46,13.41
2007-02-23,13.53,13.47
2007-02-26,13.63,13.5
2007-02-27,13.08,12.44
2007-02-28,12.46,12.61
2007-03-01,12.27,12.28
2007-03-02,12.23,12.25
2007-03-05,11.97,11.89
2007-03-06,12.45,12.54
2007-03-07,12.58,12.5
2007-03-08,12.69,12.73
2007-03-09,12.94,12.89
2007-03-12,13.08,13.1
2007-03-13,12.92,12.57
2007-03-14,12.36,12.53
2007-03-15,12.48,12.7
2007-03-16,12.69,12.62
2007-03-19,12.76,12.83
2007-03-20,12.82,12.85
2007-03-21,12.98,13.24
2007-03-22,13.37,13.35
2007-03-23,13.35,13.3
2007-03-26,13.31,13.26
2007-03-27,13.37,13.35
2007-03-28,13.24,13.12
2007-03-29,13.42,13.37
2007-03-30,13.4,13.34
2007-04-02,13.44,13.42
2007-04-03,13.58,13.72
2007-04-04,13.77,13.8
2007-04-05,13.89,13.97
2007-04-09,14.19,14.13
2007-04-10,14.16,14.23
2007-04-11,14.21,14.1
2007-04-12,13.87,14.06
2007-04-13,14.07,14.04
2007-04-16,14.22,14.29
2007-04-17,14.33,14.2
2007-04-18,14.17,14.15
2007-04-19,13.81,13.7
2007-04-20,14.04,14.01
2007-04-23,14.03,14.01
2007-04-24,13.91,13.93
2007-04-25,13.97,14.07
2007-04-26,14.56,14.1
2007-04-27,14.02,14.02
2007-04-30,14.0,13.73
2007-05-01,13.7,13.79
2007-05-02,14.01,14.14
2007-05-03,14.29,14.38
2007-05-04,14.42,14.6
2007-05-07,14.6,14.55
2007-05-08,14.27,14.35
2007-05-09,14.38,14.44
2007-05-10,14.5,14.2
2007-05-11,14.37,14.59
2007-05-14,14.58,14.56
2007-05-15,14.34,14.44
2007-05-16,14.63,14.66
2007-05-17,14.75,14.66
2007-05-18,14.6,14.72
2007-05-21,14.72,14.65
2007-05-22,14.73,14.64
2007-05-23,14.83,14.83
2007-05-24,14.77,14.51
2007-05-25,14.61,14.6
2007-05-29,14.66,14.65
2007-05-30,14.5,14.73
2007-05-31,14.73,14.76
2007-06-01,14.83,14.74
2007-06-04,14.76,14.88
2007-06-05,14.84,14.77
2007-06-06,14.74,14.6
2007-06-07,14.54,14.15
2007-06-08,14.14,14.54
2007-06-11,14.56,14.64
2007-06-12,14.61,14.43
2007-06-13,14.51,14.75
2007-06-14,14.68,14.79
2007-06-15,14.88,14.9
2007-06-18,15.05,14.91
2007-06-19,15.01,15.03
2007-06-20,15.1,14.88
2007-06-21,15.0,15.19
2007-06-22,15.04,14.95
2007-06-25,14.82,14.77
2007-06-26,14.69,14.5
2007-06-27,14.37,14.7
2007-06-28,14.71,14.66
2007-06-29,14.77,14.71
2007-07-02,14.65,14.9
2007-07-03,14.88,14.92
2007-07-05,14.78,14.77
2007-07-06,14.79,14.96
2007-07-09,15.2,15.21
2007-07-10,15.31,15.0
2007-07-11,15.01,15.07
2007-07-12,15.19,15.38
2007-07-13,15.37,15.34
2007-07-16,15.18,15.23
2007-07-17,15.24,15.25
2007-07-18,15.24,14.97
2007-07-19,15.1,15.13
2007-07-20,15.29,15.13
2007-07-23,15.26,15.27
2007-07-24,15.25,15.12
2007-07-25,15.13,15.21
2007-07-26,14.83,14.51
2007-07-27,14.42,14.34
2007-07-30,14.58,14.86
2007-07-31,15.02,14.59
2007-08-01,14.34,14.5
2007-08-02,14.46,14.5
2007-08-03,14.34,13.86
2007-08-06,13.82,13.93
2007-08-07,13.72,13.92
2007-08-08,14.15,14.61
2007-08-09,14.56,14.06
2007-08-10,13.69,14.08
2007-08-13,14.23,14.15
2007-08-14,14.21,13.86
2007-08-15,13.65,13.3
2007-08-16,12.97,12.99
2007-08-17,13.17,13.82
2007-08-20,14.13,13.83
2007-08-21,13.48,13.47
2007-08-22,13.78,14.22
2007-08-23,14.34,14.18
2007-08-24,14.28,14.61
2007-08-27,14.61,14.34
2007-08-28,14.33,13.64
2007-08-29,14.06,14.49
2007-08-30,14.41,14.08
2007-08-31,14.49,14.34
2007-09-04,14.34,14.41
2007-09-05,14.54,14.31
