date,open,close
2006-12-29,4.6794,4.6382
2007-01-03,4.63,4.61
2007-01-04,4.64,4.66
2007-01-05,4.66,4.66
2007-01-08,4.66,4.58
2007-01-09,4.58,4.74
2007-01-10,4.73,4.76
2007-01-11,4.79,4.88
2007-01-12,4.88,4.84
2007-01-16,4.86,4.85
2007-01-17,4.84,4.84
2007-01-18,4.8,4.78
2007-01-19,4.77,4.71
2007-01-22,4.7,4.63
2007-01-23,4.62,4.62
2007-01-24,4.64,4.69
2007-01-25,4.7,4.51
2007-01-26,4.53,4.39
2007-01-29,4.39,4.46
2007-01-30,4.47,4.43
2007-01-31,4.43,4.49
2007-02-01,4.51,4.52
2007-02-02,4.55,4.53
2007-02-05,4.53,4.45
2007-02-06,4.46,4.43
2007-02-07,4.44,4.51
2007-02-08,4.5,4.47
2007-02-09,4.47,4.5
2007-02-12,4.53,4.46
2007-02-13,4.47,4.51
2007-02-14,4.51,4.53
2007-02-15,4.6,4.52
2007-02-16,4.52,4.52
2007-02-20,4.52,4.53
2007-02-21,4.52,4.65
2007-02-22,4.65,4.56
2007-02-23,4.55,4.52
2007-02-26,4.54,4.49
2007-02-27,4.4,4.38
2007-02-28,4.39,4.4
2007-03-01,4.41,4.38
2007-03-02,4.38,4.31
2007-03-05,4.28,4.3
2007-03-06,4.3,4.35
2007-03-07,4.36,4.35
2007-03-08,4.4,4.52
2007-03-09,4.52,4.55
2007-03-12,4.53,4.61
2007-03-13,4.59,4.53
2007-03-14,4.53,4.48
2007-03-15,4.48,4.55
2007-03-16,4.56,4.49
2007-03-19,4.51,4.57
2007-03-20,4.57,4.65
2007-03-21,4.65,4.64
2007-03-22,4.66,4.59
2007-03-23,4.61,4.59
2007-03-26,4.63,4.7
2007-03-27,5.3,5.24
2007-03-28,5.23,5.48
2007-03-29,5.48,5.45
2007-03-30,5.44,5.47
2007-04-02,5.47,5.53
2007-04-03,5.54,5.58
2007-04-04,5.55,5.54
2007-04-05,5.53,5.6
2007-04-09,5.61,5.56
2007-04-10,5.58,5.72
2007-04-11,5.81,5.77
2007-04-12,5.77,5.7
2007-04-13,5.71,5.68
2007-04-16,5.7,5.69
2007-04-17,5.7,5.71
2007-04-18,5.7,5.63
2007-04-19,5.57,5.55
2007-04-20,5.67,5.72
2007-04-23,5.73,5.87
2007-04-24,5.88,5.74
2007-04-25,5.74,5.68
2007-04-26,5.7,5.72
2007-04-27,5.72,5.65
2007-04-30,5.68,5.58
2007-05-01,5.58,5.63
2007-05-02,5.63,5.68
2007-05-03,5.55,5.65
2007-05-04,5.66,5.59
2007-05-07,5.67,5.6
2007-05-08,5.59,5.62
2007-05-09,5.6,5.63
2007-05-10,5.75,5.53
2007-05-11,5.56,5.49
2007-05-14,5.53,5.54
2007-05-15,5.54,5.76
2007-05-16,5.77,5.92
2007-05-17,5.92,5.98
2007-05-18,6.0,5.98
2007-05-21,6.02,6.24
2007-05-22,6.29,6.33
2007-05-23,6.4,6.03
2007-05-24,6.09,5.92
2007-05-25,5.92,6.02
2007-05-29,6.07,6.05
2007-05-30,6.0,6.12
2007-05-31,6.12,6.22
2007-06-01,6.22,6.33
2007-06-04,6.39,6.43
2007-06-05,6.43,6.41
2007-06-06,6.36,6.29
2007-06-07,6.37,6.12
2007-06-08,6.13,6.26
2007-06-11,6.24,6.2
2007-06-12,6.18,6.11
2007-06-13,6.16,6.22
2007-06-14,6.21,6.26
2007-06-15,6.38,6.59
2007-06-18,6.71,6.75
2007-06-19,6.75,6.73
2007-06-20,6.76,6.66
2007-06-21,6.63,6.73
2007-06-22,6.73,6.73
2007-06-25,6.73,6.72
2007-06-26,6.72,6.64
2007-06-27,6.61,6.79
2007-06-28,6.78,6.71
2007-06-29,6.71,6.57
2007-07-02,6.58,6.76
2007-07-03,6.76,6.8
2007-07-05,6.8,6.98
2007-07-06,6.98,6.98
2007-07-09,7.03,7.27
2007-07-10,7.4,7.08
2007-07-11,7.08,7.02
2007-07-12,7.09,7.13
2007-07-13,7.13,7.06
2007-07-16,7.03,7.07
2007-07-17,7.07,6.99
2007-07-18,6.94,7.08
2007-07-19,7.13,7.0
2007-07-20,6.99,7.05
2007-07-23,7.09,6.91
2007-07-24,7.01,6.99
2007-07-25,6.99,7.06
2007-07-26,6.98,6.9
2007-07-27,6.86,6.79
2007-07-30,6.8,6.84
2007-07-31,6.84,6.78
2007-08-01,6.78,6.74
2007-08-02,6.76,6.98
2007-08-03,6.98,6.65
2007-08-06,6.72,6.82
2007-08-07,6.82,7.19
2007-08-08,7.33,7.4
2007-08-09,7.23,6.88
2007-08-10,6.72,6.7
2007-08-13,6.7,6.84
2007-08-14,6.88,6.73
2007-08-15,6.7,6.65
2007-08-16,6.6,6.55
2007-08-17,6.76,6.71
2007-08-20,6.81,7.01
2007-08-21,7.01,7.22
2007-08-22,7.39,7.3
2007-08-23,7.4,7.98
2007-08-24,8.11,8.31
2007-08-27,8.4,8.19
2007-08-28,8.1,7.8
2007-08-29,7.95,8.34
2007-08-30,8.36,8.21
2007-08-31,8.23,8.43
2007-09-04,8.43,8.59
2007-09-05,8.49,8.35
2007-09-06,8.35,8.41
2007-09-07,8.42,8.1
2007-09-10,8.13,8.2
2007-09-11,8.33,8.43
2007-09-12,8.42,8.46
2007-09-13,8.48,8.37
2007-09-14,8.35,8.72
2007-09-17,8.61,8.64
2007-09-18,8.73,8.78
2007-09-19,8.9,8.98
2007-09-20,8.97,9.16
2007-09-21,9.24,9.29
2007-09-24,9.41,9.44
2007-09-25,9.24,9.59
2007-09-26,9.59,9.88
2007-09-27,9.75,9.54
2007-09-28,9.54,9.47
2007-10-01,9.51,9.44
2007-10-02,9.58,9.68
2007-10-03,9.49,9.51
2007-10-04,9.56,9.18
2007-10-05,9.29,9.53
2007-10-08,9.55,9.52
2007-10-09,9.66,9.87
2007-10-10,9.87,9.91
2007-10-11,9.94,9.59
2007-10-12,9.57,9.65
2007-10-15,9.67,9.75
2007-10-16,9.66,9.77
2007-10-17,9.98,9.83
2007-10-18,9.9,9.81
2007-10-19,9.97,9.54
2007-10-22,9.45,9.54
2007-10-23,9.69,10.09
2007-10-24,10.19,9.77
2007-10-25,9.82,9.51
2007-10-26,9.8,9.65
2007-10-29,9.85,9.79
2007-10-30,9.89,9.66
2007-10-31,9.72,9.95
2007-11-01,9.91,9.72
2007-11-02,9.86,9.5
2007-11-05,9.5,9.58
2007-11-06,9.63,9.86
2007-11-07,9.7,9.48
2007-11-08,9.62,9.38
2007-11-09,8.93,8.87
2007-11-12,8.5,8.74
2007-11-13,8.8,9.15
2007-11-14,9.55,9.05
2007-11-15,9.18,9.4
2007-11-16,9.36,9.24
2007-11-19,9.35,8.91
2007-11-20,8.29,8.57
2007-11-21,8.45,8.29
2007-11-22,8.45,8.29
2007-11-23,8.48,8.43
2007-11-26,8.57,8.65
2007-11-27,8.8,8.93
2007-11-28,9.13,9.37
2007-11-29,9.51,9.39
2007-11-30,9.59,9.66
2007-12-03,9.75,9.68
2007-12-04,9.58,9.62
2007-12-05,9.75,9.73
2007-12-06,9.9,10.03
2007-12-07,9.9,10.03
2007-12-10,10.24,10.08
2007-12-11,10.13,9.77
2007-12-12,10.0,9.85
2007-12-13,9.79,9.67
2007-12-14,9.66,9.78
2007-12-17,9.75,9.77
2007-12-18,9.86,10.25
2007-12-19,10.33,10.25
2007-12-20,10.3,10.44
2007-12-21,10.51,10.33
2007-12-24,10.54,10.64
2007-12-26,10.7,10.57
2007-12-27,10.51,10.45
2007-12-28,10.46,10.47
2007-12-31,10.41,10.44
2008-01-02,10.45,10.13
2008-01-03,10.13,10.1
2008-01-04,9.88,9.59
2008-01-07,9.5,9.5
2008-01-08,9.59,9.43
2008-01-09,9.41,9.26
2008-01-10,9.1,8.79
2008-01-11,8.74,8.76
2008-01-14,8.8,9.03
2008-01-15,8.98,8.54
2008-01-16,8.32,8.62
2008-01-17,8.65,8.36
2008-01-18,8.42,8.29
2008-01-22,7.83,8.48
2008-01-23,8.25,8.75
2008-01-24,8.82,8.81
2008-01-25,8.91,8.34
2008-01-28,8.33,8.5
2008-01-29,8.53,8.35
2008-01-30,8.32,8.25
2008-01-31,8.13,8.67
2008-02-01,8.71,8.83
2008-02-04,9.11,8.74
2008-02-05,8.57,8.3
2008-02-06,8.37,8.28
2008-02-07,8.2,8.26
2008-02-08,8.24,8.44
2008-02-11,8.3,8.44
2008-02-12,8.48,8.25
2008-02-13,8.3,7.95
2008-02-14,7.95,7.69
2008-02-15,7.6,8.01
2008-02-19,8.07,7.88
2008-02-20,7.83,7.69
2008-02-21,7.73,7.73
2008-02-22,7.78,7.78
2008-02-25,7.78,7.78
2008-02-26,7.67,7.92
2008-02-27,7.89,7.97
2008-02-28,7.9,7.57
2008-02-29,7.54,7.12
2008-03-03,7.11,7.18
2008-03-04,7.1,7.33
2008-03-05,7.38,7.6
2008-03-06,7.58,7.29
2008-03-07,7.21,7.17
2008-03-10,7.13,7.28
2008-03-11,7.62,7.88
2008-03-12,7.87,7.77
2008-03-13,7.68,7.93
2008-03-14,8.12,8.24
2008-03-17,7.75,7.9
2008-03-18,8.24,8.16
2008-03-19,8.21,7.9
2008-03-20,7.9,8.43
2008-03-24,8.49,9.07
2008-03-25,9.08,9.05
2008-03-26,9.02,8.9
2008-03-27,8.94,9.08
2008-03-28,9.04,8.72
2008-03-31,8.65,8.69
2008-04-01,8.86,9.36
2008-04-02,9.38,9.36
2008-04-03,9.32,9.48
2008-04-04,9.41,9.48
2008-04-07,9.59,9.42
2008-04-08,9.29,9.3
2008-04-09,9.24,9.02
2008-04-10,9.01,9.28
2008-04-11,9.13,9.17
2008-04-14,9.13,9.23
2008-04-15,9.33,9.39
2008-04-16,9.45,9.52
2008-04-17,9.56,9.59
2008-04-18,9.77,9.52
2008-04-21,9.13,9.34
2008-04-22,9.29,9.22
2008-04-23,9.08,9.28
2008-04-24,9.27,9.41
2008-04-25,9.47,9.44
