date,open,close
2015-10-05,32.82,33.32
2015-10-06,33.2,33.32
2015-10-07,33.6,33.24
2015-10-08,33.21,33.09
2015-10-09,33.11,33.3
2015-10-12,33.2,33.55
2015-10-13,33.45,33.89
2015-10-14,33.92,33.75
2015-10-15,33.99,34.38
2015-10-16,34.5,34.49
2015-10-19,34.43,34.72
2015-10-20,34.62,33.73
2015-10-21,33.89,33.33
2015-10-22,33.51,33.79
2015-10-23,37.21,35.68
2015-10-26,35.72,36.27
2015-10-27,36.04,36.35
2015-10-28,36.36,36.56
2015-10-29,36.54,36.95
2015-10-30,36.98,36.58
2015-11-02,36.6,37.09
2015-11-03,36.98,37.15
2015-11-04,37.2,37.47
2015-11-05,37.64,37.73
2015-11-06,37.67,37.78
2015-11-09,37.63,37.44
2015-11-10,37.38,37.61
2015-11-11,37.82,37.96
2015-11-12,37.71,37.53
2015-11-13,37.4,36.71
2015-11-16,36.72,37.23
2015-11-17,37.33,37.01
2015-11-18,37.18,37.7
2015-11-19,37.69,37.7
2015-11-20,38.16,38.54
2015-11-23,38.57,38.53
2015-11-24,38.34,38.18
2015-11-25,38.28,38.16
2015-11-27,38.15,38.29
2015-11-30,38.29,37.84
2015-12-01,38.04,38.88
2015-12-02,38.95,38.59
2015-12-03,38.72,38.11
2015-12-04,38.18,38.65
2015-12-07,38.7,38.34
2015-12-08,37.92,38.45
2015-12-09,38.25,37.83
2015-12-10,37.88,37.7
2015-12-11,37.15,37.23
2015-12-14,37.27,37.83
2015-12-15,38.09,37.71
2015-12-16,38.03,38.52
2015-12-17,38.75,38.19
2015-12-18,38.06,37.54
2015-12-21,37.85,37.74
2015-12-22,37.91,38.05
2015-12-23,38.23,38.12
2015-12-24,38.12,37.99
2015-12-28,38.2,38.8
2015-12-29,39.04,39.39
2015-12-30,39.39,39.2
2015-12-31,39.08,38.59
2016-01-04,37.81,37.67
2016-01-05,37.9,37.78
2016-01-06,37.22,37.67
2016-01-07,37.03,36.76
2016-01-08,37.1,36.26
2016-01-11,36.31,36.36
2016-01-12,36.75,36.97
2016-01-13,37.17,35.69
2016-01-14,35.94,36.28
2016-01-15,35.22,35.24
2016-01-19,35.72,35.67
2016-01-20,35.02,35.64
2016-01-21,35.72,36.05
2016-01-22,36.81,36.98
2016-01-25,36.9,36.39
2016-01-26,36.47,36.4
2016-01-27,36.5,35.6
2016-01-28,36.62,37.12
2016-01-29,37.15,37.77
2016-02-01,38.26,38.23
2016-02-02,39.71,38.74
2016-02-03,39.0,37.17
2016-02-04,36.94,36.21
2016-02-05,35.99,34.91
2016-02-08,34.11,34.93
2016-02-09,34.37,34.77
2016-02-10,35.31,35.06
2016-02-11,34.54,35.04
2016-02-12,35.33,35.07
2016-02-16,35.65,35.6
2016-02-17,36.06,36.31
2016-02-18,36.41,35.59
2016-02-19,35.51,35.82
2016-02-22,36.19,36.17
2016-02-23,36.02,35.58
2016-02-24,35.25,35.76
2016-02-25,35.86,36.17
2016-02-26,36.39,35.96
2016-02-29,35.77,35.58
2016-03-01,35.78,36.82
2016-03-02,36.85,36.68
2016-03-03,36.68,36.29
2016-03-04,36.45,36.22
2016-03-07,35.97,35.36
2016-03-08,35.14,35.4
2016-03-09,35.48,35.98
2016-03-10,36.1,36.32
2016-03-11,36.71,36.95
2016-03-14,36.95,37.22
2016-03-15,37.01,37.23
2016-03-16,37.16,37.57
2016-03-17,37.58,37.63
2016-03-18,37.78,37.47
2016-03-21,37.4,37.81
2016-03-22,37.62,37.7
2016-03-23,37.87,37.58
2016-03-24,37.26,37.44
2016-03-28,37.51,37.37
2016-03-29,37.39,37.99
2016-03-30,38.11,38.11
2016-03-31,38.11,37.84
2016-04-01,37.56,38.18
2016-04-04,38.17,37.95
2016-04-05,37.61,37.63
2016-04-06,37.59,38.1
2016-04-07,37.96,37.71
2016-04-08,37.99,37.67
2016-04-11,37.97,37.58
2016-04-12,37.62,37.91
2016-04-13,38.21,38.29
2016-04-14,38.46,38.46
2016-04-15,38.47,38.69
2016-04-18,38.7,39.07
2016-04-19,39.21,38.51
2016-04-20,38.65,38.44
2016-04-21,38.56,38.69
2016-04-22,36.9,36.6
2016-04-25,36.48,36.82
2016-04-26,36.93,35.98
2016-04-27,35.98,35.79
2016-04-28,35.88,34.98
2016-04-29,34.93,35.12
2016-05-02,35.32,35.44
2016-05-03,35.34,35.14
2016-05-04,35.06,35.29
2016-05-05,35.47,35.45
2016-05-06,35.33,35.97
2016-05-09,36.05,36.17
2016-05-10,36.46,36.68
2016-05-11,36.73,36.24
2016-05-12,36.31,36.12
2016-05-13,36.04,35.96
2016-05-16,35.93,36.23
2016-05-17,36.26,35.73
2016-05-18,35.64,35.8
2016-05-19,35.63,35.48
2016-05-20,35.54,35.8
2016-05-23,35.72,35.58
2016-05-24,35.71,36.36
2016-05-25,36.46,36.61
2016-05-26,36.51,36.56
2016-05-27,36.58,37.09
2016-05-31,37.14,37.15
2016-06-01,37.13,37.13
2016-06-02,37.01,36.92
2016-06-03,36.78,36.5
2016-06-06,36.63,36.22
2016-06-07,36.37,36.27
2016-06-08,36.68,36.85
2016-06-09,36.56,36.83
2016-06-10,36.51,36.37
2016-06-13,36.2,36.31
2016-06-14,36.18,36.37
2016-06-15,36.46,36.32
2016-06-16,36.11,35.93
2016-06-17,35.79,34.94
2016-06-20,35.24,35.03
2016-06-21,35.22,35.16
2016-06-22,35.42,35.24
2016-06-23,35.25,35.46
2016-06-24,34.24,33.99
2016-06-27,33.86,33.79
