date,open,close
2006-12-29,57.3933,56.9336
2007-01-03,63.05,62.63
2007-01-04,62.41,62.8
2007-01-05,62.52,61.48
2007-01-08,61.66,61.24
2007-01-09,61.8,61.82
2007-01-10,61.51,62.3
2007-01-11,62.07,62.69
2007-01-12,62.7,63.29
2007-01-16,63.47,62.86
2007-01-17,62.68,62.59
2007-01-18,62.05,62.07
2007-01-19,61.73,62.31
2007-01-22,62.36,61.85
2007-01-23,61.75,62.44
2007-01-24,62.51,63.12
2007-01-25,63.11,62.33
2007-01-26,62.49,62.56
2007-01-29,62.6,63.1
2007-01-30,63.21,63.45
2007-01-31,63.35,63.58
2007-02-01,63.84,64.26
2007-02-02,64.42,64.3
2007-02-05,64.28,64.3
2007-02-06,64.31,64.46
2007-02-07,64.54,65.05
2007-02-08,64.8,64.95
2007-02-09,64.89,64.28
2007-02-12,64.33,64.12
2007-02-13,64.26,64.65
2007-02-14,64.69,64.71
2007-02-15,64.67,64.72
2007-02-16,64.68,65.04
2007-02-20,64.91,65.63
2007-02-21,65.43,65.79
2007-02-22,65.91,66.02
2007-02-23,65.92,65.67
2007-02-26,65.92,65.51
2007-02-27,64.76,62.54
2007-02-28,63.18,63.17
2007-03-01,63.0,62.85
2007-03-02,62.54,61.54
2007-03-05,60.82,60.23
2007-03-06,61.04,61.76
2007-03-07,61.83,61.68
2007-03-08,62.39,62.51
2007-03-09,62.3,62.71
2007-03-12,62.72,62.82
2007-03-13,62.45,61.21
2007-03-14,61.08,61.9
2007-03-15,61.72,62.34
2007-03-16,62.06,62.0
2007-03-19,62.38,62.7
2007-03-20,62.55,63.17
2007-03-21,63.3,64.38
2007-03-22,64.42,64.32
2007-03-23,64.52,64.43
2007-03-26,64.5,64.25
2007-03-27,64.21,63.94
2007-03-28,63.59,63.61
2007-03-29,63.8,63.57
2007-03-30,63.69,63.84
2007-04-02,63.84,64.03
2007-04-03,64.3,64.66
2007-04-04,64.63,64.69
2007-04-05,64.63,64.59
2007-04-09,64.94,64.69
2007-04-10,64.69,64.87
2007-04-11,64.92,64.47
2007-04-12,64.3,64.91
2007-04-13,64.81,65.36
2007-04-16,65.58,66.2
2007-04-17,66.04,66.05
2007-04-18,66.03,65.66
2007-04-19,65.16,65.32
2007-04-20,65.73,66.09
2007-04-23,65.95,66.01
2007-04-24,66.12,66.07
2007-04-25,66.18,66.26
2007-04-26,66.39,66.78
2007-04-27,66.38,66.22
2007-04-30,66.26,64.83
2007-05-01,64.83,65.15
2007-05-02,65.28,65.96
2007-05-03,65.95,66.07
2007-05-04,66.28,66.54
2007-05-07,66.5,66.31
2007-05-08,65.96,66.07
2007-05-09,65.89,66.34
2007-05-10,66.14,65.47
2007-05-11,65.6,66.08
2007-05-14,66.12,65.6
2007-05-15,65.28,65.02
2007-05-16,65.06,65.38
2007-05-17,65.33,64.86
2007-05-18,65.05,65.62
2007-05-21,65.75,66.45
2007-05-22,66.64,66.91
2007-05-23,67.1,66.64
2007-05-24,66.55,65.84
2007-05-25,66.08,66.24
2007-05-29,66.43,66.91
2007-05-30,66.59,67.28
2007-05-31,67.49,67.6
2007-06-01,67.73,68.01
2007-06-04,67.9,68.08
2007-06-05,67.92,67.81
2007-06-06,67.44,67.05
2007-06-07,66.85,65.71
2007-06-08,65.46,66.52
2007-06-11,66.62,66.54
2007-06-12,66.28,65.44
2007-06-13,65.64,66.31
2007-06-14,66.43,66.91
2007-06-15,67.06,67.71
2007-06-18,67.81,67.58
2007-06-19,67.36,67.76
2007-06-20,67.97,66.59
2007-06-21,66.51,67.03
2007-06-22,66.91,66.58
2007-06-25,66.44,66.23
2007-06-26,66.44,65.63
2007-06-27,65.62,67.08
2007-06-28,67.16,67.11
2007-06-29,66.9,66.74
2007-07-02,67.11,67.57
2007-07-03,67.57,67.87
2007-07-05,68.02,67.96
2007-07-06,68.06,68.22
2007-07-09,68.38,68.98
2007-07-10,68.07,66.94
2007-07-11,66.8,67.44
2007-07-12,67.64,68.24
2007-07-13,68.41,68.34
2007-07-16,68.24,67.97
2007-07-17,68.09,68.04
2007-07-18,67.7,67.77
2007-07-19,68.15,68.05
2007-07-20,67.93,66.94
2007-07-23,67.13,66.76
2007-07-24,66.47,65.17
2007-07-25,65.55,64.92
2007-07-26,64.16,63.12
2007-07-27,62.35,61.65
2007-07-30,61.7,62.72
2007-07-31,63.45,62.03
2007-08-01,61.56,62.37
2007-08-02,62.56,62.86
2007-08-03,62.89,60.64
2007-08-06,60.97,61.17
2007-08-07,61.26,62.11
2007-08-08,62.67,64.0
2007-08-09,63.21,62.5
2007-08-10,61.24,62.8
2007-08-13,63.6,62.49
2007-08-14,62.7,61.39
2007-08-15,61.0,60.5
2007-08-16,59.77,61.75
2007-08-17,61.25,63.08
2007-08-20,63.15,63.13
2007-08-21,63.47,63.31
2007-08-22,63.8,64.06
2007-08-23,64.63,63.24
2007-08-24,63.15,64.06
2007-08-27,63.95,63.24
2007-08-28,62.95,61.59
2007-08-29,62.07,63.2
2007-08-30,62.89,62.78
2007-08-31,63.73,63.35
2007-09-04,63.31,64.16
2007-09-05,63.8,63.56
2007-09-06,63.36,63.58
2007-09-07,63.39,62.48
2007-09-10,62.31,61.76
2007-09-11,62.08,62.74
2007-09-12,62.68,62.4
2007-09-13,62.56,62.51
2007-09-14,62.06,62.82
2007-09-17,62.58,62.16
2007-09-18,62.16,64.78
2007-09-19,65.14,65.66
2007-09-20,65.34,65.0
2007-09-21,65.37,65.13
2007-09-24,65.24,64.63
2007-09-25,64.44,64.38
2007-09-26,64.9,64.97
2007-09-27,64.99,65.33
2007-09-28,65.24,64.55
2007-10-01,64.6,66.16
2007-10-02,66.37,66.59
2007-10-03,66.34,66.39
2007-10-04,66.64,66.55
2007-10-05,66.81,67.85
2007-10-08,67.69,67.35
2007-10-09,67.58,67.89
2007-10-10,67.85,67.84
2007-10-11,68.29,67.07
2007-10-12,66.94,67.6
2007-10-15,67.54,66.82
2007-10-16,66.43,66.09
2007-10-17,66.77,66.33
2007-10-18,65.99,66.23
2007-10-19,65.98,63.79
