date,open,close
2007-01-03,38.5,38.65
2007-01-04,38.36,39.14
2007-01-05,38.89,38.78
2007-01-08,38.72,38.72
2007-01-09,38.77,38.57
2007-01-10,38.75,38.51
2007-01-11,38.65,38.85
2007-01-12,38.68,38.79
2007-01-16,38.8,38.74
2007-01-17,38.77,38.93
2007-01-18,39.13,39.42
2007-01-19,39.59,39.45
2007-01-22,39.59,39.11
2007-01-23,39.0,38.71
2007-01-24,38.66,39.01
2007-01-25,38.89,38.82
2007-01-26,38.82,38.46
2007-01-29,38.57,38.51
2007-01-30,38.51,38.65
2007-01-31,38.65,38.89
2007-02-01,38.89,39.01
2007-02-02,39.0,38.76
2007-02-05,38.64,38.6
2007-02-06,38.65,38.42
2007-02-07,38.42,38.3
2007-02-08,38.28,38.28
2007-02-09,38.34,38.19
2007-02-12,38.26,38.11
2007-02-13,38.08,38.06
2007-02-14,38.16,38.33
2007-02-15,38.28,38.3
2007-02-16,38.22,38.14
2007-02-20,38.07,38.11
2007-02-21,37.99,37.84
2007-02-22,37.82,37.71
2007-02-23,37.83,37.56
2007-02-26,37.62,37.65
2007-02-27,37.65,36.92
2007-02-28,36.92,36.85
2007-03-01,36.51,36.57
2007-03-02,36.57,36.27
2007-03-05,36.27,36.2
2007-03-06,36.2,36.13
2007-03-07,36.1,36.22
2007-03-08,36.3,36.14
2007-03-09,36.41,36.38
2007-03-12,36.45,36.18
2007-03-13,36.18,35.58
2007-03-14,35.58,35.55
2007-03-15,35.54,35.44
2007-03-16,35.44,35.43
2007-03-19,35.43,35.56
2007-03-20,35.52,35.76
2007-03-21,35.76,35.85
2007-03-22,35.85,35.64
2007-03-23,35.64,35.43
2007-03-26,35.43,35.28
2007-03-27,35.19,35.15
2007-03-28,35.15,35.13
2007-03-29,35.35,35.33
2007-03-30,35.38,35.28
2007-04-02,35.28,35.19
2007-04-03,35.45,35.51
2007-04-04,35.89,35.89
2007-04-05,35.92,36.04
2007-04-09,36.07,36.09
2007-04-10,36.03,36.11
2007-04-11,36.02,36.24
2007-04-12,36.04,36.26
2007-04-13,36.26,36.51
2007-04-16,36.59,36.9
2007-04-17,36.9,37.8
2007-04-18,37.8,37.73
2007-04-19,37.73,38.02
2007-04-20,38.32,38.13
2007-04-23,38.13,37.91
2007-04-24,37.9,37.76
2007-04-25,37.91,37.87
2007-04-26,37.76,37.61
2007-04-27,37.61,37.57
2007-04-30,37.57,37.6
2007-05-01,37.78,37.8
2007-05-02,37.48,37.76
2007-05-03,37.76,37.66
2007-05-04,37.8,37.76
2007-05-07,37.24,37.63
2007-05-08,37.44,37.3
2007-05-09,37.3,37.54
2007-05-10,37.48,36.6
2007-05-11,36.6,36.46
2007-05-14,36.91,36.66
2007-05-15,36.46,36.2
2007-05-16,36.57,36.92
2007-05-17,36.92,36.74
2007-05-18,36.75,37.13
2007-05-21,37.47,37.19
2007-05-22,37.3,37.23
2007-05-23,37.34,37.36
2007-05-24,37.53,37.42
2007-05-25,37.46,37.25
2007-05-29,37.25,37.16
2007-05-30,37.16,37.26
2007-05-31,37.26,37.29
2007-06-01,37.29,37.38
2007-06-04,37.16,37.49
2007-06-05,37.37,37.32
2007-06-06,37.32,37.07
2007-06-07,37.07,36.54
2007-06-08,36.49,36.62
2007-06-11,36.62,36.7
2007-06-12,36.69,36.44
2007-06-13,36.46,36.65
2007-06-14,36.71,36.81
2007-06-15,36.89,37.0
2007-06-18,37.05,36.74
2007-06-19,36.74,36.79
2007-06-20,36.79,36.57
2007-06-21,36.54,36.61
2007-06-22,36.61,35.8
2007-06-25,35.95,36.02
2007-06-26,36.02,36.34
2007-06-27,36.04,36.22
2007-06-28,36.1,36.25
2007-06-29,36.3,36.32
2007-07-02,36.51,36.46
2007-07-03,36.49,36.51
2007-07-05,36.6,36.71
2007-07-06,36.71,36.62
2007-07-09,36.76,36.97
2007-07-10,36.97,36.66
2007-07-11,36.91,37.05
2007-07-12,37.1,37.35
2007-07-13,37.41,37.39
2007-07-16,37.37,37.61
2007-07-17,37.72,36.98
2007-07-18,36.84,36.66
2007-07-19,36.54,36.77
2007-07-20,36.77,36.42
2007-07-23,36.48,36.54
2007-07-24,36.29,36.23
2007-07-25,36.37,36.27
2007-07-26,36.01,35.93
2007-07-27,35.93,35.23
2007-07-30,35.24,35.41
2007-07-31,35.81,35.66
2007-08-01,35.57,35.93
2007-08-02,35.84,35.97
2007-08-03,35.97,35.69
2007-08-06,35.78,36.72
2007-08-07,36.4,36.59
2007-08-08,36.59,36.83
2007-08-09,36.54,35.85
2007-08-10,35.84,36.04
2007-08-13,36.04,36.22
2007-08-14,36.22,36.03
2007-08-15,36.03,36.13
