date,open,close
2007-01-03,29.38,29.42
2007-01-04,29.41,29.5
2007-01-05,29.48,29.25
2007-01-08,29.12,29.35
2007-01-09,29.32,29.23
2007-01-10,29.06,29.44
2007-01-11,29.38,29.57
2007-01-12,29.44,29.37
2007-01-16,29.48,29.62
2007-01-17,29.78,29.64
2007-01-18,29.63,29.47
2007-01-19,29.56,29.85
2007-01-22,29.91,30.4
2007-01-23,30.34,30.5
2007-01-24,30.41,30.83
2007-01-25,30.75,30.73
2007-01-26,30.6,30.42
2007-01-29,30.43,30.28
2007-01-30,30.42,30.71
2007-01-31,30.65,31.17
2007-02-01,31.19,31.35
2007-02-02,31.35,31.17
2007-02-05,31.1,31.19
2007-02-06,31.13,31.22
2007-02-07,31.12,31.35
2007-02-08,31.25,31.17
2007-02-09,31.23,30.86
2007-02-12,30.97,30.87
2007-02-13,30.82,31.19
2007-02-14,31.27,31.47
2007-02-15,31.25,31.35
2007-02-16,31.31,31.37
2007-02-20,31.31,31.6
2007-02-21,31.49,31.61
2007-02-22,31.71,31.61
2007-02-23,31.55,31.24
2007-02-26,31.32,31.1
2007-02-27,30.98,30.13
2007-02-28,30.04,30.23
2007-03-01,29.98,30.12
2007-03-02,30.12,29.5
2007-03-05,29.14,29.1
2007-03-06,29.1,29.7
2007-03-07,29.8,29.6
2007-03-08,29.86,29.83
2007-03-09,30.07,29.88
2007-03-12,29.77,29.89
2007-03-13,29.66,28.58
2007-03-14,29.89,28.95
2007-03-15,28.85,29.2
2007-03-16,29.15,28.79
2007-03-19,28.96,29.12
2007-03-20,29.08,29.23
2007-03-21,29.26,30.02
2007-03-22,30.02,29.67
2007-03-23,29.67,29.7
2007-03-26,29.72,29.81
2007-03-27,29.74,29.73
2007-03-28,29.73,29.37
2007-03-29,29.37,29.69
2007-03-30,29.75,29.61
2007-04-02,29.61,29.53
2007-04-03,29.71,29.94
2007-04-04,29.93,29.94
2007-04-05,29.81,30.07
2007-04-09,30.07,30.21
2007-04-10,30.21,30.36
2007-04-11,30.36,30.3
2007-04-12,30.53,30.33
2007-04-13,30.48,30.26
2007-04-16,30.26,30.81
2007-04-17,30.81,30.93
2007-04-18,31.66,32.1
2007-04-19,32.1,32.11
2007-04-20,32.46,32.39
2007-04-23,32.7,32.23
2007-04-24,32.09,32.16
2007-04-25,32.2,32.56
2007-04-26,32.56,32.64
2007-04-27,32.3,32.4
2007-04-30,32.34,32.12
2007-05-01,32.3,32.22
2007-05-02,32.22,32.4
2007-05-03,32.57,32.49
2007-05-04,32.55,32.44
2007-05-07,32.44,32.51
2007-05-08,32.06,32.33
2007-05-09,32.4,32.8
2007-05-10,32.54,32.06
2007-05-11,32.13,32.15
2007-05-14,32.15,31.95
2007-05-15,32.11,32.08
2007-05-16,32.28,32.66
2007-05-17,32.77,32.4
2007-05-18,32.4,32.39
2007-05-21,32.36,32.4
2007-05-22,32.4,32.24
2007-05-23,32.24,32.05
2007-05-24,32.06,31.8
2007-05-25,31.77,31.83
2007-05-29,31.84,31.95
2007-05-30,31.95,32.09
2007-05-31,32.21,31.95
2007-06-01,31.95,31.99
2007-06-04,31.79,31.79
2007-06-05,31.79,31.58
2007-06-06,31.58,31.17
2007-06-07,31.01,30.71
2007-06-08,30.71,31.08
2007-06-11,31.08,31.09
2007-06-12,31.26,30.42
2007-06-13,30.58,31.0
2007-06-14,31.0,31.02
2007-06-15,31.22,31.17
2007-06-18,31.34,31.09
2007-06-19,31.13,31.35
2007-06-20,31.35,30.49
2007-06-21,30.66,30.72
2007-06-22,30.72,30.03
2007-06-25,30.03,29.81
2007-06-26,29.81,29.96
2007-06-27,29.75,30.36
2007-06-28,30.36,30.18
2007-06-29,30.45,29.87
2007-07-02,29.87,30.3
2007-07-03,30.57,30.66
2007-07-05,30.51,30.31
2007-07-06,30.21,30.43
2007-07-09,30.57,30.31
2007-07-10,30.38,29.52
2007-07-11,29.53,29.9
2007-07-12,30.25,30.77
2007-07-13,30.87,31.1
2007-07-16,31.1,30.96
2007-07-17,31.07,31.02
2007-07-18,30.62,30.37
2007-07-19,30.31,30.21
2007-07-20,30.21,29.55
2007-07-23,29.51,29.3
2007-07-24,29.21,28.17
2007-07-25,28.52,28.13
2007-07-26,27.65,27.39
2007-07-27,27.28,27.48
2007-07-30,27.4,27.8
2007-07-31,27.85,27.34
2007-08-01,27.09,27.57
2007-08-02,27.59,27.7
2007-08-03,27.7,27.12
2007-08-06,27.19,28.03
2007-08-07,27.95,28.17
2007-08-08,28.43,28.9
2007-08-09,28.27,27.44
2007-08-10,26.77,27.49
2007-08-13,27.72,27.23
2007-08-14,27.21,26.9
2007-08-15,26.87,26.72
2007-08-16,26.59,28.25
2007-08-17,28.08,29.21
2007-08-20,29.33,28.89
2007-08-21,28.66,28.7
2007-08-22,28.97,28.58
2007-08-23,28.88,28.38
2007-08-24,28.27,28.55
2007-08-27,28.43,27.9
2007-08-28,27.62,27.09
2007-08-29,27.1,27.42
2007-08-30,27.18,27.32
2007-08-31,27.68,27.66
2007-09-04,27.66,28.15
2007-09-05,27.86,27.44
