date,open,close
2007-01-03,13.98,14.04
2007-01-04,13.99,14.05
2007-01-05,14.02,13.95
2007-01-08,13.87,14.04
2007-01-09,14.03,14.05
2007-01-10,14.01,14.07
2007-01-11,14.09,14.09
2007-01-12,14.05,14.03
2007-01-16,14.01,14.02
2007-01-17,14.03,14.05
2007-01-18,14.01,13.97
2007-01-19,13.99,13.95
2007-01-22,13.9,13.88
2007-01-23,13.92,13.91
2007-01-24,13.93,13.91
2007-01-25,13.89,13.85
2007-01-26,13.87,13.82
2007-01-29,13.8,13.79
2007-01-30,13.82,13.82
2007-01-31,13.81,13.84
2007-02-01,13.87,13.9
2007-02-02,13.9,13.94
2007-02-05,13.9,13.84
2007-02-06,13.87,13.89
2007-02-07,13.88,13.88
2007-02-08,13.86,13.83
2007-02-09,13.79,13.8
2007-02-12,13.83,13.85
2007-02-13,13.9,13.93
2007-02-14,14.02,13.84
2007-02-15,13.87,13.83
2007-02-16,13.87,13.83
2007-02-20,13.73,13.81
2007-02-21,13.74,13.75
2007-02-22,13.78,13.67
2007-02-23,13.78,13.66
2007-02-26,13.79,13.79
2007-02-27,13.72,13.41
2007-02-28,13.51,13.49
2007-03-01,13.42,13.44
2007-03-02,13.42,13.26
2007-03-05,13.26,13.38
2007-03-06,13.38,13.56
2007-03-07,13.56,13.51
2007-03-08,13.55,13.63
2007-03-09,13.65,13.75
2007-03-12,13.75,13.86
2007-03-13,13.96,13.7
2007-03-14,13.96,13.69
2007-03-15,13.67,13.7
2007-03-16,13.7,13.74
2007-03-19,13.74,13.78
2007-03-20,13.8,13.86
2007-03-21,13.86,14.05
2007-03-22,14.05,14.04
2007-03-23,14.04,13.99
2007-03-26,13.96,14.01
2007-03-27,14.01,13.98
2007-03-28,13.91,13.94
2007-03-29,13.86,14.0
2007-03-30,14.05,13.97
2007-04-02,14.03,14.12
2007-04-03,14.12,14.26
2007-04-04,14.4,14.4
2007-04-05,14.4,14.41
2007-04-09,14.44,14.45
2007-04-10,14.45,14.58
2007-04-11,14.58,14.45
2007-04-12,14.45,14.46
2007-04-13,14.64,14.52
2007-04-16,14.56,14.63
2007-04-17,14.77,15.01
2007-04-18,15.02,15.04
2007-04-19,14.95,15.06
2007-04-20,15.15,15.16
2007-04-23,15.16,15.03
2007-04-24,15.13,15.05
2007-04-25,15.07,15.06
2007-04-26,15.13,15.16
2007-04-27,15.16,15.15
2007-04-30,15.15,15.19
2007-05-01,15.19,15.32
2007-05-02,15.31,15.34
2007-05-03,15.37,15.4
2007-05-04,15.43,15.49
2007-05-07,15.49,15.6
2007-05-08,15.53,15.45
2007-05-09,15.45,15.46
2007-05-10,15.41,15.28
2007-05-11,15.27,15.34
2007-05-14,15.14,15.31
2007-05-15,15.19,15.27
2007-05-16,15.28,15.35
2007-05-17,15.35,15.19
2007-05-18,15.24,15.32
2007-05-21,15.33,15.11
2007-05-22,15.12,14.98
2007-05-23,15.03,14.94
2007-05-24,14.93,14.91
2007-05-25,15.03,15.1
2007-05-29,15.13,15.19
2007-05-30,15.28,15.44
2007-05-31,15.43,15.42
2007-06-01,15.42,15.37
2007-06-04,15.36,15.33
2007-06-05,15.27,15.23
2007-06-06,15.23,15.14
2007-06-07,15.14,14.95
2007-06-08,14.95,15.04
2007-06-11,15.04,15.03
2007-06-12,14.94,14.89
2007-06-13,14.99,15.05
2007-06-14,15.05,15.04
2007-06-15,15.18,15.11
2007-06-18,15.11,15.17
2007-06-19,15.17,15.06
2007-06-20,15.06,15.09
2007-06-21,15.09,15.26
2007-06-22,15.24,15.13
2007-06-25,15.14,15.17
2007-06-26,15.21,15.22
2007-06-27,15.16,15.37
2007-06-28,15.33,15.42
2007-06-29,15.38,15.33
2007-07-02,15.33,15.4
2007-07-03,15.39,15.5
2007-07-05,15.53,15.43
2007-07-06,15.4,15.41
2007-07-09,15.35,15.44
2007-07-10,15.51,15.27
2007-07-11,15.22,15.26
2007-07-12,15.28,15.42
2007-07-13,15.46,15.56
2007-07-16,15.64,15.78
2007-07-17,15.88,15.58
2007-07-18,15.49,15.66
2007-07-19,15.66,15.74
2007-07-20,15.65,15.59
2007-07-23,15.63,15.72
2007-07-24,15.53,15.6
2007-07-25,15.67,15.84
2007-07-26,15.53,15.52
2007-07-27,15.52,15.32
