date,open,close
2012-05-18,41.74,38.0
2012-05-21,36.43,33.82
2012-05-22,32.39,30.81
2012-05-23,31.19,31.8
2012-05-24,32.78,32.83
2012-05-25,32.71,31.71
2012-05-29,31.29,28.66
2012-05-30,28.52,28.02
2012-05-31,28.36,29.42
2012-06-01,28.75,27.55
2012-06-04,27.03,26.73
2012-06-05,26.53,25.71
2012-06-06,25.91,26.64
2012-06-07,26.83,26.15
2012-06-08,26.42,26.93
2012-06-11,26.99,26.84
2012-06-12,27.31,27.23
2012-06-13,27.49,27.1
2012-06-14,27.52,28.12
2012-06-15,28.32,29.83
2012-06-18,29.77,31.22
2012-06-19,31.31,31.71
2012-06-20,31.72,31.4
2012-06-21,31.47,31.64
2012-06-22,32.21,32.85
2012-06-25,32.68,31.86
2012-06-26,32.48,32.9
2012-06-27,32.26,32.03
2012-06-28,31.76,31.17
2012-06-29,31.72,30.9
2012-07-02,31.06,30.58
2012-07-03,30.71,31.01
2012-07-05,31.13,31.28
2012-07-06,31.25,31.53
2012-07-09,31.9,31.97
2012-07-10,32.23,31.28
2012-07-11,31.29,30.78
2012-07-12,30.51,30.62
2012-07-13,30.83,30.53
2012-07-16,30.31,28.07
2012-07-17,28.3,27.92
2012-07-18,28.22,28.93
2012-07-19,29.22,28.82
2012-07-20,28.82,28.58
2012-07-23,27.95,28.57
2012-07-24,28.64,28.27
2012-07-25,28.21,29.16
2012-07-26,27.6,26.68
2012-07-27,23.07,23.56
2012-07-30,23.85,23.01
2012-07-31,23.19,21.58
2012-08-01,21.37,20.75
2012-08-02,20.69,19.92
2012-08-03,20.25,20.96
2012-08-06,21.26,21.78
2012-08-07,22.06,20.59
2012-08-08,20.62,20.59
2012-08-09,20.62,20.88
2012-08-10,21.28,21.67
2012-08-13,22.01,21.47
2012-08-14,21.28,20.25
2012-08-15,20.46,21.07
2012-08-16,20.31,19.75
2012-08-17,19.88,18.93
2012-08-20,18.93,19.89
2012-08-21,19.46,19.04
2012-08-22,19.24,19.32
2012-08-23,19.38,19.32
2012-08-24,19.4,19.29
2012-08-27,19.38,19.03
2012-08-28,18.98,19.22
2012-08-29,19.2,18.98
2012-08-30,19.15,18.97
2012-08-31,18.56,17.95
2012-09-04,17.95,17.62
2012-09-05,18.15,18.47
2012-09-06,18.63,18.84
2012-09-07,18.94,18.86
2012-09-10,18.94,18.69
2012-09-11,18.8,19.31
2012-09-12,20.62,20.8
2012-09-13,20.83,20.58
2012-09-14,20.98,21.86
2012-09-17,22.56,21.39
2012-09-18,21.5,21.73
2012-09-19,21.86,23.15
2012-09-20,22.9,22.45
2012-09-21,22.86,22.72
2012-09-24,21.65,20.66
2012-09-25,21.07,20.15
2012-09-26,20.03,20.49
2012-09-27,20.85,20.19
2012-09-28,20.44,21.53
2012-10-01,21.96,21.85
2012-10-02,21.94,22.13
2012-10-03,22.16,21.7
2012-10-04,22.18,21.81
2012-10-05,21.37,20.78
2012-10-08,20.27,20.27
2012-10-09,20.27,20.1
2012-10-10,19.81,19.52
2012-10-11,19.78,19.63
2012-10-12,19.65,19.4
2012-10-15,19.56,19.4
2012-10-16,19.56,19.36
2012-10-17,19.38,19.76
2012-10-18,19.58,18.86
2012-10-19,18.88,18.88
2012-10-22,19.13,19.2
2012-10-23,19.13,19.38
2012-10-24,23.97,23.09
2012-10-25,23.15,22.42
2012-10-26,22.24,21.81
2012-10-30,22.36,21.94
2012-10-31,20.66,20.98
2012-11-01,20.95,21.08
2012-11-02,21.12,21.05
2012-11-05,20.95,21.12
2012-11-06,21.11,21.04
2012-11-07,20.72,20.34
2012-11-08,20.34,19.87
2012-11-09,19.87,19.09
2012-11-12,19.03,19.95
2012-11-13,19.48,19.74
2012-11-14,19.96,22.22
2012-11-15,22.24,22.03
2012-11-16,22.09,23.42
2012-11-19,23.8,22.78
2012-11-20,22.61,22.96
2012-11-21,23.07,24.17
2012-11-23,24.4,23.85
2012-11-26,24.79,25.78
2012-11-27,25.88,25.99
2012-11-28,25.79,26.2
2012-11-29,26.34,27.15
2012-11-30,27.08,27.83
2012-12-03,27.83,26.87
2012-12-04,26.89,27.29
2012-12-05,27.6,27.54
2012-12-06,27.53,26.8
2012-12-07,26.9,27.32
2012-12-10,26.97,27.67
2012-12-11,27.91,27.81
2012-12-12,27.82,27.41
2012-12-13,27.42,28.07
2012-12-14,27.93,26.65
2012-12-17,26.58,26.58
2012-12-18,26.8,27.54
2012-12-19,27.66,27.24
2012-12-20,27.33,27.19
2012-12-21,26.46,26.1
2012-12-24,26.31,26.76
2012-12-26,26.86,26.35
