date,open,close
2007-01-03,21.43,21.39
2007-01-04,21.27,21.36
2007-01-05,21.23,21.24
2007-01-08,21.24,21.44
2007-01-09,21.49,21.46
2007-01-10,21.35,21.25
2007-01-11,21.32,21.99
2007-01-12,21.96,22.36
2007-01-16,22.4,22.32
2007-01-17,22.4,22.28
2007-01-18,22.15,22.21
2007-01-19,22.01,22.29
2007-01-22,22.26,22.01
2007-01-23,21.94,22.02
2007-01-24,22.05,22.27
2007-01-25,22.27,21.82
2007-01-26,22.37,21.92
2007-01-29,21.93,21.87
2007-01-30,21.9,21.84
2007-01-31,21.79,22.11
2007-02-01,22.1,21.89
2007-02-02,22.08,21.63
2007-02-05,21.48,21.21
2007-02-06,21.2,21.14
2007-02-07,21.24,21.04
2007-02-08,20.96,20.96
2007-02-09,21.03,20.76
2007-02-12,20.7,20.73
2007-02-13,20.88,20.87
2007-02-14,20.97,21.14
2007-02-15,21.26,21.18
2007-02-16,20.77,20.66
2007-02-20,20.59,20.73
2007-02-21,20.67,21.1
2007-02-22,21.07,21.13
2007-02-23,21.01,20.78
2007-02-26,20.82,20.9
2007-02-27,20.71,20.04
2007-02-28,20.15,20.25
2007-03-01,20.02,20.2
2007-03-02,20.2,19.96
2007-03-05,19.69,19.81
2007-03-06,20.02,20.01
2007-03-07,19.98,19.85
2007-03-08,20.04,19.64
2007-03-09,19.64,19.62
2007-03-12,19.7,19.73
2007-03-13,19.6,19.21
2007-03-14,19.27,19.7
2007-03-15,19.64,19.61
2007-03-16,19.63,19.65
2007-03-19,19.65,20.01
2007-03-20,20.01,20.02
2007-03-21,20.04,20.5
2007-03-22,20.49,20.33
2007-03-23,20.28,20.15
2007-03-26,20.09,20.29
2007-03-27,20.22,19.93
2007-03-28,19.92,19.87
2007-03-29,19.99,19.95
2007-03-30,19.95,20.04
2007-04-02,20.06,19.94
2007-04-03,19.97,20.04
2007-04-04,20.51,20.49
2007-04-05,20.48,20.53
2007-04-09,20.56,20.54
2007-04-10,20.54,20.42
2007-04-11,20.37,20.21
2007-04-12,20.2,20.52
2007-04-13,20.47,20.57
2007-04-16,20.58,20.66
2007-04-17,20.63,20.74
2007-04-18,20.67,20.56
2007-04-19,20.45,20.63
2007-04-20,20.63,20.86
2007-04-23,20.85,20.69
2007-04-24,20.69,20.7
2007-04-25,20.73,20.84
2007-04-26,20.85,20.92
2007-04-27,21.93,21.66
2007-04-30,21.71,21.53
2007-05-01,21.53,21.71
2007-05-02,21.85,22.01
2007-05-03,22.06,22.27
2007-05-04,22.07,21.97
2007-05-07,21.96,22.08
2007-05-08,22.04,22.11
2007-05-09,22.07,22.13
2007-05-10,22.11,21.99
2007-05-11,22.01,22.21
2007-05-14,22.14,22.27
2007-05-15,22.26,22.29
2007-05-16,22.38,22.41
2007-05-17,22.36,22.35
2007-05-18,22.37,22.24
2007-05-21,22.29,22.4
2007-05-22,22.43,22.14
2007-05-23,22.21,22.06
