date,open,close
2009-12-30,9.83,10.12
2009-12-31,9.83,10.12
2010-01-04,9.83,10.12
2010-01-05,9.83,10.12
2010-01-06,9.83,10.12
2010-01-07,9.83,10.12
2010-01-08,9.83,10.12
2010-01-11,10.96,10.63
2010-01-12,10.35,10.0
2010-01-13,10.05,10.2
2010-01-14,10.21,10.46
2010-01-15,10.39,9.87
2010-01-18,10.39,9.87
2010-01-19,9.88,10.02
2010-01-20,9.74,9.73
2010-01-21,9.78,9.55
2010-01-22,9.46,8.9
2010-01-25,9.03,9.09
2010-01-26,9.1,9.2
2010-01-27,9.25,9.48
2010-01-28,9.48,9.16
2010-01-29,9.21,8.5
2010-02-01,8.66,8.94
2010-02-02,9.05,9.11
2010-02-03,8.96,8.79
2010-02-04,8.95,8.39
2010-02-05,8.44,8.48
2010-02-08,8.58,8.69
2010-02-09,8.91,8.85
2010-02-10,8.42,8.32
2010-02-11,8.38,8.32
2010-02-12,8.19,8.23
2010-02-16,8.43,8.41
2010-02-17,8.55,8.51
2010-02-18,8.42,8.54
2010-02-19,8.6,8.68
2010-02-22,8.84,8.71
2010-02-23,8.59,8.39
2010-02-24,8.42,8.86
2010-02-25,8.67,8.84
2010-02-26,8.87,8.83
2010-03-01,9.02,9.52
2010-03-02,9.3,9.33
2010-03-03,9.32,9.21
2010-03-04,9.17,9.17
2010-03-05,9.3,9.22
2010-03-08,9.23,9.35
2010-03-09,9.26,9.17
2010-03-10,9.38,9.62
2010-03-11,9.59,9.55
2010-03-12,9.85,9.72
2010-03-15,9.63,9.48
2010-03-16,9.58,9.95
2010-03-17,10.04,10.14
2010-03-18,10.14,9.9
2010-03-19,9.96,9.7
2010-03-22,9.59,10.07
2010-03-23,10.14,10.27
2010-03-24,10.34,10.17
2010-03-25,10.39,10.12
2010-03-26,10.27,10.23
2010-03-29,10.4,10.36
2010-03-30,10.47,10.52
2010-03-31,10.43,10.11
2010-04-01,10.75,9.91
2010-04-05,10.09,10.33
2010-04-06,10.35,9.97
2010-04-07,9.98,10.29
2010-04-08,10.28,10.31
2010-04-09,10.43,10.46
2010-04-12,10.45,10.55
2010-04-13,10.53,10.49
2010-04-14,10.77,11.02
2010-04-15,10.89,10.9
2010-04-16,10.79,10.64
2010-04-19,10.54,10.52
2010-04-20,10.62,10.48
2010-04-21,10.66,10.47
2010-04-22,10.34,10.65
2010-04-23,10.65,10.72
2010-04-26,10.69,10.69
2010-04-27,10.55,10.08
2010-04-28,10.19,9.98
2010-04-29,10.11,9.95
2010-04-30,9.88,9.11
2010-05-03,9.21,9.64
2010-05-04,9.41,9.28
2010-05-05,9.06,9.03
2010-05-06,9.07,8.53
2010-05-07,8.49,8.35
2010-05-10,8.97,8.86
2010-05-11,8.66,8.6
2010-05-12,8.67,9.09
2010-05-13,9.05,8.91
2010-05-14,8.71,8.71
2010-05-17,8.71,8.94
2010-05-18,9.1,8.85
2010-05-19,8.76,8.73
2010-05-20,8.46,8.52
2010-05-21,8.2,8.7
2010-05-24,8.74,8.57
2010-05-25,8.22,8.58
2010-05-26,8.74,8.47
2010-05-27,8.77,9.2
2010-05-28,9.16,8.86
2010-06-01,8.7,8.44
2010-06-02,8.57,8.95
2010-06-03,9.04,9.01
2010-06-04,8.72,8.63
2010-06-07,8.75,8.17
2010-06-08,8.23,8.32
2010-06-09,8.44,8.32
2010-06-10,8.49,8.55
2010-06-11,8.43,8.7
2010-06-14,8.86,8.69
2010-06-15,8.82,9.44
2010-06-16,9.28,9.66
2010-06-17,9.78,9.67
2010-06-18,9.65,9.75
2010-06-21,9.99,9.67
2010-06-22,9.69,9.4
2010-06-23,9.4,9.57
2010-06-24,9.55,9.38
2010-06-25,9.47,9.22
2010-06-28,9.48,9.77
2010-06-29,9.0,8.45
2010-06-30,8.5,8.28
2010-07-01,8.32,8.17
2010-07-02,8.2,8.01
2010-07-06,8.32,8.14
2010-07-07,8.34,8.67
2010-07-08,8.75,8.47
2010-07-09,8.49,8.35
2010-07-12,8.32,8.33
2010-07-13,8.57,8.51
2010-07-14,8.61,8.53
2010-07-15,8.52,8.44
2010-07-16,8.33,8.06
2010-07-19,8.13,8.22
2010-07-20,8.11,8.24
2010-07-21,8.33,7.96
2010-07-22,8.14,8.32
2010-07-23,8.25,8.27
2010-07-26,8.26,8.3
2010-07-27,8.35,8.22
2010-07-28,8.18,8.03
2010-07-29,8.07,7.58
2010-07-30,7.41,7.1
2010-08-02,7.2,7.46
2010-08-03,7.42,7.28
2010-08-04,7.36,7.45
2010-08-05,7.4,7.51
2010-08-06,7.41,7.39
2010-08-09,7.47,7.35
2010-08-10,7.16,7.09
2010-08-11,6.85,6.97
2010-08-12,6.79,7.18
2010-08-13,7.11,7.1
2010-08-16,7.07,7.0
2010-08-17,7.11,7.13
2010-08-18,7.13,7.26
2010-08-19,7.17,7.0
2010-08-20,6.96,6.94
2010-08-23,7.0,7.19
2010-08-24,7.02,6.88
2010-08-25,6.85,6.92
2010-08-26,6.99,6.61
2010-08-27,6.74,6.66
2010-08-30,6.73,6.38
2010-08-31,6.29,6.3
2010-09-01,6.46,6.56
2010-09-02,6.56,6.66
2010-09-03,6.77,6.87
2010-09-07,6.82,6.58
2010-09-08,6.61,6.43
2010-09-09,6.57,6.63
2010-09-10,6.61,6.35
2010-09-13,6.49,6.87
2010-09-14,6.87,7.09
2010-09-15,6.84,6.77
2010-09-16,6.8,6.92
2010-09-17,6.97,6.59
2010-09-20,6.62,6.77
2010-09-21,6.77,6.71
2010-09-22,6.68,6.55
2010-09-23,6.44,6.5
2010-09-24,6.7,7.02
2010-09-27,7.01,6.85
2010-09-28,6.92,6.97
2010-09-29,6.97,7.11
2010-09-30,7.18,7.03
2010-10-01,7.1,7.11
2010-10-04,7.07,6.81
2010-10-05,6.94,6.76
2010-10-06,6.77,6.77
2010-10-07,6.81,6.93
2010-10-08,7.02,7.4
2010-10-11,7.47,7.48
2010-10-12,7.46,7.55
2010-10-13,7.69,7.46
2010-10-14,7.46,7.4
2010-10-15,7.52,7.42
2010-10-18,7.44,7.35
2010-10-19,7.24,7.12
2010-10-20,7.18,7.5
2010-10-21,7.54,7.31
2010-10-22,7.34,7.5
2010-10-25,7.58,7.61
2010-10-26,7.58,7.53
2010-10-27,7.49,7.77
2010-10-28,7.8,7.74
2010-10-29,7.99,8.05
2010-11-01,8.07,7.93
2010-11-02,7.99,7.91
2010-11-03,7.93,7.89
2010-11-04,8.24,8.34
2010-11-05,8.33,8.44
2010-11-08,8.4,8.03
2010-11-09,8.09,7.7
2010-11-10,7.72,7.67
2010-11-11,7.57,7.65
2010-11-12,7.6,7.53
2010-11-15,7.46,7.23
2010-11-16,7.18,7.04
2010-11-17,7.07,6.92
2010-11-18,7.09,7.1
2010-11-19,7.09,7.2
2010-11-22,7.26,7.14
2010-11-23,7.03,7.23
2010-11-24,7.31,7.55
2010-11-26,7.45,7.44
2010-11-29,7.38,7.38
2010-11-30,7.28,7.09
2010-12-01,7.26,7.2
2010-12-02,7.25,7.71
2010-12-03,7.6,7.72
2010-12-06,7.67,7.75
2010-12-07,7.92,7.72
2010-12-08,7.69,7.74
2010-12-09,8.08,7.98
2010-12-10,7.99,8.04
2010-12-13,8.14,7.93
2010-12-14,7.94,7.86
2010-12-15,7.8,7.72
2010-12-16,7.76,7.85
2010-12-17,7.86,8.0
2010-12-20,8.08,7.91
2010-12-21,7.99,7.93
2010-12-22,7.96,8.07
2010-12-23,7.87,7.74
2010-12-27,7.68,7.61
2010-12-28,7.61,7.56
2010-12-29,7.58,7.55
2010-12-30,7.52,7.7
2010-12-31,7.71,7.82
2011-01-03,7.95,8.07
2011-01-04,8.17,8.23
2011-01-05,8.19,8.32
2011-01-06,8.47,8.36
2011-01-07,8.34,8.43
2011-01-10,8.46,8.33
2011-01-11,8.4,8.5
2011-01-12,8.63,9.1
2011-01-13,9.52,9.39
2011-01-14,9.48,9.47
2011-01-18,9.49,9.42
2011-01-19,9.37,9.13
2011-01-20,9.22,9.36
2011-01-21,9.75,9.59
2011-01-24,9.58,9.8
2011-01-25,9.8,9.72
2011-01-26,9.77,9.7
2011-01-27,10.09,10.32
2011-01-28,10.48,10.11
2011-01-31,10.24,10.27
2011-02-01,10.4,10.54
2011-02-02,10.42,10.62
2011-02-03,10.72,10.62
2011-02-04,10.63,10.77
2011-02-07,10.89,11.01
2011-02-08,11.04,11.15
2011-02-09,11.19,10.98
2011-02-10,10.78,11.03
2011-02-11,10.93,11.04
2011-02-14,11.24,11.36
2011-02-15,11.4,11.38
2011-02-16,11.5,11.34
2011-02-17,11.26,11.5
2011-02-18,11.58,11.41
2011-02-22,11.15,10.65
2011-02-23,10.57,10.28
2011-02-24,10.33,10.64
2011-02-25,10.86,11.15
2011-02-28,11.31,10.85
2011-03-01,10.94,10.68
2011-03-02,10.69,10.81
2011-03-03,10.98,11.28
2011-03-04,11.34,11.35
2011-03-07,11.38,10.75
2011-03-08,10.7,10.62
2011-03-09,10.56,10.06
2011-03-10,9.81,9.67
2011-03-11,9.66,9.98
2011-03-14,10.39,10.1
2011-03-15,9.75,10.17
2011-03-16,10.08,9.8
2011-03-17,9.99,9.95
2011-03-18,10.12,9.82
2011-03-21,10.02,10.1
2011-03-22,9.99,10.09
2011-03-23,10.09,10.34
2011-03-24,11.03,11.21
2011-03-25,11.22,11.26
2011-03-28,11.34,11.26
2011-03-29,11.24,11.46
2011-03-30,11.59,11.29
2011-03-31,11.28,11.18
2011-04-01,11.24,11.02
2011-04-04,11.02,10.91
2011-04-05,11.01,10.74
2011-04-06,10.79,10.96
2011-04-07,10.95,10.86
2011-04-08,10.9,10.79
2011-04-11,10.81,10.47
2011-04-12,10.29,10.26
2011-04-13,10.36,10.35
2011-04-14,10.2,10.38
2011-04-15,10.33,10.48
2011-04-18,10.28,10.16
2011-04-19,10.18,10.25
2011-04-20,10.62,11.1
2011-04-21,11.18,11.23
2011-04-22,11.18,11.23
2011-04-25,11.18,11.04
2011-04-26,11.07,11.32
2011-04-27,11.31,11.5
2011-04-28,11.41,11.19
2011-04-29,11.16,11.03
2011-05-02,11.12,10.96
2011-05-03,10.91,10.63
2011-05-04,10.59,10.47
2011-05-05,10.59,10.47
2011-05-06,10.82,10.6
2011-05-09,10.55,10.2
2011-05-10,10.24,10.36
2011-05-11,10.42,10.15
2011-05-12,10.13,10.39
2011-05-13,10.39,10.14
2011-05-16,10.12,10.28
2011-05-17,10.17,9.69
2011-05-18,9.76,9.81
2011-05-19,9.87,9.91
2011-05-20,9.85,9.75
2011-05-23,9.55,9.47
