date,open,close
2007-01-03,37.61,38.09
2007-01-04,37.98,37.8
2007-01-05,37.7,37.48
2007-01-08,37.53,37.56
2007-01-09,37.41,37.47
2007-01-10,37.34,37.92
2007-01-11,37.87,38.15
2007-01-12,38.01,38.36
2007-01-16,38.31,38.36
2007-01-17,38.67,38.76
2007-01-18,38.76,38.87
2007-01-19,38.96,39.2
2007-01-22,39.11,38.98
2007-01-23,39.14,38.93
2007-01-24,38.88,38.85
2007-01-25,38.76,38.5
2007-01-26,38.55,38.47
2007-01-29,38.69,38.48
2007-01-30,38.19,38.31
2007-01-31,38.25,38.47
2007-02-01,38.49,38.75
2007-02-02,38.89,38.75
2007-02-05,38.62,38.64
2007-02-06,38.64,38.31
2007-02-07,38.44,38.24
2007-02-08,38.02,38.31
2007-02-09,38.31,38.21
2007-02-12,38.17,38.05
2007-02-13,38.05,38.38
2007-02-14,38.46,38.48
2007-02-15,38.43,38.54
2007-02-16,38.48,38.59
2007-02-20,38.4,38.48
2007-02-21,38.4,38.37
2007-02-22,38.24,38.38
2007-02-23,38.42,38.44
2007-02-26,38.35,38.22
2007-02-27,38.22,36.33
2007-02-28,37.07,37.65
2007-03-01,37.65,37.77
2007-03-02,37.77,37.46
2007-03-05,37.27,37.24
2007-03-06,37.36,37.33
2007-03-07,37.24,36.82
2007-03-08,36.94,36.95
2007-03-09,37.01,36.87
2007-03-12,36.82,36.82
2007-03-13,36.62,36.28
2007-03-14,36.82,36.39
2007-03-15,36.39,36.72
2007-03-16,36.85,36.54
2007-03-19,36.6,36.76
2007-03-20,36.76,36.94
2007-03-21,36.94,37.34
2007-03-22,37.66,37.87
2007-03-23,37.87,37.84
2007-03-26,37.72,37.9
2007-03-27,37.69,37.52
2007-03-28,37.65,37.37
2007-03-29,37.65,37.52
2007-03-30,37.52,37.46
2007-04-02,37.46,37.38
2007-04-03,37.49,37.3
2007-04-04,37.39,37.39
2007-04-05,37.25,37.36
2007-04-09,37.38,37.52
2007-04-10,37.51,37.49
2007-04-11,37.49,37.39
2007-04-12,37.38,37.67
2007-04-13,37.67,37.59
2007-04-16,37.66,37.8
2007-04-17,37.71,37.9
2007-04-18,37.75,37.81
2007-04-19,37.82,37.73
2007-04-20,37.95,37.84
2007-04-23,37.84,37.74
2007-04-24,37.65,37.8
2007-04-25,37.87,37.89
2007-04-26,37.73,37.56
2007-04-27,37.61,37.56
2007-04-30,37.75,38.41
2007-05-01,38.15,37.55
2007-05-02,37.55,37.19
2007-05-03,37.42,36.97
2007-05-04,37.12,37.22
2007-05-07,37.22,37.08
2007-05-08,37.08,36.82
2007-05-09,36.82,36.98
2007-05-10,36.98,36.67
2007-05-11,36.67,36.77
2007-05-14,36.77,36.81
2007-05-15,36.81,37.02
2007-05-16,37.15,37.76
2007-05-17,37.6,37.79
2007-05-18,37.63,37.86
2007-05-21,37.75,37.73
2007-05-22,37.58,37.57
2007-05-23,37.59,37.63
2007-05-24,37.57,37.49
2007-05-25,37.75,37.55
2007-05-29,37.52,37.96
2007-05-30,37.96,38.08
2007-05-31,38.02,37.9
2007-06-01,37.9,37.86
2007-06-04,37.87,37.68
2007-06-05,37.58,37.84
2007-06-06,37.84,37.68
2007-06-07,37.52,37.16
2007-06-08,37.16,37.61
2007-06-11,37.61,37.6
2007-06-12,37.39,37.07
2007-06-13,36.97,37.19
2007-06-14,37.33,37.22
2007-06-15,37.37,37.31
2007-06-18,37.33,36.84
2007-06-19,36.86,36.87
2007-06-20,36.87,36.94
2007-06-21,37.05,36.9
2007-06-22,36.9,36.4
2007-06-25,36.44,36.43
2007-06-26,36.5,36.49
2007-06-27,36.47,36.63
2007-06-28,36.74,36.59
2007-06-29,36.65,36.49
2007-07-02,36.49,36.82
2007-07-03,36.77,36.85
2007-07-05,36.8,36.78
2007-07-06,36.78,36.66
2007-07-09,36.66,36.69
2007-07-10,36.7,36.4
2007-07-11,36.4,36.71
2007-07-12,36.71,37.53
2007-07-13,37.33,37.37
2007-07-16,37.37,37.66
2007-07-17,37.66,37.38
2007-07-18,37.36,37.54
2007-07-19,37.47,37.66
2007-07-20,37.66,37.27
2007-07-23,37.27,37.99
2007-07-24,37.52,37.76
2007-07-25,37.76,37.77
2007-07-26,37.37,37.52
2007-07-27,37.33,37.67
2007-07-30,37.66,37.94
2007-07-31,37.94,37.1
2007-08-01,36.94,37.88
2007-08-02,37.87,37.96
2007-08-03,38.23,37.71
2007-08-06,37.71,38.98
2007-08-07,38.52,39.12
2007-08-08,39.19,39.08
2007-08-09,38.74,38.96
2007-08-10,38.57,39.22
2007-08-13,39.22,38.55
2007-08-14,38.52,38.21
2007-08-15,38.21,38.07
2007-08-16,37.95,38.4
2007-08-17,38.44,39.19
2007-08-20,39.07,38.99
2007-08-21,38.77,38.66
2007-08-22,38.85,38.83
2007-08-23,38.86,39.01
2007-08-24,39.17,39.54
2007-08-27,39.38,39.12
2007-08-28,39.13,38.8
2007-08-29,38.72,39.05
2007-08-30,38.74,38.99
2007-08-31,39.06,39.17
2007-09-04,39.04,39.25
2007-09-05,39.25,39.26
2007-09-06,39.05,39.65
2007-09-07,39.4,39.26
2007-09-10,39.26,39.52
2007-09-11,39.75,40.17
2007-09-12,40.11,40.37
2007-09-13,40.33,40.46
2007-09-14,40.46,40.67
2007-09-17,40.47,40.75
2007-09-18,40.95,41.19
2007-09-19,41.23,41.25
2007-09-20,41.07,41.37
2007-09-21,41.39,41.61
2007-09-24,41.61,41.86
2007-09-25,41.8,41.89
2007-09-26,41.93,42.29
2007-09-27,42.29,42.04
2007-09-28,41.95,42.18
2007-10-01,41.91,42.53
2007-10-02,42.49,42.42
2007-10-03,42.42,42.23
2007-10-04,42.23,42.48
2007-10-05,42.52,42.48
2007-10-08,42.05,42.41
2007-10-09,42.41,42.63
2007-10-10,42.67,42.82
2007-10-11,42.97,43.04
2007-10-12,43.14,43.0
2007-10-15,43.0,42.58
2007-10-16,42.57,42.47
2007-10-17,42.7,42.55
2007-10-18,42.52,42.73
2007-10-19,42.79,42.67
2007-10-22,42.44,42.83
2007-10-23,42.9,42.95
2007-10-24,42.89,43.02
2007-10-25,42.92,43.0
2007-10-26,43.16,43.25
2007-10-29,43.47,43.29
2007-10-30,42.4,41.56
2007-10-31,41.59,41.9
2007-11-01,41.83,41.34
2007-11-02,41.62,41.92
2007-11-05,41.71,42.3
2007-11-06,42.43,42.47
2007-11-07,42.47,41.84
2007-11-08,42.08,42.7
2007-11-09,42.66,42.44
2007-11-12,42.46,42.65
2007-11-13,42.95,43.14
