date,open,close
2024-11-26,64.57,65.74
2024-11-27,66.24,66.05
2024-11-29,65.89,67.08
2024-12-02,67.44,66.39
2024-12-03,66.41,70.96
2024-12-04,71.13,69.85
2024-12-05,70.11,71.87
2024-12-06,72.95,76.34
2024-12-09,80.58,72.46
2024-12-10,71.99,70.89
2024-12-11,72.98,72.51
2024-12-12,72.3,73.2
2024-12-13,73.49,76.07
2024-12-16,75.06,75.75
2024-12-17,73.28,74.39
2024-12-18,74.3,71.51
2024-12-19,73.99,74.21
2024-12-20,72.64,80.55
2024-12-23,80.65,80.69
2024-12-24,81.09,82.38
2024-12-26,83.16,82.14
2024-12-27,81.42,79.08
2024-12-30,77.04,77.18
2024-12-31,77.58,75.63
2025-01-02,76.2,75.19
2025-01-03,75.39,79.89
2025-01-06,78.69,75.92
2025-01-07,75.2,69.99
2025-01-08,68.12,68.23
2025-01-10,66.01,67.26
2025-01-13,64.29,64.98
2025-01-14,67.18,65.91
2025-01-15,68.55,68.14
2025-01-16,69.08,69.24
2025-01-17,70.9,71.77
2025-01-21,73.24,73.07
2025-01-22,74.5,76.87
2025-01-23,76.04,78.98
2025-01-24,79.05,78.98
2025-01-27,74.07,75.44
2025-01-28,75.54,80.23
2025-01-29,79.95,79.76
2025-01-30,80.02,81.22
2025-01-31,81.0,82.49
2025-02-03,80.13,83.74
2025-02-04,102.8,103.83
2025-02-05,101.78,101.36
2025-02-06,101.09,111.28
2025-02-07,111.66,110.85
2025-02-10,112.03,116.65
2025-02-11,116.5,112.62
2025-02-12,110.29,117.39
2025-02-13,117.31,117.91
2025-02-14,117.9,119.16
2025-02-18,120.94,124.62
2025-02-19,123.86,112.06
2025-02-20,102.91,106.27
2025-02-21,107.68,101.35
2025-02-24,95.88,90.68
2025-02-25,90.65,87.84
2025-02-26,89.16,89.31
2025-02-27,91.91,84.77
2025-02-28,79.98,84.92
2025-03-03,88.55,83.42
2025-03-04,80.16,84.4
2025-03-05,86.35,90.13
2025-03-06,87.5,80.46
2025-03-07,80.03,84.91
2025-03-10,82.0,76.38
2025-03-11,75.78,78.05
2025-03-12,83.48,83.65
2025-03-13,82.84,79.62
2025-03-14,82.97,86.24
2025-03-17,88.44,87.35
2025-03-18,85.78,83.89
2025-03-19,84.69,86.1
2025-03-20,85.54,87.39
2025-03-21,85.85,90.96
2025-03-24,93.38,96.75
2025-03-25,97.28,96.5
2025-03-26,96.29,92.28
2025-03-27,91.02,90.09
2025-03-28,89.34,85.85
2025-03-31,80.0,84.4
2025-04-01,83.89,84.68
2025-04-02,82.4,87.45
2025-04-03,81.25,83.6
2025-04-04,80.07,74.01
2025-04-07,66.5,77.84
2025-04-08,83.3,77.32
2025-04-09,78.12,92.01
2025-04-10,88.43,88.59
2025-04-11,87.98,88.55
2025-04-14,95.75,92.62
2025-04-15,93.49,98.4
2025-04-16,96.17,92.71
2025-04-17,94.73,93.78
2025-04-21,92.85,90.8
2025-04-22,93.04,93.99
2025-04-23,98.82,100.82
2025-04-24,101.51,107.78
2025-04-25,108.02,112.78
2025-04-28,113.77,114.65
2025-04-29,114.04,116.08
2025-04-30,111.61,118.44
2025-05-01,120.04,116.2
2025-05-02,118.66,124.28
2025-05-05,123.7,123.77
2025-05-06,112.71,108.86
2025-05-07,107.97,110.48
2025-05-08,112.28,119.15
2025-05-09,118.73,117.3
2025-05-12,120.7,118.46
2025-05-13,120.0,128.1
2025-05-14,129.01,130.18
2025-05-15,128.37,128.12
2025-05-16,129.23,129.52
2025-05-19,124.84,126.33
2025-05-20,127.12,125.59
2025-05-21,125.28,120.58
2025-05-22,121.95,122.29
2025-05-23,120.91,123.31
2025-05-27,126.82,123.39
2025-05-28,124.24,123.76
2025-05-29,125.34,122.32
2025-05-30,123.53,131.78
2025-06-02,131.45,132.04
2025-06-03,133.0,133.17
2025-06-04,132.8,130.01
2025-06-05,129.3,119.91
2025-06-06,123.68,127.72
2025-06-09,127.03,132.06
2025-06-10,131.1,132.81
2025-06-11,133.92,136.39
2025-06-12,136.4,135.19
2025-06-13,133.81,137.4
2025-06-16,140.0,141.41
2025-06-17,141.3,138.2
2025-06-18,139.0,139.96
2025-06-20,140.78,137.3
2025-06-23,138.66,139.92
2025-06-24,141.0,143.23
2025-06-25,144.5,142.9
2025-06-26,144.85,144.25
2025-06-27,144.77,130.74
2025-06-30,137.86,136.32
2025-07-01,135.19,130.68
2025-07-02,131.32,132.12
2025-07-03,134.45,134.36
2025-07-07,134.36,139.12
2025-07-08,138.88,139.71
2025-07-09,139.61,143.13
2025-07-10,143.5,142.5
2025-07-11,142.17,142.1
2025-07-14,142.68,149.15
2025-07-15,149.0,148.58
2025-07-16,149.26,150.91
2025-07-17,151.59,153.99
2025-07-18,154.77,153.52
2025-07-21,154.0,151.79
2025-07-22,150.88,149.07
2025-07-23,149.76,154.63
2025-07-24,154.01,154.86
2025-07-25,155.77,158.8
2025-07-28,160.0,157.88
2025-07-29,158.85,156.24
2025-07-30,157.5,158.61
2025-07-31,159.99,158.35
2025-08-01,155.04,154.27
2025-08-04,158.68,160.66
2025-08-05,171.9,173.27
2025-08-06,171.28,179.54
2025-08-07,181.0,182.2
2025-08-08,184.9,186.96
2025-08-11,186.6,182.68
2025-08-12,185.0,186.97
2025-08-13,189.0,184.37
2025-08-14,182.41,181.02
2025-08-15,180.0,177.17
2025-08-18,175.53,174.03
2025-08-19,171.36,157.75
2025-08-20,152.3,156.01
2025-08-21,157.13,156.18
2025-08-22,155.13,158.74
2025-08-25,156.22,157.17
2025-08-26,155.42,160.87
2025-08-27,162.2,156.72
2025-08-28,157.71,158.12
2025-08-29,157.0,156.71
2025-09-02,151.0,157.09
2025-09-03,158.0,154.9
2025-09-04,154.9,156.14
2025-09-05,157.84,153.11
2025-09-08,155.04,156.1
2025-09-09,157.17,162.36
2025-09-10,166.0,166.74
2025-09-11,167.25,164.36
2025-09-12,165.28,171.43
2025-09-15,169.43,171.21
2025-09-16,171.0,170.26
2025-09-17,169.14,168.33
2025-09-18,170.26,176.97
2025-09-19,177.23,182.39
2025-09-22,180.88,179.33
2025-09-23,182.51,182.55
2025-09-24,183.91,179.56
2025-09-25,175.8,179.12
2025-09-26,179.05,177.57
2025-09-29,179.64,178.86
2025-09-30,178.98,182.42
2025-10-01,181.32,184.95
2025-10-02,186.7,187.05
2025-10-03,186.4,173.07
2025-10-06,179.18,179.53
2025-10-07,180.31,182.17
2025-10-08,182.8,183.56
2025-10-09,183.58,185.47
2025-10-10,185.17,175.44
2025-10-13,178.68,177.21
2025-10-14,176.0,179.74
2025-10-15,181.66,179.62
2025-10-16,181.78,178.12
2025-10-17,177.75,178.15
2025-10-20,179.49,181.59
2025-10-21,182.06,181.51
2025-10-22,181.93,175.49
2025-10-23,175.44,180.48
2025-10-24,182.88,184.63
2025-10-27,188.97,189.18
2025-10-28,189.48,189.6
2025-10-29,191.08,198.81
2025-10-30,198.43,194.55
2025-10-31,199.2,200.47
2025-11-03,205.04,207.18
2025-11-04,192.07,190.74
2025-11-05,189.0,187.9
2025-11-06,187.99,175.05
2025-11-07,173.15,177.93
2025-11-10,184.31,193.61
2025-11-11,190.34,190.96
2025-11-12,190.58,184.17
2025-11-13,181.72,172.14
