date,open,close
2011-03-23,49.07,49.53
2011-03-24,49.9,50.41
2011-03-25,50.57,50.53
2011-03-28,50.75,50.26
2011-03-29,50.14,50.74
2011-03-30,50.99,50.98
2011-03-31,50.91,51.06
2011-04-01,51.31,51.08
2011-04-04,51.23,50.91
2011-04-05,50.82,50.78
2011-04-06,51.17,50.9
2011-04-07,50.89,50.87
2011-04-08,51.09,50.63
2011-04-11,50.82,50.46
2011-04-12,50.23,50.11
2011-04-13,50.49,50.54
2011-04-14,50.19,50.45
2011-04-15,50.26,50.36
2011-04-18,49.86,50.01
2011-04-19,50.14,50.32
2011-04-20,51.21,51.45
2011-04-21,51.95,51.87
2011-04-22,51.95,51.87
2011-04-25,51.91,52.0
2011-04-26,52.13,52.29
2011-04-27,52.39,52.65
2011-04-28,52.49,52.57
2011-04-29,52.47,52.52
2011-05-02,52.6,52.43
2011-05-03,52.4,52.18
2011-05-04,52.21,52.1
2011-05-05,52.21,52.1
2011-05-06,52.33,51.98
2011-05-09,52.07,52.18
2011-05-10,52.33,52.62
2011-05-11,52.54,52.23
2011-05-12,52.08,52.55
2011-05-13,52.43,51.93
2011-05-16,51.69,51.03
2011-05-17,50.76,51.17
2011-05-18,51.1,51.6
2011-05-19,51.76,51.75
2011-05-20,51.7,51.35
2011-05-23,50.66,50.6
2011-05-24,50.73,50.29
2011-05-25,50.23,50.49
2011-05-26,50.34,50.8
2011-05-27,50.89,51.06
2011-05-31,51.54,51.88
2011-06-01,51.76,50.75
2011-06-02,50.85,50.86
2011-06-03,50.27,50.1
2011-06-06,49.98,49.69
2011-06-07,49.82,49.6
2011-06-08,49.49,49.24
2011-06-09,49.26,49.33
2011-06-10,49.1,48.58
2011-06-13,48.6,48.58
2011-06-14,48.95,49.2
2011-06-15,48.73,48.26
2011-06-16,48.29,48.08
2011-06-17,48.47,47.93
2011-06-20,47.8,48.18
2011-06-21,48.35,49.21
2011-06-22,49.01,48.86
2011-06-23,48.33,49.31
2011-06-24,49.08,48.46
2011-06-27,48.51,49.23
2011-06-28,49.34,49.96
2011-06-29,50.08,50.17
2011-06-30,50.35,50.84
2011-07-01,50.86,51.6
2011-07-05,51.65,51.86
2011-07-06,51.8,52.03
2011-07-07,52.42,52.74
2011-07-08,52.29,52.6
2011-07-11,52.05,51.65
2011-07-12,51.64,51.25
2011-07-13,51.63,51.47
2011-07-14,51.6,50.87
2011-07-15,51.44,51.55
2011-07-18,51.26,51.27
2011-07-19,51.76,52.44
2011-07-20,52.73,52.22
2011-07-21,52.27,52.56
2011-07-22,52.54,53.11
2011-07-25,52.69,53.0
2011-07-26,52.96,53.13
2011-07-27,52.79,51.76
2011-07-28,51.79,51.85
2011-07-29,51.43,51.68
2011-08-01,52.31,51.44
2011-08-02,51.2,50.14
2011-08-03,50.2,50.62
2011-08-04,49.9,48.27
2011-08-05,48.76,47.97
2011-08-08,46.5,45.08
2011-08-09,45.76,47.25
2011-08-10,46.18,45.32
2011-08-11,45.97,47.32
2011-08-12,47.61,47.73
2011-08-15,47.93,48.44
2011-08-16,47.97,48.03
2011-08-17,48.09,47.74
2011-08-18,46.45,45.4
2011-08-19,44.93,44.58
2011-08-22,45.65,44.74
2011-08-23,45.04,46.58
2011-08-24,46.45,46.95
2011-08-25,46.92,46.18
2011-08-26,46.03,47.34
2011-08-29,47.81,48.66
2011-08-30,48.48,48.98
2011-08-31,49.28,49.06
2011-09-01,49.19,48.62
2011-09-02,47.74,47.48
2011-09-06,46.37,47.48
2011-09-07,48.16,48.69
2011-09-08,48.44,48.46
2011-09-09,48.13,47.39
2011-09-12,46.86,47.99
2011-09-13,48.17,48.63
2011-09-14,48.88,49.33
2011-09-15,49.86,50.06
2011-09-16,50.17,50.52
2011-09-19,49.9,50.54
2011-09-20,50.8,50.32
2011-09-21,50.57,49.44
2011-09-22,48.18,47.83
2011-09-23,47.43,48.34
2011-09-26,48.58,48.91
2011-09-27,49.74,49.41
2011-09-28,49.63,48.68
2011-09-29,49.42,48.1
2011-09-30,47.46,46.86
2011-10-03,46.44,45.66
2011-10-04,45.19,46.59
2011-10-05,46.48,47.79
2011-10-06,47.73,48.59
2011-10-07,48.57,48.27
2011-10-10,49.09,49.94
2011-10-11,49.81,50.28
2011-10-12,50.76,50.53
2011-10-13,50.43,50.99
2011-10-14,51.62,51.94
2011-10-17,51.7,51.14
2011-10-18,51.06,51.77
2011-10-19,51.49,50.77
2011-10-20,50.76,50.52
2011-10-21,51.06,51.16
2011-10-24,51.34,52.22
2011-10-25,52.05,51.19
2011-10-26,51.48,51.13
2011-10-27,52.35,52.54
2011-10-28,52.24,52.62
2011-10-31,52.16,51.74
2011-11-01,50.46,50.39
2011-11-02,50.91,50.82
2011-11-03,51.22,51.87
2011-11-04,51.62,51.6
2011-11-07,51.57,51.97
2011-11-08,52.34,52.57
2011-11-09,51.55,50.72
2011-11-10,51.22,50.69
2011-11-11,51.13,51.65
2011-11-14,51.52,51.32
2011-11-15,51.17,51.9
2011-11-16,51.52,51.04
2011-11-17,50.9,49.84
2011-11-18,49.85,49.46
2011-11-21,48.79,48.51
2011-11-22,48.36,48.67
2011-11-23,48.31,47.58
2011-11-25,47.37,47.21
2011-11-28,48.36,48.85
2011-11-29,48.83,48.55
2011-11-30,49.87,50.34
2011-12-01,50.33,50.69
2011-12-02,51.19,50.55
2011-12-05,51.31,51.1
2011-12-06,51.15,50.96
2011-12-07,50.82,50.96
2011-12-08,50.63,50.1
2011-12-09,50.23,50.91
2011-12-12,50.37,50.33
2011-12-13,50.66,49.78
2011-12-14,49.59,49.0
2011-12-15,49.42,48.87
2011-12-16,49.13,49.12
2011-12-19,49.31,48.64
2011-12-20,49.43,50.08
2011-12-21,49.79,49.37
2011-12-22,49.47,49.79
2011-12-23,49.89,50.22
2011-12-27,50.14,50.36
2011-12-28,50.3,49.78
2011-12-29,49.86,50.14
2011-12-30,50.03,49.99
2012-01-03,50.96,50.95
2012-01-04,50.87,51.17
2012-01-05,51.06,51.59
2012-01-06,51.6,51.77
2012-01-09,51.9,51.6
2012-01-10,52.14,51.97
2012-01-11,51.96,52.08
2012-01-12,52.2,52.29
2012-01-13,52.01,52.1
2012-01-17,52.55,52.57
2012-01-18,52.67,53.27
2012-01-19,53.48,53.6
2012-01-20,53.37,53.52
2012-01-23,53.53,53.54
2012-01-24,53.3,53.44
2012-01-25,53.96,54.11
2012-01-26,54.34,53.92
2012-01-27,53.81,54.08
2012-01-30,53.63,54.13
2012-01-31,54.4,54.2
2012-02-01,54.51,54.64
2012-02-02,54.82,54.81
2012-02-03,55.32,55.56
2012-02-06,55.36,55.52
2012-02-07,55.47,55.63
2012-02-08,55.66,55.93
2012-02-09,56.14,56.33
2012-02-10,55.93,55.94
2012-02-13,56.36,56.46
2012-02-14,56.33,56.6
