date,open,close
2008-05-29,34.49,34.66
2008-05-30,34.76,34.89
2008-06-02,33.74,33.18
2008-06-03,33.27,33.08
2008-06-04,32.98,33.06
2008-06-24,29.57,29.76
2008-06-25,30.47,30.55
2008-06-26,30.66,29.78
2008-06-27,30.06,30.15
2008-06-30,29.92,30.58
2008-07-01,29.64,29.88
2008-07-02,29.72,29.54
2008-07-03,29.28,29.13
2008-07-07,28.77,28.34
2008-07-08,28.16,28.71
2008-07-09,28.48,27.67
2008-07-10,28.01,28.46
2008-07-11,28.32,28.04
2008-07-14,28.04,27.43
2008-07-15,26.88,27.2
2008-07-16,26.4,27.11
2008-07-17,26.84,27.2
2008-07-18,26.36,26.29
2008-07-21,27.11,27.1
2008-07-22,27.34,27.46
2008-07-23,27.75,27.73
2008-07-24,27.38,27.13
2008-07-25,27.25,26.99
2008-07-28,27.21,26.92
2008-07-29,26.66,27.16
2008-07-30,26.47,26.93
2008-07-31,26.47,26.16
2008-08-01,26.95,26.65
2008-08-04,26.97,26.65
2008-08-05,26.33,27.1
2008-08-06,26.87,27.24
2008-08-07,28.27,27.96
2008-08-08,27.59,28.04
2008-08-11,28.14,28.41
2008-08-12,28.17,27.84
2008-08-13,27.95,27.91
2008-08-14,27.98,28.13
2008-08-15,28.11,27.96
2008-08-18,27.78,27.13
2008-08-19,27.06,26.65
2008-08-20,26.72,26.84
2008-08-21,26.6,26.64
2008-08-22,27.12,27.05
2008-08-25,26.8,26.24
2008-08-26,25.95,26.1
2008-08-27,26.52,27.0
2008-08-28,27.05,27.29
2008-08-29,27.06,26.48
2008-09-02,25.88,25.28
2008-09-03,25.1,25.15
2008-09-04,25.57,25.24
2008-09-05,24.96,25.36
2008-09-08,26.71,25.87
2008-09-09,25.58,25.2
2008-09-10,25.42,25.26
2008-09-11,24.95,25.1
2008-09-12,25.03,25.44
2008-09-15,24.68,24.68
2008-09-16,23.81,24.9
2008-09-17,23.48,22.84
2008-09-18,23.39,24.32
2008-09-19,25.54,25.47
2008-09-22,24.82,24.1
2008-09-23,24.54,23.86
2008-09-24,24.42,24.39
2008-09-25,24.76,25.06
2008-09-26,24.58,24.72
2008-09-29,23.77,22.7
2008-09-30,23.69,23.96
2008-10-01,23.29,23.59
2008-10-02,23.21,22.68
2008-10-03,23.18,22.57
2008-10-06,21.47,20.93
2008-10-07,20.68,19.07
2008-10-08,19.1,18.54
2008-10-09,19.38,17.87
2008-10-10,16.85,16.78
2008-10-13,18.65,19.37
2008-10-14,20.11,19.39
2008-10-15,18.21,17.13
2008-10-16,18.07,18.57
2008-10-17,17.94,18.08
2008-10-20,18.15,18.71
2008-10-21,17.98,18.08
2008-10-22,17.38,16.74
2008-10-23,17.07,16.69
2008-10-24,15.27,15.79
2008-10-27,14.13,13.97
2008-10-28,14.18,15.29
2008-10-29,14.35,14.63
2008-10-30,15.15,15.43
2008-10-31,15.78,15.61
2008-11-03,16.66,17.0
2008-11-04,17.51,17.66
2008-11-05,17.05,16.57
2008-11-06,17.26,16.79
2008-11-07,17.76,17.55
2008-11-10,17.37,16.48
2008-11-11,16.17,16.66
2008-11-12,16.41,15.85
2008-11-13,15.97,16.85
2008-11-14,16.09,16.37
2008-11-17,16.17,16.43
2008-11-18,15.95,15.72
2008-11-19,15.12,14.61
2008-11-20,14.16,13.73
2008-11-21,14.54,14.76
2008-11-24,14.01,14.6
2008-11-25,14.6,14.71
2008-11-26,14.74,14.62
2008-11-28,14.86,14.82
2008-12-01,14.29,13.34
2008-12-02,14.09,14.53
2008-12-03,14.37,14.46
2008-12-04,14.36,14.25
2008-12-05,14.02,14.36
2008-12-08,15.15,15.53
2008-12-09,15.66,15.59
2008-12-10,15.77,15.83
2008-12-11,16.06,15.76
2008-12-12,16.04,16.25
2008-12-15,16.74,16.27
2008-12-16,16.82,17.6
2008-12-17,17.22,17.45
2008-12-18,17.62,17.26
2008-12-19,17.23,17.14
2008-12-22,16.85,16.63
2008-12-23,16.68,16.45
2008-12-24,16.61,16.65
2008-12-26,17.12,16.91
2008-12-29,16.93,16.88
2008-12-30,16.95,17.1
2008-12-31,17.45,17.16
2009-01-02,17.16,17.86
2009-01-05,18.04,18.14
2009-01-06,17.96,18.01
2009-01-07,17.63,17.56
2009-01-08,17.66,17.52
2009-01-09,17.66,17.24
2009-01-12,17.26,16.79
2009-01-13,16.23,16.3
2009-01-14,16.44,16.22
2009-01-15,15.84,15.89
2009-01-16,16.3,16.38
2009-01-19,16.3,16.38
2009-01-20,16.11,15.78
2009-01-21,16.18,16.48
2009-01-22,16.33,16.41
2009-01-23,16.44,16.68
2009-01-26,16.68,16.56
2009-01-27,16.78,16.83
2009-01-28,17.21,17.53
2009-01-29,16.6,16.15
2009-01-30,16.33,16.15
2009-02-02,15.89,16.06
2009-02-03,16.0,16.33
2009-02-04,16.39,16.18
2009-02-05,16.28,16.51
2009-02-06,16.92,17.13
2009-02-09,17.01,17.04
2009-02-10,16.96,16.23
2009-02-11,16.59,16.59
2009-02-12,16.2,16.31
2009-02-13,16.76,16.72
2009-02-17,16.33,16.18
2009-02-18,16.25,16.07
2009-02-19,16.3,16.14
2009-02-20,15.75,15.69
2009-02-23,15.69,15.19
2009-02-24,15.61,16.13
2009-02-25,16.12,16.1
2009-02-26,16.0,15.8
2009-02-27,15.61,15.62
2009-03-02,14.93,14.57
2009-03-03,14.54,14.53
2009-03-04,14.54,15.53
2009-03-05,13.96,14.73
2009-03-06,15.38,15.29
2009-03-09,14.89,14.72
2009-03-10,15.4,15.96
2009-03-11,15.6,15.5
2009-03-12,15.34,15.65
2009-03-13,15.76,15.75
2009-03-16,15.89,15.52
2009-03-17,15.73,16.08
2009-03-18,15.71,16.21
2009-03-19,16.08,15.97
2009-03-20,16.44,16.36
2009-03-23,16.8,17.32
2009-03-24,16.95,16.27
2009-03-25,16.62,16.28
2009-03-26,16.72,16.66
2009-03-27,16.56,16.52
2009-03-30,16.16,15.89
2009-03-31,16.21,16.05
2009-04-01,16.1,16.19
2009-04-02,16.97,16.66
2009-04-03,16.85,16.6
2009-04-06,16.85,16.88
2009-04-07,16.67,16.61
2009-04-08,16.74,16.7
2009-04-09,16.77,16.84
2009-04-13,16.59,16.89
2009-04-14,16.88,16.67
2009-04-15,16.81,17.01
2009-04-16,17.59,17.33
2009-04-17,17.52,17.52
2009-04-20,17.5,17.09
2009-04-21,17.47,17.93
2009-04-22,17.49,17.53
2009-04-23,17.55,17.94
2009-04-24,19.83,18.2
2009-04-27,18.1,18.16
2009-04-28,18.14,18.35
2009-04-29,18.56,18.91
2009-04-30,18.95,19.03
2009-05-01,18.96,19.04
2009-05-04,19.67,20.34
2009-05-05,20.44,20.37
2009-05-06,21.0,21.06
2009-05-07,21.34,20.84
2009-05-08,21.4,21.12
2009-05-11,21.27,21.43
2009-05-12,22.08,21.66
2009-05-13,21.76,21.72
2009-05-14,21.4,21.02
2009-05-15,21.25,21.61
2009-05-18,22.13,22.44
2009-05-19,22.47,22.91
2009-05-20,23.11,22.5
2009-05-21,21.96,21.91
2009-05-22,22.17,22.29
2009-05-26,21.83,22.49
2009-05-27,22.7,22.36
2009-05-28,22.37,22.72
2009-05-29,22.79,22.93
2009-06-01,23.66,24.09
2009-06-02,23.66,23.66
2009-06-03,23.78,23.65
2009-06-04,24.33,24.71
2009-06-05,25.18,24.64
2009-06-08,24.65,24.69
2009-06-09,24.89,25.17
2009-06-10,26.16,25.87
2009-06-11,26.09,26.2
2009-06-12,26.12,26.17
2009-06-15,25.45,24.92
2009-06-16,24.74,24.05
2009-06-17,23.91,23.62
2009-06-18,23.37,23.15
2009-06-19,23.94,24.15
2009-06-22,23.93,23.29
2009-06-23,23.01,22.99
2009-06-24,23.89,23.82
2009-06-25,24.09,24.29
2009-06-26,24.45,24.3
2009-06-29,24.8,24.95
2009-06-30,24.66,24.35
2009-07-01,24.91,25.11
2009-07-02,24.09,23.85
2009-07-03,24.09,23.85
2009-07-06,23.69,24.01
2009-07-07,24.06,23.65
2009-07-08,23.49,23.21
2009-07-09,23.64,23.82
2009-07-10,23.14,22.97
2009-07-13,22.87,23.23
2009-07-14,23.57,23.75
2009-07-15,24.12,24.66
2009-07-16,24.05,24.21
2009-07-17,24.63,24.65
2009-07-20,25.27,25.62
2009-07-21,25.61,25.42
2009-07-22,24.87,24.88
2009-07-23,25.27,25.76
2009-07-24,25.46,25.73
2009-07-27,25.79,25.79
2009-07-28,25.73,25.84
2009-07-29,25.47,25.27
2009-07-30,25.63,25.88
2009-07-31,25.94,25.7
2009-08-03,26.46,26.89
2009-08-04,26.64,26.86
2009-08-05,26.62,26.41
2009-08-06,26.96,26.63
2009-08-07,26.93,27.06
2009-08-10,26.62,26.66
2009-08-11,26.28,26.0
2009-08-12,25.91,26.34
2009-08-13,26.95,27.25
2009-08-14,27.11,26.84
2009-08-17,26.11,25.69
2009-08-18,26.16,26.6
2009-08-19,25.85,26.28
2009-08-20,26.34,26.74
2009-08-21,26.95,27.18
2009-08-24,27.09,27.15
2009-08-25,27.27,27.0
2009-08-26,27.17,27.33
2009-08-27,27.0,27.09
2009-08-28,27.22,27.12
2009-08-31,26.98,27.12
2009-09-01,26.98,26.79
2009-09-02,26.9,27.09
2009-09-03,27.46,27.73
2009-09-04,27.84,27.87
2009-09-08,28.78,29.0
2009-09-09,29.22,29.17
2009-09-10,29.34,29.6
2009-09-11,29.68,29.6
2009-09-14,29.09,29.25
2009-09-15,29.35,29.71
2009-09-16,29.96,30.26
2009-09-17,30.14,29.8
2009-09-18,30.2,30.16
2009-09-21,30.07,29.94
2009-09-22,30.27,30.63
2009-09-23,30.72,30.63
2009-09-24,31.13,30.49
2009-09-25,30.44,30.26
2009-09-28,29.98,30.35
2009-09-29,30.46,30.5
2009-09-30,30.58,30.41
2009-10-01,30.82,30.44
2009-10-02,30.62,30.71
2009-10-05,30.68,30.81
2009-10-06,31.3,31.54
2009-10-07,31.62,31.84
2009-10-08,31.86,31.91
2009-10-09,31.98,32.22
2009-10-12,32.32,32.36
2009-10-13,32.23,32.3
2009-10-14,31.44,31.45
2009-10-15,29.39,29.73
2009-10-16,30.32,30.29
2009-10-19,31.06,31.33
2009-10-20,33.72,31.13
2009-10-21,30.5,30.44
2009-10-22,30.17,30.35
2009-10-23,30.4,30.08
2009-10-26,30.17,29.73
2009-10-27,30.18,29.79
2009-10-28,29.42,28.71
2009-10-29,28.95,29.31
