date,open,close
2010-06-29,1.27,1.59
2010-06-30,1.73,1.59
2010-07-01,1.67,1.46
2010-07-02,1.53,1.28
2010-07-06,1.33,1.07
2010-07-07,1.09,1.05
2010-07-08,1.08,1.16
2010-07-09,1.17,1.16
2010-07-12,1.2,1.14
2010-07-13,1.17,1.21
2010-07-14,1.2,1.32
2010-07-15,1.33,1.33
2010-07-16,1.38,1.38
2010-07-19,1.42,1.46
2010-07-20,1.46,1.35
2010-07-21,1.38,1.35
2010-07-22,1.37,1.4
2010-07-23,1.41,1.42
2010-07-26,1.43,1.4
2010-07-27,1.39,1.37
2010-07-28,1.37,1.38
2010-07-29,1.38,1.36
2010-07-30,1.35,1.33
2010-08-02,1.36,1.39
2010-08-03,1.4,1.46
2010-08-04,1.46,1.42
2010-08-05,1.44,1.36
2010-08-06,1.34,1.31
2010-08-09,1.33,1.31
2010-08-10,1.31,1.27
2010-08-11,1.25,1.19
2010-08-12,1.19,1.17
2010-08-13,1.21,1.22
2010-08-16,1.23,1.25
2010-08-17,1.26,1.28
2010-08-18,1.31,1.25
2010-08-19,1.24,1.25
2010-08-20,1.24,1.27
2010-08-23,1.27,1.34
2010-08-24,1.29,1.28
2010-08-25,1.28,1.33
2010-08-26,1.33,1.32
2010-08-27,1.32,1.31
2010-08-30,1.31,1.32
2010-08-31,1.31,1.3
2010-09-01,1.31,1.36
2010-09-02,1.36,1.4
2010-09-03,1.39,1.4
2010-09-07,1.37,1.37
2010-09-08,1.38,1.39
2010-09-09,1.4,1.38
2010-09-10,1.38,1.34
2010-09-13,1.39,1.38
2010-09-14,1.37,1.41
2010-09-15,1.4,1.47
2010-09-16,1.47,1.4
2010-09-17,1.4,1.35
2010-09-20,1.38,1.4
2010-09-21,1.39,1.38
2010-09-22,1.39,1.32
2010-09-23,1.33,1.3
2010-09-24,1.33,1.34
2010-09-27,1.36,1.37
2010-09-28,1.4,1.43
2010-09-29,1.41,1.47
2010-09-30,1.47,1.36
2010-10-01,1.38,1.37
2010-10-04,1.36,1.4
2010-10-05,1.41,1.41
2010-10-06,1.4,1.36
2010-10-07,1.37,1.36
2010-10-08,1.36,1.36
2010-10-11,1.36,1.35
2010-10-12,1.35,1.35
2010-10-13,1.38,1.37
2010-10-14,1.4,1.38
2010-10-15,1.39,1.37
2010-10-18,1.37,1.35
2010-10-19,1.35,1.34
2010-10-20,1.34,1.38
2010-10-21,1.37,1.38
2010-10-22,1.38,1.38
2010-10-25,1.4,1.39
2010-10-26,1.39,1.42
2010-10-27,1.42,1.4
2010-10-28,1.43,1.41
2010-10-29,1.41,1.46
2010-11-01,1.46,1.43
2010-11-02,1.45,1.42
2010-11-03,1.42,1.45
2010-11-04,1.51,1.66
2010-11-05,1.66,1.63
2010-11-08,1.63,1.67
2010-11-09,1.67,1.64
2010-11-10,1.63,1.96
2010-11-11,1.91,1.87
2010-11-12,1.88,1.99
2010-11-15,2.01,2.05
2010-11-16,2.07,1.98
2010-11-17,2.0,1.97
2010-11-18,2.04,1.99
2010-11-19,2.01,2.07
2010-11-22,2.1,2.23
2010-11-23,2.22,2.3
2010-11-24,2.35,2.36
2010-11-26,2.37,2.35
2010-11-29,2.38,2.29
2010-11-30,2.25,2.36
2010-12-01,2.39,2.29
2010-12-02,2.27,2.16
2010-12-03,2.13,2.1
2010-12-06,2.09,2.02
2010-12-07,2.03,2.1
2010-12-08,2.17,2.16
2010-12-09,2.17,2.14
2010-12-10,2.14,2.1
2010-12-13,2.11,2.04
2010-12-14,2.02,1.9
2010-12-15,1.91,1.97
2010-12-16,2.0,2.05
2010-12-17,2.09,2.09
2010-12-20,2.11,2.11
2010-12-21,2.12,2.15
2010-12-22,2.15,2.18
2010-12-23,2.08,2.01
2010-12-27,1.87,1.7
2010-12-28,1.72,1.76
2010-12-29,1.8,1.85
2010-12-30,1.85,1.77
2010-12-31,1.77,1.78
2011-01-03,1.79,1.77
2011-01-04,1.78,1.78
2011-01-05,1.77,1.79
2011-01-06,1.79,1.86
2011-01-07,1.87,1.88
2011-01-10,1.88,1.9
2011-01-11,1.91,1.8
2011-01-12,1.8,1.8
2011-01-13,1.8,1.75
2011-01-14,1.74,1.72
2011-01-18,1.7,1.71
2011-01-19,1.68,1.6
2011-01-20,1.6,1.51
2011-01-21,1.54,1.54
2011-01-24,1.57,1.63
2011-01-25,1.64,1.65
2011-01-26,1.65,1.65
2011-01-27,1.65,1.66
2011-01-28,1.66,1.6
2011-01-31,1.6,1.61
2011-02-01,1.62,1.59
2011-02-02,1.59,1.6
2011-02-03,1.59,1.58
2011-02-04,1.58,1.56
2011-02-07,1.55,1.54
2011-02-08,1.54,1.63
2011-02-09,1.61,1.55
2011-02-10,1.55,1.55
2011-02-11,1.55,1.55
2011-02-14,1.54,1.54
2011-02-15,1.53,1.52
2011-02-16,1.54,1.65
2011-02-17,1.64,1.57
2011-02-18,1.56,1.55
2011-02-22,1.53,1.46
2011-02-23,1.48,1.46
2011-02-24,1.45,1.5
2011-02-25,1.52,1.57
2011-02-28,1.58,1.59
2011-03-01,1.6,1.6
2011-03-02,1.59,1.6
2011-03-03,1.62,1.62
2011-03-04,1.63,1.66
2011-03-07,1.66,1.66
2011-03-08,1.66,1.64
2011-03-09,1.63,1.65
2011-03-10,1.63,1.6
2011-03-11,1.59,1.6
2011-03-14,1.59,1.55
2011-03-15,1.48,1.53
2011-03-16,1.52,1.52
2011-03-17,1.55,1.52
2011-03-18,1.55,1.53
2011-03-21,1.54,1.52
2011-03-22,1.52,1.48
2011-03-23,1.47,1.48
2011-03-24,1.48,1.49
2011-03-25,1.5,1.52
2011-03-28,1.51,1.55
2011-03-29,1.55,1.59
2011-03-30,1.61,1.58
2011-03-31,1.77,1.85
2011-04-01,1.85,1.78
2011-04-04,1.79,1.72
2011-04-05,1.73,1.78
2011-04-06,1.8,1.77
2011-04-07,1.79,1.82
2011-04-08,1.84,1.77
2011-04-11,1.77,1.68
2011-04-12,1.67,1.64
2011-04-13,1.68,1.66
2011-04-14,1.66,1.68
2011-04-15,1.71,1.71
2011-04-18,1.68,1.67
2011-04-19,1.67,1.68
2011-04-20,1.71,1.72
2011-04-21,1.72,1.78
2011-04-22,1.72,1.78
2011-04-25,1.78,1.76
2011-04-26,1.76,1.8
2011-04-27,1.8,1.81
2011-04-28,1.8,1.84
2011-04-29,1.85,1.84
2011-05-02,1.84,1.83
2011-05-03,1.83,1.79
2011-05-04,1.79,1.78
2011-05-05,1.79,1.78
2011-05-06,1.79,1.81
2011-05-09,1.8,1.86
2011-05-10,1.87,1.89
2011-05-11,1.88,1.8
2011-05-12,1.8,1.84
2011-05-13,1.87,1.84
2011-05-16,1.87,1.77
2011-05-17,1.8,1.73
2011-05-18,1.74,1.76
2011-05-19,1.8,1.88
2011-05-20,1.88,1.86
2011-05-23,1.84,1.79
2011-05-24,1.8,1.78
2011-05-25,1.79,1.93
2011-05-26,1.93,1.97
2011-05-27,1.96,1.97
2011-05-31,1.98,2.01
2011-06-01,2.0,1.9
2011-06-02,1.9,1.92
2011-06-03,2.0,2.01
2011-06-06,2.01,1.91
2011-06-07,1.93,1.89
2011-06-08,1.9,1.81
2011-06-09,1.83,1.84
2011-06-10,1.83,1.86
2011-06-13,1.87,1.9
2011-06-14,1.9,1.91
2011-06-15,1.9,1.82
2011-06-16,1.84,1.77
2011-06-17,1.79,1.77
2011-06-20,1.75,1.73
2011-06-21,1.75,1.84
2011-06-22,1.84,1.81
2011-06-23,1.81,1.85
2011-06-24,1.84,1.84
2011-06-27,1.85,1.83
2011-06-28,1.85,1.87
2011-06-29,1.9,1.89
2011-06-30,1.9,1.94
2011-07-01,1.94,1.93
2011-07-05,1.93,1.94
2011-07-06,1.94,1.93
2011-07-07,1.94,1.98
2011-07-08,1.99,1.92
2011-07-11,1.89,1.89
2011-07-12,1.89,1.88
2011-07-13,1.9,1.91
2011-07-14,1.9,1.84
2011-07-15,1.85,1.84
2011-07-18,1.82,1.82
2011-07-19,1.84,1.86
2011-07-20,1.87,1.91
2011-07-21,1.93,1.91
2011-07-22,1.91,1.95
2011-07-25,1.93,1.9
2011-07-26,1.89,1.87
2011-07-27,1.9,1.84
2011-07-28,1.84,1.88
2011-07-29,1.85,1.88
2011-08-01,1.91,1.92
2011-08-02,1.91,1.82
2011-08-03,1.83,1.81
2011-08-04,1.77,1.65
2011-08-05,1.67,1.62
2011-08-08,1.54,1.58
2011-08-09,1.61,1.67
2011-08-10,1.7,1.59
2011-08-11,1.6,1.69
2011-08-12,1.71,1.75
2011-08-15,1.77,1.75
2011-08-16,1.74,1.74
2011-08-17,1.76,1.72
2011-08-18,1.67,1.62
2011-08-19,1.59,1.49
2011-08-22,1.54,1.46
2011-08-23,1.46,1.53
2011-08-24,1.54,1.59
2011-08-25,1.59,1.54
2011-08-26,1.51,1.58
2011-08-29,1.61,1.65
2011-08-30,1.63,1.64
2011-08-31,1.65,1.65
2011-09-01,1.64,1.6
2011-09-02,1.56,1.54
2011-09-06,1.5,1.53
2011-09-07,1.56,1.59
2011-09-08,1.57,1.57
2011-09-09,1.56,1.53
2011-09-12,1.5,1.53
2011-09-13,1.53,1.61
2011-09-14,1.62,1.62
2011-09-15,1.64,1.65
2011-09-16,1.65,1.72
2011-09-19,1.66,1.72
2011-09-20,1.73,1.73
2011-09-21,1.73,1.72
2011-09-22,1.68,1.71
2011-09-23,1.7,1.76
2011-09-26,1.77,1.7
2011-09-27,1.73,1.75
2011-09-28,1.73,1.64
2011-09-29,1.71,1.61
2011-09-30,1.65,1.63
2011-10-03,1.66,1.58
2011-10-04,1.55,1.58
2011-10-05,1.6,1.69
2011-10-06,1.69,1.8
2011-10-07,1.8,1.8
2011-10-10,1.82,1.86
2011-10-11,1.83,1.84
2011-10-12,1.82,1.85
2011-10-13,1.84,1.86
2011-10-14,1.87,1.87
2011-10-17,1.86,1.83
2011-10-18,1.82,1.89
2011-10-19,1.87,1.84
2011-10-20,1.83,1.82
2011-10-21,1.83,1.87
2011-10-24,1.86,1.9
2011-10-25,1.88,1.88
2011-10-26,1.88,1.87
2011-10-27,1.89,1.92
2011-10-28,1.9,1.99
2011-10-31,1.97,1.96
2011-11-01,1.89,1.93
2011-11-02,1.93,1.91
2011-11-03,2.0,2.16
2011-11-04,2.1,2.15
2011-11-07,2.11,2.08
2011-11-08,2.09,2.12
2011-11-09,2.06,2.06
2011-11-10,2.06,2.09
2011-11-11,2.13,2.24
2011-11-14,2.2,2.21
2011-11-15,2.19,2.26
2011-11-16,2.23,2.33
2011-11-17,2.3,2.25
2011-11-18,2.24,2.17
2011-11-21,2.16,2.12
2011-11-22,2.12,2.14
2011-11-23,2.12,2.1
2011-11-25,2.1,2.11
2011-11-28,2.13,2.17
2011-11-29,2.17,2.12
2011-11-30,2.17,2.18
2011-12-01,2.17,2.17
2011-12-02,2.19,2.22
2011-12-05,2.24,2.29
2011-12-06,2.28,2.32
2011-12-07,2.31,2.28
2011-12-08,2.06,2.06
2011-12-09,2.04,2.07
2011-12-12,2.03,2.03
2011-12-13,2.04,1.96
2011-12-14,1.97,1.9
2011-12-15,1.92,1.91
2011-12-16,1.92,1.87
2011-12-19,1.87,1.85
2011-12-20,1.87,1.86
2011-12-21,1.86,1.84
2011-12-22,1.84,1.85
2011-12-23,1.87,1.86
2011-12-27,1.84,1.9
2011-12-28,1.93,1.9
2011-12-29,1.91,1.92
2011-12-30,1.9,1.9
2012-01-03,1.93,1.87
2012-01-04,1.88,1.85
2012-01-05,1.85,1.81
2012-01-06,1.81,1.79
2012-01-09,1.8,1.82
2012-01-10,1.83,1.84
2012-01-11,1.84,1.88
2012-01-12,1.9,1.88
2012-01-13,1.89,1.52
2012-01-17,1.78,1.77
2012-01-18,1.78,1.79
2012-01-19,1.81,1.78
2012-01-20,1.79,1.77
2012-01-23,1.79,1.78
2012-01-24,1.78,1.83
2012-01-25,1.82,1.86
2012-01-26,1.87,1.93
2012-01-27,1.9,1.96
2012-01-30,1.97,1.97
2012-01-31,1.99,1.94
2012-02-01,1.94,1.97
2012-02-02,1.98,2.02
2012-02-03,2.03,2.08
2012-02-06,2.07,2.12
2012-02-07,2.12,2.11
2012-02-08,2.11,2.13
2012-02-09,2.13,2.17
2012-02-10,2.15,2.07
2012-02-13,2.1,2.1
2012-02-14,2.12,2.21
2012-02-15,2.21,2.24
2012-02-16,2.23,2.28
2012-02-17,2.27,2.33
2012-02-21,2.32,2.3
2012-02-22,2.3,2.28
2012-02-23,2.27,2.3
2012-02-24,2.28,2.25
2012-02-27,2.23,2.24
2012-02-28,2.24,2.25
2012-02-29,2.25,2.23
2012-03-01,2.23,2.29
2012-03-02,2.29,2.27
2012-03-05,2.29,2.25
2012-03-06,2.22,2.21
2012-03-07,2.21,2.21
2012-03-08,2.21,2.2
2012-03-09,2.21,2.32
2012-03-12,2.31,2.4
2012-03-13,2.43,2.41
2012-03-14,2.4,2.35
2012-03-15,2.35,2.33
2012-03-16,2.33,2.35
2012-03-19,2.35,2.33
2012-03-20,2.33,2.33
2012-03-21,2.33,2.34
2012-03-22,2.33,2.29
2012-03-23,2.28,2.27
2012-03-26,2.37,2.49
2012-03-27,2.48,2.53
2012-03-28,2.52,2.52
2012-03-29,2.55,2.49
2012-03-30,2.5,2.48
2012-04-02,2.49,2.44
2012-04-03,2.45,2.53
2012-04-04,2.35,2.33
2012-04-05,2.34,2.3
2012-04-09,2.27,2.21
2012-04-10,2.21,2.16
2012-04-11,2.22,2.21
2012-04-12,2.25,2.23
2012-04-13,2.26,2.24
2012-04-16,2.23,2.15
2012-04-17,2.16,2.15
2012-04-18,2.14,2.18
2012-04-19,2.18,2.21
2012-04-20,2.21,2.21
2012-04-23,2.19,2.13
2012-04-24,2.12,2.12
2012-04-25,2.14,2.19
2012-04-26,2.2,2.23
2012-04-27,2.24,2.22
2012-04-30,2.22,2.21
2012-05-01,2.21,2.25
2012-05-02,2.23,2.26
2012-05-03,2.26,2.16
2012-05-04,2.15,2.12
2012-05-07,2.13,2.16
2012-05-08,2.17,2.01
2012-05-09,2.02,2.0
2012-05-10,2.17,2.2
2012-05-11,2.17,2.15
2012-05-14,2.13,2.0
2012-05-15,2.02,1.96
2012-05-16,1.97,1.95
2012-05-17,1.95,1.9
2012-05-18,1.89,1.84
2012-05-21,1.84,1.92
2012-05-22,2.01,2.05
2012-05-23,2.04,2.07
2012-05-24,2.08,2.02
2012-05-25,2.01,1.99
2012-05-29,2.0,2.11
2012-05-30,2.09,2.03
2012-05-31,2.0,1.97
2012-06-01,1.9,1.88
2012-06-04,1.87,1.86
2012-06-05,1.86,1.86
2012-06-06,1.88,1.95
2012-06-07,1.99,1.93
2012-06-08,1.92,2.01
2012-06-11,2.02,1.94
2012-06-12,1.95,1.98
2012-06-13,1.97,1.98
2012-06-14,2.01,1.96
2012-06-15,1.96,1.99
2012-06-18,2.0,2.12
2012-06-19,2.13,2.14
2012-06-20,2.23,2.25
2012-06-21,2.28,2.15
2012-06-22,2.17,2.25
2012-06-25,2.26,2.21
2012-06-26,2.14,2.11
2012-06-27,2.13,2.13
2012-06-28,2.13,2.09
2012-06-29,2.19,2.09
2012-07-02,2.09,2.03
2012-07-03,2.04,2.04
2012-07-05,2.05,2.08
2012-07-06,2.07,2.07
2012-07-09,2.06,2.1
2012-07-10,2.1,2.08
2012-07-11,2.1,2.1
2012-07-12,2.09,2.18
2012-07-13,2.2,2.28
2012-07-16,2.29,2.4
2012-07-17,2.33,2.22
2012-07-18,2.1,2.14
2012-07-19,2.18,2.15
2012-07-20,2.14,2.12
2012-07-23,2.07,2.04
2012-07-24,2.04,1.99
2012-07-25,1.99,1.93
2012-07-26,1.99,1.88
2012-07-27,1.91,1.97
2012-07-30,1.97,1.82
2012-07-31,1.84,1.83
2012-08-01,1.87,1.75
2012-08-02,1.75,1.74
2012-08-03,1.79,1.82
2012-08-06,1.84,1.88
2012-08-07,1.92,2.02
2012-08-08,1.99,1.94
2012-08-09,1.97,1.96
2012-08-10,1.95,2.0
2012-08-13,1.98,2.08
2012-08-14,2.05,1.96
2012-08-15,1.96,1.96
2012-08-16,1.97,2.02
2012-08-17,2.02,2.0
2012-08-20,2.01,1.97
2012-08-21,1.97,1.94
2012-08-22,1.93,2.0
2012-08-23,2.0,2.05
2012-08-24,2.0,1.97
2012-08-27,1.97,1.89
2012-08-28,1.89,1.91
2012-08-29,1.9,1.89
2012-08-30,1.91,1.89
2012-08-31,1.91,1.9
2012-09-04,1.9,1.88
2012-09-05,1.87,1.86
2012-09-06,1.87,1.9
2012-09-07,1.9,1.96
2012-09-10,1.95,1.82
2012-09-11,1.85,1.85
2012-09-12,1.86,1.89
2012-09-13,1.9,1.97
2012-09-14,2.0,2.03
2012-09-17,2.16,2.17
2012-09-18,2.13,2.09
2012-09-19,2.07,2.07
2012-09-20,2.06,2.06
2012-09-21,2.07,2.0
2012-09-24,1.97,2.04
2012-09-25,1.91,1.84
2012-09-26,1.84,1.84
2012-09-27,1.85,1.9
2012-09-28,1.91,1.95
2012-10-01,1.97,1.94
2012-10-02,1.95,1.99
2012-10-03,1.98,1.95
2012-10-04,2.0,1.96
2012-10-05,1.98,1.93
2012-10-08,1.92,1.95
2012-10-09,1.94,1.89
2012-10-10,1.89,1.89
2012-10-11,1.93,1.89
2012-10-12,1.89,1.84
2012-10-15,1.87,1.82
2012-10-16,1.84,1.87
2012-10-17,1.88,1.92
2012-10-18,1.93,1.87
2012-10-19,1.86,1.85
2012-10-22,1.87,1.86
2012-10-23,1.83,1.89
2012-10-24,1.9,1.83
2012-10-25,1.85,1.83
2012-10-26,1.84,1.83
2012-10-30,1.84,1.83
2012-10-31,1.85,1.88
2012-11-01,1.88,1.95
2012-11-02,1.95,1.93
2012-11-05,1.99,2.1
2012-11-06,2.04,2.08
2012-11-07,2.07,2.1
2012-11-08,2.07,2.09
2012-11-09,2.04,2.02
2012-11-12,2.02,2.07
2012-11-13,2.09,2.11
2012-11-14,2.13,2.09
2012-11-15,2.09,2.05
2012-11-16,2.08,2.12
2012-11-19,2.14,2.19
2012-11-20,2.19,2.2
2012-11-21,2.17,2.16
2012-11-23,2.17,2.14
2012-11-26,2.14,2.15
2012-11-27,2.14,2.14
2012-11-28,2.13,2.22
2012-11-29,2.23,2.25
2012-11-30,2.24,2.25
2012-12-03,2.26,2.31
2012-12-04,2.27,2.26
2012-12-05,2.25,2.25
2012-12-06,2.25,2.26
2012-12-07,2.29,2.28
2012-12-10,2.3,2.3
2012-12-11,2.31,2.35
2012-12-12,2.35,2.35
2012-12-13,2.35,2.24
2012-12-14,2.26,2.25
2012-12-17,2.25,2.29
2012-12-18,2.28,2.31
2012-12-19,2.32,2.31
2012-12-20,2.3,2.3
2012-12-21,2.26,2.27
2012-12-24,2.24,2.29
2012-12-26,2.26,2.24
2012-12-27,2.23,2.25
2012-12-28,2.23,2.21
2012-12-31,2.2,2.26
2013-01-02,2.33,2.36
2013-01-03,2.35,2.32
2013-01-04,2.32,2.29
2013-01-07,2.32,2.29
2013-01-08,2.3,2.25
2013-01-09,2.27,2.24
2013-01-10,2.26,2.24
2013-01-11,2.27,2.19
2013-01-14,2.21,2.22
2013-01-15,2.21,2.26
2013-01-16,2.26,2.27
2013-01-17,2.28,2.29
2013-01-18,2.32,2.3
2013-01-21,2.32,2.3
2013-01-22,2.3,2.35
2013-01-23,2.33,2.4
2013-01-24,2.4,2.47
2013-01-25,2.47,2.47
2013-01-28,2.46,2.54
2013-01-29,2.53,2.53
2013-01-30,2.52,2.5
2013-01-31,2.52,2.5
2013-02-01,2.54,2.55
2013-02-04,2.56,2.52
2013-02-05,2.53,2.54
2013-02-06,2.54,2.61
2013-02-07,2.61,2.63
2013-02-08,2.63,2.62
2013-02-11,2.53,2.56
2013-02-12,2.56,2.53
2013-02-13,2.55,2.56
2013-02-14,2.58,2.55
2013-02-15,2.57,2.47
2013-02-18,2.57,2.47
2013-02-19,2.49,2.62
2013-02-20,2.62,2.57
2013-02-21,2.43,2.34
2013-02-22,2.38,2.41
2013-02-25,2.41,2.29
2013-02-26,2.3,2.3
2013-02-27,2.29,2.34
2013-02-28,2.39,2.32
2013-03-01,2.33,2.31
2013-03-04,2.32,2.37
2013-03-05,2.4,2.44
2013-03-06,2.47,2.51
2013-03-07,2.52,2.55
2013-03-08,2.54,2.56
2013-03-11,2.59,2.61
2013-03-12,2.59,2.61
2013-03-13,2.6,2.6
2013-03-14,2.59,2.46
2013-03-15,2.44,2.35
2013-03-18,2.35,2.34
2013-03-19,2.35,2.34
2013-03-20,2.35,2.4
2013-03-21,2.4,2.4
2013-03-22,2.41,2.44
2013-03-25,2.47,2.5
2013-03-26,2.53,2.52
2013-03-27,2.53,2.54
2013-03-28,2.55,2.53
2013-03-29,2.55,2.53
2013-04-01,2.82,2.93
2013-04-02,2.91,2.96
2013-04-03,2.87,2.74
2013-04-04,2.74,2.8
2013-04-05,2.77,2.76
2013-04-08,2.8,2.79
2013-04-09,2.79,2.7
2013-04-10,2.71,2.79
2013-04-11,2.8,2.91
2013-04-12,2.88,2.92
2013-04-15,2.9,2.89
2013-04-16,2.95,3.04
2013-04-17,3.03,3.03
2013-04-18,3.07,3.13
2013-04-19,3.2,3.19
2013-04-22,3.24,3.35
2013-04-23,3.4,3.4
2013-04-24,3.39,3.36
2013-04-25,3.37,3.47
2013-04-26,3.54,3.41
2013-04-29,3.45,3.66
2013-04-30,3.73,3.6
2013-05-01,3.71,3.55
2013-05-02,3.59,3.61
2013-05-03,3.73,3.64
2013-05-06,3.76,3.97
2013-05-07,4.13,3.7
2013-05-08,3.83,3.72
2013-05-09,4.67,4.63
2013-05-10,4.64,5.12
2013-05-13,5.37,5.85
2013-05-14,6.29,5.55
2013-05-15,5.41,5.66
2013-05-16,6.33,6.15
2013-05-17,6.17,6.1
2013-05-20,6.07,6.0
2013-05-21,5.9,5.84
2013-05-22,5.76,5.82
2013-05-23,5.67,6.18
2013-05-24,6.16,6.47
2013-05-28,6.8,7.35
2013-05-29,7.59,6.97
2013-05-30,6.83,7.0
2013-05-31,7.06,6.52
2013-06-03,6.5,6.17
2013-06-04,6.17,6.32
2013-06-05,6.24,6.36
2013-06-06,6.36,6.49
2013-06-07,6.53,6.8
2013-06-10,6.62,6.67
2013-06-11,6.56,6.3
2013-06-12,6.45,6.51
2013-06-13,6.6,6.54
2013-06-14,6.67,6.69
2013-06-17,6.91,6.81
2013-06-18,6.78,6.89
2013-06-19,6.8,6.98
2013-06-20,6.98,6.71
2013-06-21,6.91,6.64
2013-06-24,6.43,6.77
2013-06-25,6.87,6.83
2013-06-26,6.92,7.05
2013-06-27,7.11,7.28
2013-06-28,7.24,7.16
2013-07-01,7.29,7.81
2013-07-02,7.87,7.85
2013-07-03,7.87,7.68
2013-07-04,7.87,7.68
2013-07-05,7.92,8.01
2013-07-08,8.13,8.11
2013-07-09,8.31,8.23
2013-07-10,8.21,8.15
2013-07-11,8.32,8.37
2013-07-12,8.37,8.66
2013-07-15,8.87,8.48
2013-07-16,8.42,7.27
2013-07-17,7.08,8.02
2013-07-18,8.07,7.93
2013-07-19,7.9,7.98
2013-07-22,8.02,8.16
2013-07-23,8.27,8.18
2013-07-24,8.3,8.11
2013-07-25,8.03,8.27
2013-07-26,8.54,8.63
2013-07-29,8.62,8.97
2013-07-30,8.99,8.78
2013-07-31,8.84,8.95
2013-08-01,9.0,9.04
2013-08-02,9.0,9.2
2013-08-05,9.34,9.64
2013-08-06,9.66,9.48
2013-08-07,9.46,8.95
2013-08-08,10.3,10.23
2013-08-09,10.2,10.2
2013-08-12,9.96,9.82
2013-08-13,9.97,9.69
2013-08-14,9.51,9.29
2013-08-15,9.1,9.31
2013-08-16,9.47,9.47
2013-08-19,9.56,9.66
2013-08-20,9.92,9.97
2013-08-21,10.0,9.86
2013-08-22,9.95,10.47
2013-08-23,10.47,10.79
2013-08-26,11.03,10.95
2013-08-27,10.83,11.13
2013-08-28,11.28,11.1
2013-08-29,10.96,11.07
2013-08-30,11.09,11.27
2013-09-03,11.56,11.26
2013-09-04,11.32,11.37
2013-09-05,11.35,11.33
2013-09-06,11.23,11.13
