date,open,close
2007-01-03,39.3,38.19
2007-01-04,38.06,37.47
2007-01-05,37.34,37.74
2007-01-08,38.07,37.44
2007-01-09,37.03,37.15
2007-01-10,37.01,36.58
2007-01-11,36.58,36.58
2007-01-12,36.7,37.44
2007-01-16,37.36,36.91
2007-01-17,36.84,37.34
2007-01-18,37.37,37.08
2007-01-19,37.36,37.89
2007-01-22,37.94,37.57
2007-01-23,37.9,38.39
2007-01-24,38.39,38.6
2007-01-25,38.45,37.89
2007-01-26,38.08,37.93
2007-01-29,37.94,37.72
2007-01-30,37.85,38.33
2007-01-31,38.33,38.19
2007-02-01,38.43,38.69
2007-02-02,38.65,38.93
2007-02-05,38.98,38.99
2007-02-06,39.09,38.89
2007-02-07,39.02,38.71
2007-02-08,38.44,39.05
2007-02-09,39.05,38.93
2007-02-12,38.78,38.61
2007-02-13,38.71,39.05
2007-02-14,39.28,39.13
2007-02-15,38.91,38.99
2007-02-16,38.95,38.97
2007-02-20,38.74,38.75
2007-02-21,38.67,38.7
2007-02-22,38.62,38.86
2007-02-23,38.97,38.93
2007-02-26,39.09,39.02
2007-02-27,38.76,37.18
2007-02-28,37.18,37.1
2007-03-01,36.69,36.74
2007-03-02,36.74,36.23
2007-03-05,35.89,36.22
2007-03-06,36.22,36.75
2007-03-07,36.75,37.08
2007-03-08,37.34,37.19
2007-03-09,37.19,36.81
2007-03-12,36.64,36.68
2007-03-13,36.42,36.18
2007-03-14,36.28,36.76
2007-03-15,36.6,36.59
2007-03-16,36.63,36.16
2007-03-19,36.29,36.8
2007-03-20,36.81,37.26
2007-03-21,37.49,37.9
2007-03-22,38.06,38.48
2007-03-23,38.48,38.83
2007-03-26,39.04,39.06
2007-03-27,39.01,39.18
2007-03-28,39.42,39.11
2007-03-29,39.25,39.46
2007-03-30,39.46,39.05
2007-04-02,39.0,39.42
2007-04-03,39.39,39.75
2007-04-04,39.91,39.91
2007-04-05,39.9,39.96
2007-04-09,39.96,39.75
2007-04-10,39.75,40.15
2007-04-11,40.16,39.73
2007-04-12,39.73,40.05
2007-04-13,40.11,40.06
2007-04-16,40.18,40.46
2007-04-17,40.46,40.58
2007-04-18,40.46,40.47
2007-04-19,40.33,40.09
2007-04-20,40.57,41.28
2007-04-23,41.18,40.99
2007-04-24,40.94,40.68
2007-04-25,40.76,41.36
2007-04-26,41.66,41.69
2007-04-27,41.66,41.59
2007-04-30,41.6,41.08
2007-05-01,41.08,41.23
2007-05-02,41.32,41.31
2007-05-03,41.46,41.76
2007-05-04,41.76,41.69
2007-05-07,41.58,41.83
2007-05-08,41.71,42.12
2007-05-09,42.02,42.14
2007-05-10,42.21,41.27
2007-05-11,41.27,42.22
2007-05-14,42.34,42.23
2007-05-15,42.21,42.17
2007-05-16,42.19,42.34
2007-05-17,42.47,42.52
2007-05-18,42.52,43.28
2007-05-21,43.28,43.45
2007-05-22,43.45,43.02
2007-05-23,43.18,43.14
2007-05-24,43.14,42.77
2007-05-25,42.8,43.41
2007-05-29,43.3,42.94
2007-05-30,42.89,43.66
2007-05-31,43.66,43.23
2007-06-01,43.23,43.78
2007-06-04,43.72,43.78
2007-06-05,43.78,43.8
2007-06-06,43.8,43.46
2007-06-07,43.46,42.6
2007-06-08,42.62,42.98
2007-06-11,42.98,43.17
2007-06-12,43.2,42.62
2007-06-13,42.88,43.32
2007-06-14,43.38,44.06
2007-06-15,44.09,44.67
2007-06-18,44.7,44.89
2007-06-19,44.92,44.62
2007-06-20,44.76,43.05
2007-06-21,43.15,43.82
2007-06-22,43.77,42.89
2007-06-25,42.82,42.81
2007-06-26,42.96,42.53
2007-06-27,42.47,43.39
2007-06-28,43.48,43.45
2007-06-29,43.6,43.6
2007-07-02,43.84,44.09
2007-07-03,44.11,44.37
2007-07-05,44.47,44.26
2007-07-06,44.5,44.94
2007-07-09,44.98,45.45
2007-07-10,45.45,44.96
2007-07-11,45.07,45.37
2007-07-12,45.74,46.58
2007-07-13,46.65,46.95
2007-07-16,46.95,46.62
2007-07-17,46.68,46.31
2007-07-18,46.14,47.38
2007-07-19,47.51,47.97
2007-07-20,48.02,47.79
2007-07-23,47.76,48.57
2007-07-24,48.24,47.22
2007-07-25,47.55,48.23
2007-07-26,48.65,45.86
2007-07-27,45.74,44.49
2007-07-30,44.52,44.71
2007-07-31,45.08,44.25
2007-08-01,44.05,44.62
2007-08-02,44.5,44.27
2007-08-03,44.18,42.66
2007-08-06,42.73,43.42
2007-08-07,43.4,44.55
2007-08-08,44.65,45.69
2007-08-09,45.19,43.63
2007-08-10,43.05,44.1
2007-08-13,44.35,43.27
2007-08-14,43.18,43.38
2007-08-15,43.32,42.63
2007-08-16,42.21,42.1
2007-08-17,41.81,43.91
2007-08-20,43.84,44.11
2007-08-21,44.2,43.39
2007-08-22,43.45,43.62
2007-08-23,43.82,43.71
2007-08-24,43.78,44.72
2007-08-27,44.67,44.42
2007-08-28,44.36,43.32
2007-08-29,43.63,44.48
2007-08-30,44.16,44.57
2007-08-31,45.01,44.74
2007-09-04,44.38,45.52
2007-09-05,45.4,45.52
2007-09-06,45.52,45.66
2007-09-07,45.72,44.75
2007-09-10,44.7,44.29
2007-09-11,44.47,45.37
2007-09-12,45.81,45.74
2007-09-13,45.76,46.25
2007-09-14,45.98,46.27
2007-09-17,46.13,46.58
2007-09-18,46.71,47.89
2007-09-19,48.01,48.07
2007-09-20,48.1,48.06
2007-09-21,48.22,48.17
2007-09-24,48.12,47.87
2007-09-25,47.25,47.99
2007-09-26,47.99,48.21
2007-09-27,48.38,48.52
2007-09-28,48.47,48.3
2007-10-01,48.25,49.03
2007-10-02,48.67,48.14
2007-10-03,48.14,47.66
2007-10-04,47.65,47.45
2007-10-05,47.46,47.68
2007-10-08,47.49,47.32
2007-10-09,47.41,48.36
2007-10-10,47.94,48.6
2007-10-11,48.89,48.36
2007-10-12,48.66,48.78
2007-10-15,49.06,49.48
2007-10-16,49.56,49.44
2007-10-17,49.58,49.47
2007-10-18,49.32,49.6
2007-10-19,49.37,48.09
2007-10-22,47.75,47.44
2007-10-23,47.62,47.67
2007-10-24,47.57,48.08
2007-10-25,48.14,47.79
2007-10-26,47.93,48.12
2007-10-29,48.33,48.85
2007-10-30,48.55,47.56
2007-10-31,47.53,48.01
2007-11-01,48.14,46.19
2007-11-02,46.44,45.89
2007-11-05,45.72,45.75
2007-11-06,46.13,47.17
2007-11-07,47.06,45.69
2007-11-08,45.79,46.85
2007-11-09,45.57,45.5
2007-11-12,45.37,44.29
2007-11-13,44.19,45.52
2007-11-14,45.84,45.22
2007-11-15,44.9,44.27
2007-11-16,44.62,44.58
2007-11-19,44.53,44.07
2007-11-20,44.52,46.01
2007-11-21,46.08,45.6
2007-11-22,46.08,45.6
2007-11-23,45.61,46.26
2007-11-26,46.17,44.89
2007-11-27,44.65,45.26
2007-11-28,45.52,46.06
2007-11-29,45.84,46.41
2007-11-30,46.38,46.71
2007-12-03,46.61,46.55
2007-12-04,46.2,46.17
2007-12-05,46.5,47.11
2007-12-07,47.09,47.91
2007-12-10,48.07,48.22
2007-12-11,48.39,47.3
2007-12-12,48.08,48.16
2007-12-13,47.83,48.58
2007-12-14,48.28,47.77
2007-12-17,47.49,47.09
2007-12-18,47.53,47.9
2007-12-19,47.71,47.9
2007-12-20,47.95,48.27
2007-12-21,48.59,48.95
2007-12-24,48.99,49.07
2007-12-26,49.08,49.67
2007-12-27,49.67,49.07
2007-12-28,49.39,49.77
2007-12-31,49.54,49.09
2008-01-02,49.35,48.99
2008-01-03,49.17,49.16
2008-01-04,48.85,48.24
2008-01-07,48.46,47.79
2008-01-08,48.13,47.18
2008-01-09,47.21,47.97
2008-01-10,47.55,48.02
2008-01-11,47.68,47.31
2008-01-14,47.59,47.59
2008-01-15,47.09,46.64
2008-01-16,46.34,45.33
2008-01-17,45.83,43.96
2008-01-18,44.11,44.57
